equipmentID,zoneID,equipmentType,status,powerRating
E0001,Z001,HVACUnit,Off,3263.0
E0002,Z001,Lighting,Off,112.0
E0003,Z001,UPS,Running,1524.0
E0004,Z001,SmartThermostat,Running,11.0
E0005,Z002,SoundSystem,Off,87.0
E0006,Z002,HVACUnit,Off,5608.0
E0007,Z002,SecurityCam,Running,40.0
E0008,Z002,Lighting,Running,92.0
E0009,Z003,AirPurifier,Running,156.0
E0010,Z003,HVACUnit,Running,7378.0
E0011,Z003,Lighting,Running,270.0
E0012,Z004,NetworkSwitch,Running,105.0
E0013,Z004,FireSafety,Maintenance,247.0
E0014,Z004,SoundSystem,Off,229.0
E0015,Z004,ProjectorSystem,Running,606.0
E0016,Z004,UPS,Running,867.0
E0017,Z004,AccessControl,Running,78.0
E0018,Z004,SmartThermostat,Running,6.0
E0019,Z004,NetworkSwitch,Off,137.0
E0020,Z005,UPS,Running,639.0
E0021,Z005,NetworkSwitch,Maintenance,50.0
E0022,Z005,NetworkSwitch,Running,51.0
E0023,Z005,HVACUnit,Running,7153.0
E0024,Z005,CoffeeMachine,Running,849.0
E0025,Z005,UPS,Maintenance,1113.0
E0026,Z005,Lighting,Running,317.0
E0027,Z006,SecurityCam,Running,48.0
E0028,Z006,Lighting,Off,243.0
E0029,Z006,SoundSystem,Running,73.0
E0030,Z007,SecurityCam,Running,47.0
E0031,Z007,SecurityCam,Running,29.0
E0032,Z007,SmartThermostat,Running,6.0
E0033,Z007,SecurityCam,Maintenance,45.0
E0034,Z007,HVACUnit,Off,4324.0
E0035,Z007,NetworkSwitch,Maintenance,63.0
E0036,Z007,AccessControl,Running,76.0
E0037,Z008,HVACUnit,Running,6572.0
E0038,Z008,FireSafety,Off,256.0
E0039,Z008,SecurityCam,Off,23.0
E0040,Z008,AccessControl,Running,36.0
E0041,Z008,SecurityCam,Running,37.0
E0042,Z008,SmartThermostat,Running,9.0
E0043,Z008,CoffeeMachine,Off,1423.0
E0044,Z009,AccessControl,Running,37.0
E0045,Z009,SoundSystem,Off,57.0
E0046,Z009,SecurityCam,Running,17.0
E0047,Z009,NetworkSwitch,Running,143.0
E0048,Z010,NetworkSwitch,Running,87.0
E0049,Z010,SmartThermostat,Off,7.0
E0050,Z010,HVACUnit,Off,3946.0
E0051,Z010,SoundSystem,Running,222.0
E0052,Z010,AccessControl,Running,54.0
E0053,Z011,UPS,Running,644.0
E0054,Z011,SmartThermostat,Off,14.0
E0055,Z011,SoundSystem,Running,147.0
E0056,Z011,AirPurifier,Running,151.0
E0057,Z011,AirPurifier,Running,115.0
E0058,Z011,AccessControl,Off,49.0
E0059,Z012,ProjectorSystem,Maintenance,628.0
E0060,Z012,Lighting,Running,254.0
E0061,Z012,AccessControl,Running,57.0
E0062,Z012,SmartThermostat,Maintenance,12.0
E0063,Z013,FireSafety,Running,296.0
E0064,Z013,UPS,Running,1303.0
E0065,Z013,HVACUnit,Running,5625.0
E0066,Z014,HVACUnit,Running,4965.0
E0067,Z014,UPS,Running,1901.0
E0068,Z014,AccessControl,Running,32.0
E0069,Z015,CoffeeMachine,Off,821.0
E0070,Z015,HVACUnit,Running,6234.0
E0071,Z015,SmartThermostat,Running,15.0
E0072,Z015,CoffeeMachine,Running,920.0
E0073,Z015,FireSafety,Running,149.0
E0074,Z015,CoffeeMachine,Maintenance,1149.0
E0075,Z016,SecurityCam,Running,17.0
E0076,Z016,ProjectorSystem,Running,772.0
E0077,Z016,HVACUnit,Maintenance,6629.0
E0078,Z016,SecurityCam,Maintenance,38.0
E0079,Z016,ProjectorSystem,Running,387.0
E0080,Z017,ProjectorSystem,Running,254.0
E0081,Z017,AccessControl,Off,36.0
E0082,Z017,ProjectorSystem,Running,765.0
E0083,Z017,NetworkSwitch,Maintenance,147.0
E0084,Z017,SoundSystem,Off,298.0
E0085,Z017,Lighting,Running,406.0
E0086,Z017,SecurityCam,Running,27.0
E0087,Z018,CoffeeMachine,Running,1400.0
E0088,Z018,SmartThermostat,Running,10.0
E0089,Z018,ProjectorSystem,Running,375.0
E0090,Z018,UPS,Running,1479.0
E0091,Z019,CoffeeMachine,Running,1492.0
E0092,Z019,HVACUnit,Running,5724.0
E0093,Z019,SmartThermostat,Off,8.0
E0094,Z019,FireSafety,Off,133.0
