sensorID,zoneID,equipmentID,sensorType,currentReading,lastUpdateTime
S0001,Z001,,Smoke,9.5,2025-07-01 19:55:58
S0002,Z001,,CO2,823.9,2025-07-01 15:46:15
S0003,Z002,,Occupancy,9.0,2025-07-01 20:16:26
S0004,Z002,E2410,Vibration,94.9,2025-06-30 10:35:18
S0005,Z002,,Temperature,79.3,2025-07-01 12:57:02
S0006,Z003,E4484,CO2,934.6,2025-07-01 21:10:21
S0007,Z003,,Motion,0.0,2025-07-01 18:57:04
S0008,Z004,,Pressure,30.2,2025-07-01 16:44:43
S0009,Z004,,CO2,401.4,2025-07-01 02:20:52
S0010,Z004,E0788,Pressure,29.9,2025-07-01 16:51:22
S0011,Z004,,Motion,1.0,2025-07-01 01:42:46
S0012,Z004,,Vibration,38.5,2025-07-01 19:38:09
S0013,Z005,,Vibration,47.1,2025-07-01 21:43:17
S0014,Z005,E3563,Temperature,77.3,2025-07-01 04:46:44
S0015,Z005,,Pressure,29.8,2025-07-01 17:28:27
S0016,Z006,,Smoke,7.8,2025-07-01 16:00:19
S0017,Z006,,Smoke,5.5,2025-07-01 15:13:19
S0018,Z007,,Sound,53.3,2025-06-30 17:15:30
S0019,Z007,,Light,133.8,2025-07-01 18:54:25
S0020,Z007,,Humidity,54.9,2025-07-01 20:51:49
S0021,Z007,,Occupancy,5.0,2025-07-01 08:49:10
S0022,Z007,,Humidity,36.3,2025-07-01 18:24:59
S0023,Z008,,Smoke,9.6,2025-07-01 04:37:13
S0024,Z008,,Pressure,29.9,2025-07-01 08:42:02
S0025,Z009,,Humidity,59.0,2025-07-01 04:53:49
S0026,Z009,E1640,Motion,0.0,2025-07-01 09:28:43
S0027,Z009,,Pressure,29.5,2025-07-01 17:21:09
S0028,Z010,,Temperature,74.4,2025-07-01 06:17:56
S0029,Z010,,AirQuality,89.2,2025-07-01 08:19:18
S0030,Z011,E4158,Light,701.8,2025-07-01 02:26:20
S0031,Z011,E5059,Motion,0.0,2025-07-01 12:14:11
S0032,Z012,,Pressure,29.7,2025-07-01 09:54:10
S0033,Z012,E0726,Smoke,7.7,2025-07-01 04:20:20
S0034,Z012,,Vibration,70.6,2025-07-01 22:02:46
S0035,Z012,,CO2,656.8,2025-07-01 10:14:15
S0036,Z013,E0615,Vibration,72.2,2025-07-01 13:55:32
S0037,Z013,,Sound,51.3,2025-06-30 11:30:59
S0038,Z013,,Vibration,64.9,2025-07-01 17:00:24
S0039,Z013,,Temperature,67.5,2025-07-01 15:53:59
S0040,Z014,,Pressure,29.7,2025-06-29 09:21:39
S0041,Z014,,Pressure,29.6,2025-07-01 01:35:21
S0042,Z015,E2597,Temperature,67.0,2025-07-01 20:18:43
S0043,Z015,,Humidity,32.8,2025-06-29 23:47:30
S0044,Z015,,AirQuality,23.6,2025-07-01 02:38:18
S0045,Z015,,Motion,1.0,2025-07-01 04:45:54
S0046,Z015,E5098,Light,211.2,2025-07-01 09:25:30
S0047,Z016,E2262,Sound,38.2,2025-07-01 05:47:22
S0048,Z016,E4917,CO2,764.0,2025-07-01 13:25:46
S0049,Z016,,Humidity,57.1,2025-07-01 23:00:28
S0050,Z017,,Temperature,83.9,2025-07-01 12:36:23
S0051,Z017,,Motion,0.0,2025-07-01 23:27:01
S0052,Z017,E3229,Motion,1.0,2025-07-01 19:32:07
S0053,Z018,,Temperature,76.8,2025-07-01 03:34:21
S0054,Z018,E3902,AirQuality,35.2,2025-07-01 15:49:36
S0055,Z018,E3183,AirQuality,72.3,2025-07-01 03:20:02
S0056,Z019,,CO2,706.4,2025-07-01 11:27:10
S0057,Z019,,CO2,641.1,2025-07-01 06:18:46
S0058,Z019,,Temperature,72.4,2025-07-01 02:46:26
S0059,Z020,,AirQuality,51.7,2025-07-01 18:40:08
S0060,Z020,,Smoke,5.3,2025-06-28 23:46:36
S0061,Z020,,Sound,47.9,2025-07-01 12:31:51
S0062,Z021,,Motion,0.0,2025-06-30 14:52:06
S0063,Z021,,AirQuality,30.5,2025-07-01 20:25:01
S0064,Z021,,Occupancy,9.0,2025-07-01 07:07:57
S0065,Z021,E0091,Smoke,4.9,2025-07-01 19:01:34
S0066,Z022,,Light,405.1,2025-06-30 11:41:16
S0067,Z022,,CO2,973.3,2025-07-01 13:13:10
S0068,Z023,,Smoke,0.2,2025-06-29 03:06:35
S0069,Z023,E0976,Occupancy,5.0,2025-06-30 10:26:44
S0070,Z023,E2718,Sound,69.9,2025-06-29 22:23:00
S0071,Z023,E1140,Temperature,79.3,2025-07-01 16:53:55
S0072,Z023,,Sound,66.6,2025-07-01 21:34:51
S0073,Z024,,Temperature,78.7,2025-07-01 18:44:42
S0074,Z024,,Humidity,36.4,2025-07-01 15:45:38
S0075,Z024,,AirQuality,40.6,2025-06-29 17:34:10
S0076,Z024,,Occupancy,4.0,2025-07-01 17:15:17
S0077,Z024,,Motion,1.0,2025-07-01 16:58:45
S0078,Z025,,CO2,913.6,2025-07-01 18:23:43
S0079,Z025,E1134,Motion,0.0,2025-07-01 14:16:22
S0080,Z025,,Pressure,29.8,2025-07-01 12:39:50
S0081,Z025,,Vibration,8.1,2025-07-01 18:07:35
S0082,Z026,,Motion,0.0,2025-06-29 14:03:02
