taskID,equipmentID,supplierID,description,plannedStartTime,plannedEndTime,taskStatus
T0001,E2988,SUP011,Update Firmware,2025-07-28 13:37:07,2025-07-28 21:37:07,InProgress
T0002,E3901,SUP003,Fire System Inspection,2025-06-21 06:10:39,2025-06-22 02:10:39,Completed
T0003,E3064,SUP005,Update Firmware,2025-07-08 17:46:26,2025-07-09 00:46:26,InProgress
T0004,E2808,SUP004,Replace Network Equipment,2025-07-11 23:22:47,2025-07-11 16:22:47,Cancelled
T0005,E5005,SUP005,Replace LED Fixtures,2025-06-09 08:51:30,2025-06-10 02:51:30,InProgress
T0006,E2695,SUP009,Fire System Inspection,2025-06-08 16:02:25,2025-06-09 03:02:25,Completed
T0007,E2977,SUP009,Clean HVAC Ducts,2025-06-25 09:19:18,2025-06-25 22:19:18,Completed
T0008,E3947,SUP014,Replace Network Equipment,2025-06-21 20:12:00,2025-06-21 22:12:00,Completed
T0009,E5374,SUP003,Replace Air Purifier Filters,2025-06-02 17:50:27,2025-06-02 11:50:27,InProgress
T0010,E4626,SUP011,Emergency System Test,2025-06-19 23:36:07,2025-06-19 21:36:07,Cancelled
T0011,E1069,SUP001,Update Firmware,2025-06-06 22:20:02,2025-06-07 01:20:02,Completed
T0012,E5472,SUP007,HVAC Filter Replacement,2025-06-22 09:15:41,2025-06-22 13:15:41,InProgress
T0013,E2564,SUP006,Replace LED Fixtures,2025-07-01 21:10:59,2025-07-01 16:10:59,InProgress
T0014,E3458,SUP012,Access Control Update,2025-06-05 02:39:33,2025-06-05 07:39:33,InProgress
T0015,E2406,SUP002,Emergency System Test,2025-07-04 07:48:33,2025-07-04 15:48:33,InProgress
T0016,E1096,SUP001,Sensor Battery Replacement,2025-07-06 23:04:06,2025-07-07 05:04:06,Completed
T0017,E1237,SUP005,Replace LED Fixtures,2025-06-19 13:43:22,2025-06-20 04:43:22,Completed
T0018,E4202,SUP006,Emergency System Test,2025-06-18 04:37:15,2025-06-18 08:37:15,Scheduled
T0019,E0790,SUP007,Sensor Battery Replacement,2025-06-03 21:23:05,2025-06-04 10:23:05,Cancelled
T0020,E1078,SUP002,Update Firmware,2025-06-13 14:07:36,2025-06-13 10:07:36,InProgress
T0021,E0538,SUP004,Fire System Inspection,2025-06-19 16:22:42,2025-06-19 09:22:42,Completed
T0022,E1130,SUP003,Fire System Inspection,2025-06-30 20:44:43,2025-06-30 22:44:43,Completed
T0023,E1358,SUP010,Replace Air Purifier Filters,2025-07-16 10:26:20,2025-07-16 19:26:20,InProgress
T0024,E1745,SUP013,Update Firmware,2025-07-11 18:33:17,2025-07-11 13:33:17,Cancelled
