zoneID,floorID,zoneName,zoneFunction,areaSqFt,occupancyCapacity
Z001,F001,Workshop 01,Workshop,676.0,5
Z002,F001,Kitchen 02,Kitchen,2160.0,14
Z003,F001,Workshop 03,Workshop,326.0,5
Z004,F001,Hallway 04,Hallway,1102.0,5
Z005,F001,Laboratory 05,Laboratory,1734.0,11
Z006,F001,Restroom 06,Restroom,457.0,5
Z007,F001,Laboratory 07,Laboratory,1978.0,13
Z008,F001,Lobby 08,Lobby,1011.0,6
Z009,F001,Reception 09,Reception,1966.0,13
Z010,F001,Storage 10,Storage,173.0,5
Z011,F001,ServerRoom 11,ServerRoom,155.0,5
Z012,F001,Break Room 12,Break Room,881.0,5
Z013,F001,Break Room 13,Break Room,2281.0,15
Z014,F001,Kitchen 14,Kitchen,1214.0,8
Z015,F001,Workshop 15,Workshop,1255.0,8
Z016,F001,Restroom 16,Restroom,1987.0,13
Z017,F001,Reception 17,Reception,1391.0,9
Z018,F001,Lobby 18,Lobby,1463.0,9
Z019,F002,Workshop 01,Workshop,492.0,5
Z020,F002,Hallway 02,Hallway,1819.0,9
Z021,F002,Hallway 03,Hallway,2271.0,11
Z022,F002,Reception 04,Reception,1288.0,8
Z023,F002,ServerRoom 05,ServerRoom,316.0,5
Z024,F002,Training Room 06,Training Room,1266.0,8
Z025,F002,Storage 07,Storage,2176.0,10
Z026,F002,Restroom 08,Restroom,1283.0,8
Z027,F002,Reception 09,Reception,1334.0,8
Z028,F002,Hallway 10,Hallway,725.0,5
Z029,F002,Break Room 11,Break Room,540.0,5
Z030,F002,Kitchen 12,Kitchen,151.0,5
Z031,F002,Storage 13,Storage,253.0,5
Z032,F002,Conference 14,Conference,1996.0,19
Z033,F002,ServerRoom 15,ServerRoom,302.0,5
Z034,F002,Data Center 16,Data Center,541.0,5
Z035,F002,Training Room 17,Training Room,1149.0,7
Z036,F002,Storage 18,Storage,1488.0,7
Z037,F002,Conference 19,Conference,1302.0,13
Z038,F003,Laboratory 01,Laboratory,1284.0,8
Z039,F003,Break Room 02,Break Room,608.0,5
Z040,F003,Storage 03,Storage,1499.0,7
Z041,F003,Office 04,Office,538.0,5
Z042,F003,Storage 05,Storage,1235.0,6
Z043,F003,Reception 06,Reception,407.0,5
Z044,F003,Lobby 07,Lobby,374.0,5
Z045,F003,Conference 08,Conference,1591.0,15
Z046,F003,Reception 09,Reception,539.0,5
Z047,F003,Restroom 10,Restroom,1574.0,10
Z048,F003,Lobby 11,Lobby,815.0,5
Z049,F003,Workshop 12,Workshop,2293.0,15
Z050,F003,Kitchen 13,Kitchen,708.0,5
Z051,F003,Laboratory 14,Laboratory,543.0,5
Z052,F003,Storage 15,Storage,2478.0,12
Z053,F003,Workshop 16,Workshop,407.0,5
Z054,F003,Break Room 17,Break Room,574.0,5
Z055,F004,Restroom 01,Restroom,367.0,5
Z056,F004,Reception 02,Reception,1875.0,12
Z057,F004,Restroom 03,Restroom,2201.0,14
Z058,F004,ServerRoom 04,ServerRoom,1765.0,11
Z059,F004,Hallway 05,Hallway,1186.0,5
Z060,F004,Conference 06,Conference,821.0,8
Z061,F004,Lobby 07,Lobby,1164.0,7
Z062,F004,Storage 08,Storage,1922.0,9
Z063,F004,Kitchen 09,Kitchen,1576.0,10
Z064,F004,Office 10,Office,2111.0,21
Z065,F004,Hallway 11,Hallway,280.0,5
Z066,F004,Kitchen 12,Kitchen,2458.0,16
Z067,F004,Lobby 13,Lobby,1068.0,7
Z068,F004,Lobby 14,Lobby,1719.0,11
Z069,F005,Kitchen 01,Kitchen,1919.0,12
Z070,F005,Break Room 02,Break Room,718.0,5
Z071,F005,Conference 03,Conference,321.0,5
Z072,F005,Storage 04,Storage,1009.0,5
Z073,F005,Laboratory 05,Laboratory,1845.0,12
Z074,F005,Data Center 06,Data Center,2283.0,15
Z075,F005,Restroom 07,Restroom,2396.0,15
Z076,F005,Workshop 08,Workshop,1914.0,12
Z077,F005,Storage 09,Storage,624.0,5
Z078,F006,Lobby 01,Lobby,1049.0,6
Z079,F006,Lobby 02,Lobby,2183.0,14
Z080,F006,Reception 03,Reception,534.0,5
Z081,F006,Data Center 04,Data Center,286.0,5
Z082,F006,Office 05,Office,1456.0,14
Z083,F006,Office 06,Office,1308.0,13
Z084,F006,Conference 07,Conference,1811.0,18
Z085,F006,Hallway 08,Hallway,1000.0,5
Z086,F006,Lobby 09,Lobby,238.0,5
Z087,F006,Restroom 10,Restroom,625.0,5
Z088,F006,Conference 11,Conference,1469.0,14
Z089,F006,Lobby 12,Lobby,184.0,5
Z090,F006,Kitchen 13,Kitchen,2339.0,15
Z091,F006,Kitchen 14,Kitchen,1216.0,8
Z092,F006,Kitchen 15,Kitchen,1337.0,8
Z093,F006,Kitchen 16,Kitchen,279.0,5
Z094,F007,Restroom 01,Restroom,817.0,5
Z095,F007,Training Room 02,Training Room,869.0,5
Z096,F007,Data Center 03,Data Center,931.0,6
Z097,F007,Lobby 04,Lobby,1027.0,6
Z098,F007,Hallway 05,Hallway,409.0,5
Z099,F007,Hallway 06,Hallway,1950.0,9
Z100,F007,Laboratory 07,Laboratory,1796.0,11
Z101,F007,Office 08,Office,1522.0,15
Z102,F007,Kitchen 09,Kitchen,1554.0,10
Z103,F007,Kitchen 10,Kitchen,171.0,5
Z104,F007,Office 11,Office,743.0,7
Z105,F007,ServerRoom 12,ServerRoom,2124.0,14
Z106,F007,Data Center 13,Data Center,1932.0,12
Z107,F007,Lobby 14,Lobby,1444.0,9
Z108,F007,Workshop 15,Workshop,269.0,5
Z109,F007,Reception 16,Reception,656.0,5
Z110,F007,Storage 17,Storage,1166.0,5
Z111,F007,Lobby 18,Lobby,333.0,5
