curve_id,maturity_months,discount_rate,as_of_date
CURVE_0,6,0.07,2021-07-28
CURVE_0,12,0.04,2022-10-01
CURVE_0,18,0.04,2023-08-10
CURVE_0,24,0.06,2023-01-13
CURVE_0,30,0.04,2022-08-02
CURVE_0,36,0.01,2023-05-11
CURVE_0,42,0.03,2023-04-16
CURVE_0,48,0.02,2024-07-01
CURVE_0,54,0.07,2020-08-25
CURVE_0,60,0.03,2025-11-07
CURVE_0,66,0.01,2021-01-13
CURVE_0,72,0.05,2025-05-14
CURVE_0,78,0.04,2023-11-16
CURVE_0,84,0.03,2025-05-19
CURVE_0,90,0.01,2018-03-29
CURVE_0,96,0.04,2022-12-10
CURVE_0,102,0.05,2024-11-16
CURVE_0,108,0.07,2024-10-27
CURVE_0,114,0.01,2025-07-22
CURVE_0,120,0.05,2021-04-26
CURVE_1,6,0.06,2018-04-24
CURVE_1,12,0.05,2024-06-01
CURVE_1,18,0.03,2022-07-28
CURVE_1,24,0.03,2024-08-22
CURVE_1,30,0.02,2023-01-03
CURVE_1,36,0.04,2018-11-07
CURVE_1,42,0.05,2019-03-15
CURVE_1,48,0.04,2020-05-19
CURVE_1,54,0.06,2018-09-06
CURVE_1,60,0.02,2025-05-29
CURVE_1,66,0.02,2021-06-27
CURVE_1,72,0.05,2019-09-24
CURVE_1,78,0.04,2024-01-23
CURVE_1,84,0.05,2021-07-30
CURVE_1,90,0.07,2024-02-03
CURVE_1,96,0.05,2023-05-09
CURVE_1,102,0.03,2019-03-21
CURVE_1,108,0.02,2018-12-09
CURVE_1,114,0.06,2020-09-02
CURVE_1,120,0.02,2024-04-18
CURVE_2,6,0.01,2024-11-12
CURVE_2,12,0.04,2023-06-28
CURVE_2,18,0.03,2024-08-10
CURVE_2,24,0.02,2022-05-23
CURVE_2,30,0.03,2022-01-12
CURVE_2,36,0.03,2018-06-04
CURVE_2,42,0.06,2025-12-19
CURVE_2,48,0.02,2020-04-13
CURVE_2,54,0.01,2024-09-20
CURVE_2,60,0.03,2024-05-06
CURVE_2,66,0.06,2023-08-09
CURVE_2,72,0.02,2022-01-21
CURVE_2,78,0.02,2024-06-09
CURVE_2,84,0.07,2024-07-12
CURVE_2,90,0.03,2022-07-28
CURVE_2,96,0.02,2020-01-30
CURVE_2,102,0.04,2021-12-10
CURVE_2,108,0.02,2019-03-10
CURVE_2,114,0.07,2020-08-05
CURVE_2,120,0.06,2022-04-22
CURVE_3,6,0.02,2018-05-05
CURVE_3,12,0.03,2024-12-22
CURVE_3,18,0.03,2021-10-17
CURVE_3,24,0.02,2019-09-23
CURVE_3,30,0.07,2022-04-02
CURVE_3,36,0.01,2019-02-25
CURVE_3,42,0.03,2022-10-01
CURVE_3,48,0.03,2022-08-13
CURVE_3,54,0.05,2023-06-11
CURVE_3,60,0.03,2018-07-15
CURVE_3,66,0.06,2024-02-17
CURVE_3,72,0.05,2025-04-19
CURVE_3,78,0.03,2024-12-31
CURVE_3,84,0.06,2025-11-27
CURVE_3,90,0.05,2018-05-28
CURVE_3,96,0.04,2019-06-16
CURVE_3,102,0.04,2025-12-23
CURVE_3,108,0.07,2019-04-18
CURVE_3,114,0.05,2019-10-18
CURVE_3,120,0.05,2019-11-12
CURVE_4,6,0.01,2020-03-07
CURVE_4,12,0.07,2022-10-24
CURVE_4,18,0.01,2023-04-20
CURVE_4,24,0.02,2018-03-19
CURVE_4,30,0.05,2019-05-20
CURVE_4,36,0.07,2025-04-24
CURVE_4,42,0.05,2019-12-17
CURVE_4,48,0.01,2024-06-25
CURVE_4,54,0.04,2024-02-17
CURVE_4,60,0.03,2024-01-14
CURVE_4,66,0.03,2018-11-20
CURVE_4,72,0.01,2018-11-08
CURVE_4,78,0.01,2024-09-05
CURVE_4,84,0.03,2024-04-14
CURVE_4,90,0.03,2018-03-27
CURVE_4,96,0.04,2025-05-24
CURVE_4,102,0.02,2023-10-01
CURVE_4,108,0.05,2022-12-24
CURVE_4,114,0.07,2020-01-28
CURVE_4,120,0.05,2024-10-26
