transaction_id,policy_id,transaction_date,premium_amount,ceded_premium_amount,net_premium_amount,commission_paid
fb9f92ac-c5f9-407d-88f4-cd6b1f51803b,POL67790357,2024-02-26,9703.27,2365.52,7337.75,656.08
f7d1a8b5-21c0-49f0-8558-73829ab8b3f8,POL80681977,2018-12-23,9829.82,1249.05,8580.77,189.71
2ff1d03e-e33e-4ecc-8ee2-0c73ccc99166,POL76808182,2019-07-25,3325.64,491.58,2834.06,35.35
db12fdc2-65fb-4d8f-a4e8-6a06e487e537,POL51765471,2025-10-11,4703.88,1195.3,3508.58,232.7
1e8a6a25-3a6b-4851-8de4-e6f1cfa9f0f0,POL89263601,2023-03-04,1036.74,122.49,914.25,50.84
da30159d-8519-4477-90d8-92eeb060233e,POL26575687,2021-11-22,1809.24,444.37,1364.87,23.46
e909f3dc-c709-440c-9149-4b7a268ce940,POL14505793,2020-06-19,8448.17,1568.79,6879.38,303.6
94be5b56-b869-4abe-b2b7-4c642fcb61de,POL98486981,2018-08-26,9030.56,1659.12,7371.44,671.29
c01af5e4-5ebb-4586-ab9d-cb9fcd71cb9f,POL50207911,2018-04-28,6693.78,3281.96,3411.8199999999997,340.58
712368df-d2c5-4590-b52d-af42b3cc99e7,POL90431420,2021-02-01,9522.56,2524.35,6998.209999999999,915.21
841292e1-6cdf-4950-9841-b1d608a50ba9,POL10172682,2019-03-24,9551.43,2437.65,7113.780000000001,665.3
f5d1d3f8-639c-44ae-90c3-970abc00a106,POL35556641,2025-10-15,1730.13,514.28,1215.8500000000001,78.71
1f4b605f-3ad4-4d89-b994-30d718e85fee,POL14760541,2021-12-19,8952.28,4306.19,4646.090000000001,92.91
ca051471-1478-42c8-805a-53562084ebe4,POL06052107,2018-09-20,7564.72,2492.98,5071.74,157.41
b9f2e9e0-052e-4e84-bfde-5557f870fc13,POL27278596,2024-12-12,6540.82,1293.57,5247.25,429.13
fec32818-86d6-4931-89dd-c089c51dbe83,POL14305470,2019-05-12,3168.72,1247.49,1921.2299999999998,180.54
013ab66c-c578-4149-9f88-1f1a72dda5b8,POL69730327,2020-09-27,5049.09,2477.55,2571.54,150.62
6a9b9f16-0f01-4f7d-93af-b5a028f6488d,POL81699839,2024-11-14,9073.75,1931.72,7142.03,794.45
088c1a38-8973-4867-9060-f9e534912f0d,POL59064939,2024-01-07,8219.39,3398.27,4821.119999999999,507.98
9916e78b-11dc-4b85-80cf-cbaa3a668979,POL17374691,2021-09-05,3317.87,796.52,2521.35,45.53
a8b8230b-956e-42e9-8101-af28796653d2,POL10621442,2023-03-31,4390.01,1569.54,2820.4700000000003,344.81
0e47039e-4dd1-4536-b153-fe6550dc1ad5,POL84280073,2023-10-21,7167.67,1376.07,5791.6,182.13
b895e304-c6ee-4d46-93db-2e1917375cc7,POL43821916,2024-01-26,5647.71,2032.52,3615.19,478.85
43ca7a89-3d04-4daf-a2f3-676940d9918b,POL61180157,2022-01-12,1627.68,460.47,1167.21,63.9
7666f411-171a-4f1b-9ab3-23e3dc22c970,POL41767683,2024-08-01,6996.59,2591.69,4404.9,100.16
1106eccc-1d06-4ea6-979e-2921dcfa3650,POL59993848,2018-02-21,5633.41,1447.4,4186.01,272.71
ad316007-0d86-453e-bc32-ed5aa23243a5,POL74449005,2025-12-30,612.05,114.74,497.30999999999995,50.69
d7a37976-0b09-4965-abdf-f8c8becdc289,POL04638077,2019-08-14,1770.93,603.19,1167.74,107.53
4bd8bed2-d7ab-4ba6-a47b-03fdadc66564,POL40178298,2020-05-29,7247.24,3264.35,3982.89,679.88
2c71a67c-331a-495b-84be-23ad255d2e95,POL93579007,2023-07-02,4976.27,1836.15,3140.1200000000003,225.82
e595f18e-d63f-484e-9bcf-72824200e13f,POL11898271,2020-02-25,1740.41,589.42,1150.9900000000002,80.71
079ac7d2-fbbb-49de-a244-dea172c621dd,POL52363916,2023-02-25,3540.85,1538.49,2002.36,278.9
7c23b075-f821-4097-b476-4868f68e254a,POL70935353,2018-01-20,5456.26,551.13,4905.13,368.55
e316765f-3069-4bbe-8567-8ca2c0de0b1a,POL10268987,2019-08-08,2950.2,302.33,2647.87,129.68
010e5b0a-6ea8-403e-9ce9-b94ce50d3576,POL34677679,2019-07-24,4544.61,1665.37,2879.24,52.74
a12aba34-ea6f-43dd-b1aa-91f9b66319ec,POL40291932,2018-12-29,6366.53,1664.35,4702.18,590.62
6acafe83-4d08-4e7a-948b-86a890b6c54f,POL07712156,2019-12-06,2470.4,509.04,1961.3600000000001,121.96
eeff4973-5e42-43b3-bbf5-0c137ec3072a,POL63214726,2019-09-30,5189.65,1096.98,4092.6699999999996,515.56
6e47e856-9620-4bea-9cd3-f3f65d565061,POL24695487,2022-12-15,5604.02,1646.69,3957.3300000000004,131.12
81b1b9b8-c5f4-4878-82fc-7a7406af0170,POL50841468,2025-01-03,823.34,357.77,465.57000000000005,48.03
423537d2-339c-41fb-adb7-b2044aaa7745,POL00301813,2022-07-14,9750.27,1157.87,8592.400000000001,307.8
eb29a61a-1005-476b-aff1-5dfc6d935efc,POL70960849,2018-05-30,2875.94,1078.07,1797.8700000000001,45.32
70d89699-a366-4ec7-85ea-0b614bdc22b5,POL03824809,2022-05-04,8946.77,1086.85,7859.92,658.7
f307de38-7a80-462c-a7ba-66be42a3123e,POL30177450,2019-06-21,4791.13,1351.09,3440.04,160.76
9db1529b-80d4-46ce-9404-cb41cc87f137,POL07712156,2024-10-29,5221.09,696.31,4524.780000000001,496.26
85489b3e-87cb-43ff-abf3-77c44294e80d,POL91172600,2022-10-22,4033.57,1283.18,2750.3900000000003,200.25
0fb9c606-861f-4062-8b16-d6cb41b96032,POL54827699,2021-07-13,9540.98,2559.3,6981.679999999999,569.75
e0b6a79e-98da-4a64-ac8a-4464c5ac878b,POL03795664,2023-09-06,7411.41,3245.92,4165.49,712.14
51451f0a-1d50-4fc5-8b69-1c31aeab920b,POL60440909,2020-04-02,5931.42,1308.16,4623.26,126.17
81a039b7-4d3f-4f70-962b-a579a60c5873,POL92528988,2018-03-05,1284.79,610.29,674.5,47.63
c3f67eb5-2fb4-4adb-8011-4d7379e81770,POL96705377,2022-12-09,7311.5,1094.93,6216.57,290.28
