entry_id,posting_date,policy_group_id,account_code,description,amount,dr_cr_flag,source_metric,export_status
ae7b8a74-f366-4096-a19f-7b4da2728f93,2020-01-24,GRP86394,AC25220,Human performance man every.,2738.82,DR,CSM,Rejected
d1aed9be-4951-4583-872d-d3bca46c71ec,2019-05-05,GRP95529,AC76055,Fund financial our them.,22810.23,DR,RA,Rejected
70719c5b-c994-445a-9ea7-6482bce0e044,2019-06-19,GRP54459,AC38621,Human into huge strong.,31685.24,DR,Claim,Ready
406479d2-eea8-4eb3-b960-64351cca653b,2019-12-16,GRP46726,AC13168,Professor we very box year.,-25770.82,CR,Claim,Posted
cdca6c19-1b10-4f06-bffa-e813db4cb7d0,2024-07-08,GRP68073,AC98518,Alone political range moment.,46318.08,DR,Claim,Ready
b7bdc660-bcb9-4d8b-86a9-59e6a4de8730,2025-05-01,GRP18989,AC64233,Tonight perhaps.,41237.28,DR,CSM,Rejected
24200042-9717-4497-8f62-abec15068123,2022-08-25,GRP20953,AC44593,Look easy six stay.,16529.81,DR,CSM,Rejected
ab2ab530-20bb-41f2-8109-330964982694,2019-08-11,GRP59429,AC24940,Responsibility story despite ground.,3330.94,DR,CSM,Rejected
6743f607-c204-4e2f-b8f5-34bb66c6c117,2022-08-22,GRP45102,AC48572,Recognize floor.,43879.48,DR,CSM,Rejected
ac549f3d-8fb3-4b6e-9363-15f5facbb59a,2021-11-13,GRP39561,AC49209,Open buy capital.,34558.15,DR,RA,Rejected
155170e0-4dcf-4e54-bd8f-d038e7961901,2021-07-23,GRP95282,AC42196,Two lead manager consumer none.,46671.13,DR,CSM,Posted
4277892a-da47-4cb1-bae0-df28a3e3c242,2021-12-13,GRP44725,AC11451,Better pay either community.,20213.87,CR,Claim,Posted
73cfe3e1-de77-476e-a787-c2d3de27a8f6,2023-01-27,GRP39103,AC99844,Military itself indeed quickly probably.,9452.08,DR,CSM,Posted
7a7b97e0-4365-4a02-9e2d-6e878f5ffa2c,2022-01-02,GRP39768,AC23439,Impact building development according number.,-9410.2,CR,Claim,Rejected
4a8e5ee4-d1ee-4819-b7a6-7bf60feff57b,2025-12-08,GRP58348,AC85067,Ten finally center question radio.,-38788.78,CR,Claim,Posted
7964a690-1d5c-477e-b655-9a2915487faa,2019-10-26,GRP42016,AC40230,Future hard likely dark.,28537.19,CR,Claim,Rejected
54132104-a64d-4b6f-99f9-434418c9db6e,2024-01-25,GRP13052,AC46716,Finish one else foreign.,-45792.08,DR,Claim,Rejected
531fc633-4d40-439c-934f-a95889088b01,2025-08-02,GRP76480,AC57340,Tonight family hope run carry.,3958.31,DR,CSM,Posted
0ece0d28-b0ea-4e74-ae5e-07850a7a7867,2018-02-17,GRP18621,AC79428,Suddenly wear small camera.,-27421.01,CR,Claim,Rejected
e2375836-9457-46fb-9f58-ac86a65b334a,2025-01-11,GRP47563,AC49743,Successful morning hear.,33255.2,DR,Claim,Posted
3ef9799a-0505-4c8b-83cc-3d71f8e7ea84,2025-08-15,GRP72248,AC67135,Remain read thousand.,3678.33,DR,CSM,Rejected
aa5272cd-c12e-4c7d-b08e-d41073fd1fa7,2020-11-06,GRP11534,AC79980,Street suddenly close.,9590.7,DR,Claim,Ready
cb1c607a-9b62-49aa-a661-d9301940d42b,2019-12-18,GRP17771,AC70524,Conference heavy design.,13637.0,CR,Claim,Rejected
f99dbe54-36a1-462c-a5ba-61d2d01434f3,2025-04-07,GRP49372,AC49384,Partner sometimes someone seven use.,26728.48,DR,CSM,Ready
058c2c27-1f37-46c9-b136-c54ddbec2f2c,2024-08-20,GRP85812,AC91183,Quality performance.,-1408.98,CR,CSM,Posted
b26e059d-3ea8-4915-b0c0-5e6584ab1b3e,2020-12-20,GRP76077,AC92270,Particular somebody even.,-25779.68,CR,Claim,Ready
8e783842-c7f1-4ad6-ac24-d190463e4030,2022-12-02,GRP31196,AC13952,Ready check world detail.,-1613.2,CR,RA,Posted
8c0a0a12-19bb-4e52-95c7-48993685a877,2025-01-31,GRP29361,AC17912,Town across character expect.,-8013.62,DR,Claim,Rejected
94cecd43-fbe9-459b-8cb4-383e6086fa45,2025-07-01,GRP22632,AC38897,Training third likely wrong.,49355.72,DR,Claim,Posted
