region_econ_id,region_id,year,gdp_usd_billion,unemployment_rate_pct,avg_household_income_usd,population_growth_rate_pct,business_growth_index,data_source_references
RE-265ebb89,R-a25b96ec,2018,1844.14,22.54,14792.13,2.18,7.89,['EconData_goal']
RE-7f3a6b2a,R-a25b96ec,2019,352.79,21.54,93862.48,3.48,6.87,['EconData_discuss']
RE-fdfbc0e9,R-a25b96ec,2020,817.23,18.31,51481.73,1.92,1.81,['EconData_television']
RE-8cd5653b,R-a25b96ec,2021,676.34,19.81,13820.41,0.14,3.72,['EconData_describe']
RE-d58c58db,R-a25b96ec,2022,249.09,21.3,33731.85,1.81,4.01,['EconData_play']
RE-27bf3788,R-a25b96ec,2023,1413.69,7.86,28806.7,0.02,2.7,['EconData_protect']
RE-32693b05,R-a25b96ec,2024,1231.13,6.59,117815.4,0.93,8.94,['EconData_wife']
RE-efb09340,R-a49a1045,2018,1348.59,14.32,72808.46,1.79,3.37,['EconData_role']
RE-78ad0a34,R-a49a1045,2019,1670.99,7.76,110786.93,2.41,6.12,['EconData_wife']
RE-67ecee20,R-a49a1045,2020,137.6,22.87,45666.0,2.31,7.13,['EconData_station']
RE-499467d8,R-a49a1045,2021,178.23,22.52,28473.52,0.47,9.99,['EconData_common']
RE-54deac7b,R-a49a1045,2022,503.43,13.97,51602.38,2.46,0.62,['EconData_threat']
RE-6079421a,R-a49a1045,2023,1734.18,5.06,38730.06,0.23,4.38,['EconData_phone']
RE-f7ff6d47,R-a49a1045,2024,1581.62,20.47,27689.9,0.75,1.02,['EconData_hope']
RE-ebcfdd53,R-f89e15ab,2018,779.79,8.55,83671.56,1.17,1.22,['EconData_left']
RE-7804e054,R-f89e15ab,2019,445.79,12.85,23031.13,3.53,5.43,['EconData_right']
RE-735b37c1,R-f89e15ab,2020,1202.97,15.0,117303.75,1.16,6.64,['EconData_number']
RE-61827dd4,R-f89e15ab,2021,366.6,23.22,39826.53,1.26,2.51,['EconData_your']
RE-a699e11c,R-f89e15ab,2022,1980.15,2.89,22546.41,3.35,8.23,['EconData_situation']
RE-b15707c6,R-f89e15ab,2023,668.72,5.42,72749.33,3.56,7.03,['EconData_imagine']
RE-a902210e,R-f89e15ab,2024,1108.87,22.91,92135.91,1.81,4.14,['EconData_there']
RE-46421b24,R-53a0e936,2018,1441.0,16.88,12500.46,2.13,4.5,['EconData_section']
RE-9d41dea1,R-53a0e936,2019,181.87,0.28,96255.75,2.69,3.55,['EconData_hand']
RE-1eb89597,R-53a0e936,2020,1111.98,2.87,86836.39,0.16,9.09,['EconData_the']
RE-eca35ee3,R-53a0e936,2021,1255.54,21.47,80249.15,0.69,1.92,['EconData_affect']
RE-fb49149e,R-53a0e936,2022,194.73,10.01,92299.28,0.02,7.69,['EconData_tend']
RE-f5741d29,R-53a0e936,2023,423.19,18.92,58553.41,3.11,4.19,['EconData_third']
RE-8b930e5d,R-53a0e936,2024,1464.12,21.57,15450.6,0.67,8.29,['EconData_plan']
RE-ac797e41,R-35a17c83,2018,941.34,16.52,11325.27,0.28,9.48,['EconData_hair']
RE-912a6ecc,R-35a17c83,2019,1594.93,5.2,111830.07,1.33,7.62,['EconData_recent']
RE-f7be0c2e,R-35a17c83,2020,181.35,23.86,19119.12,3.68,5.28,['EconData_race']
RE-ae2be2e9,R-35a17c83,2021,674.71,11.49,22437.94,2.22,9.08,['EconData_catch']
RE-5016bb16,R-35a17c83,2022,544.64,22.24,48234.18,0.25,0.67,['EconData_from']
RE-7eccd386,R-35a17c83,2023,1047.16,5.04,41600.29,3.03,8.77,['EconData_we']
RE-f23c4d7d,R-35a17c83,2024,590.63,13.02,81254.24,2.69,8.24,['EconData_increase']
RE-03827040,R-5cbc62c1,2018,686.87,10.76,64972.04,2.5,0.7,['EconData_war']
RE-99417920,R-5cbc62c1,2019,1956.57,23.41,75582.31,1.16,9.89,['EconData_difference']
RE-5d74585f,R-5cbc62c1,2020,1639.49,19.71,40998.88,2.04,0.84,['EconData_as']
RE-4e0be666,R-5cbc62c1,2021,1249.49,12.11,19579.78,3.83,4.73,['EconData_together']
RE-5a37bb60,R-5cbc62c1,2022,490.8,2.7,100353.84,2.04,7.22,['EconData_newspaper']
RE-9ec61979,R-5cbc62c1,2023,183.39,16.0,101072.13,2.17,0.84,['EconData_accept']
RE-b7d655f2,R-5cbc62c1,2024,425.9,17.93,75181.89,0.83,3.35,['EconData_appear']
RE-86a6d50f,R-680f6311,2018,1396.44,12.36,19349.62,1.43,6.3,['EconData_whatever']
RE-de78bef4,R-680f6311,2019,709.35,12.16,97820.28,1.9,9.78,['EconData_also']
RE-83ec0615,R-680f6311,2020,569.51,4.4,112134.55,1.07,7.86,['EconData_although']
RE-b0c14882,R-680f6311,2021,960.97,12.26,52349.94,3.98,3.34,['EconData_economy']
RE-4dffa055,R-680f6311,2022,1058.9,10.92,52351.61,2.19,4.63,['EconData_rock']
RE-6a002b47,R-680f6311,2023,1275.96,0.98,107259.99,2.6,3.25,['EconData_officer']
RE-36f77f44,R-680f6311,2024,177.39,11.98,54096.74,1.71,0.57,['EconData_break']
