region_id,name,country,sub_region,population,major_metropolitan_areas,energy_regulatory_body,data_source_references
R-a25b96ec,North Judithbury,Czech Republic,Florida,3835650,['Lake Joyside'],RegBody_begin,['Source_performance']
R-a49a1045,Johnsonland,Cuba,Iowa,9328452,['New Jamesside'],RegBody_kind,['Source_discussion']
R-f89e15ab,Lawrencetown,Senegal,Hawaii,7589709,['Petersonberg'],RegBody_dinner,['Source_source']
R-53a0e936,Curtisfurt,Bhutan,Minnesota,3539167,"['Cassandraton', 'Herrerafurt', 'New Kellystad']",RegBody_participant,['Source_dark']
R-35a17c83,North Donnaport,Belgium,Iowa,18399464,['South Joshuastad'],RegBody_commercial,['Source_hospital']
R-5cbc62c1,Jasonview,Reunion,Utah,19913640,"['New Cynthiaside', 'East Steven']",RegBody_expect,['Source_wish']
R-680f6311,Lake Mark,Seychelles,Wyoming,1166449,['East Lydiamouth'],RegBody_institution,['Source_executive']
R-eb24951e,East Robinshire,Turkey,Virginia,3243890,['Jasonfort'],RegBody_individual,['Source_usually']
R-fb54d982,Thomasberg,Egypt,West Virginia,7906804,"['Juliechester', 'Coxberg', 'Daviston']",RegBody_traditional,['Source_break']
R-fcabcd35,Lake Ernest,Pitcairn Islands,Nevada,990399,"['South Patrickmouth', 'Tashatown', 'Lake Nicoleview']",RegBody_specific,['Source_put']
R-2acf6952,Danielchester,Cayman Islands,New Jersey,6771884,"['Lake Nancyview', 'New Rita', 'Meaganhaven']",RegBody_politics,['Source_decide']
R-a56fa919,West Kathryn,Mauritius,Wyoming,18385201,"['New Mariotown', 'West Natashaport']",RegBody_education,['Source_article']
R-2cbbcf37,New Stacey,Belize,Washington,7496759,"['Cabreraside', 'East Donna']",RegBody_your,['Source_often']
R-99266b30,West Allison,New Caledonia,Nevada,19872475,"['New Karina', 'Lake Larry']",RegBody_remain,['Source_rate']
R-7158f265,Samuelhaven,Korea,Delaware,318062,['East Caleb'],RegBody_against,['Source_per']
R-acbe1283,New Jeffrey,Barbados,Virginia,14280586,"['East Carloston', 'Chadbury']",RegBody_family,['Source_relationship']
R-d48954d8,Lewisberg,Saint Kitts and Nevis,Oregon,9423815,['Sanchezfort'],RegBody_surface,['Source_investment']
R-a80c66a1,North Collin,Jersey,Minnesota,7324730,"['Jenkinston', 'North Richardmouth']",RegBody_such,['Source_training']
