td_profile_id,market_id,total_line_miles,substation_count,avg_system_voltage_kv,planned_upgrades_count,projected_load_growth_pct,reliability_metric_sadi,distribution_automation_index
TD-e00ec9df,M-451815f4,15773.46,370,174.07,49,4.72,2.11,1.85
TD-5f169495,M-7ef3b07d,4603.82,781,346.56,3,0.98,1.58,2.44
TD-d43ec8f1,M-39b20e02,37429.81,1849,261.55,31,0.88,0.78,0.58
TD-48442d2b,M-6d75af6a,2265.72,4766,335.63,27,0.95,1.16,8.42
TD-4b5ff404,M-d1002168,37719.64,2301,359.91,4,2.81,2.16,9.7
TD-84a5e936,M-795698a4,30979.52,3683,303.56,39,4.15,1.14,0.0
TD-7b42a4d3,M-c0340a10,79412.79,2820,372.49,13,1.12,1.55,9.62
TD-be568bbf,M-c821feda,65123.87,3840,250.38,50,2.91,0.84,3.31
TD-a44526a1,M-cafdf6d1,29033.57,2359,424.28,28,0.56,3.83,6.15
TD-ba4b2135,M-dcc2f6b2,94503.59,2890,124.44,39,3.65,0.97,0.8
TD-4ed8637a,M-3e2cd7c6,45190.84,4088,232.83,26,3.7,2.03,3.45
TD-684bcd35,M-028428b6,65917.46,3425,64.24,1,4.03,1.22,0.87
TD-b978e6a2,M-c512e1b6,70059.29,2631,255.66,3,2.33,0.83,7.21
TD-520d5a07,M-b392a48b,6081.42,1082,147.84,43,1.01,2.65,5.47
TD-f3ae6210,M-a46e7457,92743.35,197,213.44,30,3.35,1.42,2.46
TD-622c387f,M-247a94d2,15201.74,3984,90.49,22,3.14,0.82,1.38
TD-8f3187a5,M-30706344,81891.67,4234,369.46,41,2.81,2.36,9.12
TD-0106c557,M-4ea8ae4b,8470.43,2344,427.99,38,1.9,0.6,0.29
TD-8aa8bbfa,M-08d461ce,74671.12,3716,420.69,49,4.59,3.06,5.38
TD-74fd8a20,M-c62187c7,90795.6,1217,441.02,44,3.64,1.43,2.6
TD-2c6a42c7,M-a40b51eb,34523.5,4115,430.63,24,3.26,1.07,4.79
TD-0a5afbe8,M-54e88a92,96447.73,2113,81.23,42,2.99,4.11,4.97
TD-c8c43ed6,M-e0ea07ce,34315.6,587,445.07,21,4.53,4.64,1.39
TD-6192c98f,M-45a90fc9,9515.33,2252,344.63,1,4.17,4.12,1.64
TD-16b090f5,M-4a35f32c,42854.23,2399,118.92,28,4.4,4.45,8.72
TD-193f1850,M-3b7e01ba,36943.14,1184,260.83,17,1.92,2.05,9.62
TD-1ef3671a,M-0759b013,90967.76,4006,476.74,23,3.53,1.91,7.51
TD-78682b14,M-42cefaee,61398.15,3365,154.5,28,2.8,3.15,1.6
TD-b82c18c3,M-a17f342a,27940.34,4733,167.49,23,4.24,0.6,4.07
TD-d25b3e55,M-4ae36785,13895.17,48,480.65,37,1.08,3.05,3.27
TD-d54f6a8d,M-900583b0,53429.8,2735,434.04,9,4.18,0.74,4.22
TD-bedfc6ab,M-06f600af,12724.7,3665,442.01,45,2.71,3.19,2.31
TD-2e62316e,M-b9f89c8b,32025.71,179,319.69,37,4.0,1.66,8.77
TD-47dfaf45,M-51dd99bd,86660.63,598,94.17,7,1.86,4.41,6.57
TD-306d8763,M-f213f166,90113.33,1525,101.81,12,1.82,2.72,5.5
TD-942b7c54,M-afc7b7e8,85717.37,52,166.97,22,4.88,3.75,4.64
