epi_id,region_id,year,inflation_rate_pct,interest_rate_pct,govt_debt_gdp_ratio,govt_budget_balance_usd_billion,consumer_confidence_index,data_source_references
EPI-9cd36a89,R-a25b96ec,2026,8.92,5.05,52.07,-75.08,105.58,['EPI_morning']
EPI-5780e035,R-a25b96ec,2026,3.09,6.23,97.84,128.21,117.37,['EPI_where']
EPI-f4b73275,R-a25b96ec,2020,9.57,8.93,153.09,37.07,97.24,['EPI_since']
EPI-eb2884ef,R-a25b96ec,2024,3.73,4.52,158.13,-9.09,89.6,['EPI_now']
EPI-3952539e,R-a25b96ec,2022,12.4,1.79,39.98,40.45,97.46,['EPI_from']
EPI-a9b537d3,R-a25b96ec,2026,1.92,5.62,170.02,210.2,94.43,['EPI_begin']
EPI-5f6393b3,R-a25b96ec,2022,9.37,6.19,94.96,186.99,110.48,['EPI_expect']
EPI-ecd332ab,R-a25b96ec,2020,0.97,2.43,168.09,52.04,93.91,['EPI_group']
EPI-f1a02e8d,R-a25b96ec,2019,4.25,9.89,75.34,223.47,76.42,['EPI_tend']
EPI-3017c6de,R-a25b96ec,2026,7.85,2.02,150.22,112.85,116.89,['EPI_middle']
EPI-20a2b15c,R-a49a1045,2023,3.18,0.86,39.74,237.74,91.14,['EPI_say']
EPI-f6113662,R-a49a1045,2022,0.21,1.75,168.86,-49.81,119.32,['EPI_outside']
EPI-b9c8ced6,R-a49a1045,2022,9.28,8.8,183.28,242.81,93.42,['EPI_upon']
EPI-ddb46293,R-a49a1045,2022,2.29,8.41,63.26,108.61,105.52,['EPI_garden']
EPI-ce975743,R-a49a1045,2020,0.29,2.16,58.49,258.63,88.85,['EPI_interest']
EPI-4ed1e32a,R-a49a1045,2023,1.61,8.19,74.58,162.41,117.68,['EPI_answer']
EPI-204ad398,R-a49a1045,2019,6.74,4.51,24.14,237.58,60.35,['EPI_hair']
EPI-aeb627d8,R-a49a1045,2020,9.65,0.05,197.1,294.79,86.11,['EPI_kitchen']
EPI-4eaaf083,R-a49a1045,2024,7.26,2.25,105.06,35.32,65.1,['EPI_space']
EPI-3e06971e,R-a49a1045,2022,5.17,9.03,112.62,157.46,98.21,['EPI_alone']
EPI-e8e2ab7d,R-f89e15ab,2024,14.22,8.77,13.75,201.72,104.6,['EPI_media']
EPI-c807f00d,R-f89e15ab,2023,7.21,3.56,17.96,109.76,69.8,['EPI_effort']
EPI-290614aa,R-f89e15ab,2019,12.03,1.13,98.07,239.65,81.83,['EPI_man']
EPI-f5b88d5a,R-f89e15ab,2019,13.89,1.61,175.36,229.13,94.94,['EPI_leg']
EPI-37ba4153,R-f89e15ab,2022,3.79,7.52,38.96,194.17,95.11,['EPI_because']
EPI-a41edbfc,R-f89e15ab,2023,3.18,2.05,19.43,-83.01,117.42,['EPI_sound']
EPI-3b6defa6,R-f89e15ab,2019,0.42,8.18,148.05,101.15,116.95,['EPI_call']
EPI-c5f6473e,R-f89e15ab,2018,7.8,1.47,137.67,218.05,118.29,['EPI_move']
EPI-cb852d43,R-f89e15ab,2025,7.65,6.88,128.88,233.24,85.38,['EPI_notice']
EPI-85c2791e,R-f89e15ab,2021,4.03,5.62,16.28,201.19,63.71,['EPI_weight']
EPI-0c8de237,R-53a0e936,2021,13.12,1.14,169.99,-68.74,117.5,['EPI_couple']
EPI-266571cb,R-53a0e936,2022,6.21,7.36,64.59,278.5,85.81,['EPI_race']
EPI-786e7329,R-53a0e936,2019,9.37,8.26,178.84,26.66,105.33,['EPI_entire']
EPI-370c6af5,R-53a0e936,2019,5.44,6.33,130.22,72.36,87.62,['EPI_understand']
EPI-c4d6d641,R-53a0e936,2018,10.83,3.54,156.45,0.75,58.8,['EPI_commercial']
EPI-ce5447cc,R-53a0e936,2020,6.67,0.59,48.22,267.26,65.78,['EPI_ahead']
EPI-827e2bc5,R-53a0e936,2024,2.29,6.78,161.6,59.93,117.93,['EPI_thus']
EPI-7305dbfa,R-53a0e936,2018,7.83,3.15,163.27,295.43,99.86,['EPI_from']
EPI-c9df783f,R-53a0e936,2025,7.55,8.17,105.18,31.6,89.16,['EPI_sure']
EPI-17a87374,R-53a0e936,2020,0.77,4.96,47.95,297.35,63.49,['EPI_until']
EPI-a87da905,R-35a17c83,2021,2.16,0.5,94.18,270.44,117.42,['EPI_can']
EPI-50f8fe4d,R-35a17c83,2023,14.12,7.83,62.04,17.73,73.12,['EPI_couple']
EPI-a89e02e4,R-35a17c83,2024,7.01,4.41,13.24,69.34,77.7,['EPI_house']
EPI-fbf2838c,R-35a17c83,2026,13.3,9.39,160.23,-97.56,74.71,['EPI_second']
EPI-a6062e84,R-35a17c83,2023,7.27,3.57,95.31,-73.65,119.42,['EPI_eat']
EPI-24152586,R-35a17c83,2021,0.3,9.31,49.96,-11.68,64.52,['EPI_commercial']
EPI-8916f06b,R-35a17c83,2025,1.07,4.58,193.07,92.8,67.3,['EPI_certain']
EPI-39ad8bcd,R-35a17c83,2025,10.03,9.83,102.43,6.95,50.57,['EPI_across']
EPI-290c5e5d,R-35a17c83,2025,8.26,4.11,11.73,46.16,50.06,['EPI_institution']
EPI-0df785d4,R-35a17c83,2020,8.74,2.56,76.6,226.94,79.24,['EPI_purpose']
EPI-be155b8e,R-5cbc62c1,2022,1.29,8.1,131.3,-59.94,61.93,['EPI_budget']
EPI-2848f57d,R-5cbc62c1,2019,14.63,6.58,41.97,285.3,94.69,['EPI_west']
EPI-41b9bd1c,R-5cbc62c1,2025,3.49,6.23,140.14,-31.97,94.66,['EPI_participant']
EPI-c3a2b133,R-5cbc62c1,2026,4.33,3.28,155.96,122.46,61.96,['EPI_entire']
EPI-435cadac,R-5cbc62c1,2018,6.12,6.73,73.51,107.64,103.01,['EPI_rest']
EPI-8cec26a0,R-5cbc62c1,2019,9.86,0.16,118.27,195.39,89.48,['EPI_sing']
EPI-93f64e64,R-5cbc62c1,2021,5.77,7.49,14.95,265.72,72.5,['EPI_born']
EPI-25008228,R-5cbc62c1,2018,11.84,8.28,129.29,250.0,82.73,['EPI_likely']
EPI-4fbb449c,R-5cbc62c1,2018,1.19,0.71,142.1,294.83,60.36,['EPI_why']
EPI-e5fd2799,R-5cbc62c1,2025,12.42,3.09,159.24,265.37,113.63,['EPI_true']
EPI-6940a8c2,R-680f6311,2021,3.27,5.54,66.19,69.55,88.8,['EPI_each']
EPI-cfa533c8,R-680f6311,2026,1.63,0.82,79.77,180.77,65.13,['EPI_maybe']
EPI-70792d96,R-680f6311,2018,5.58,3.69,76.7,-6.2,55.84,['EPI_some']
EPI-0e11a61a,R-680f6311,2018,3.78,5.44,158.45,256.71,54.07,['EPI_series']
EPI-f8654c1d,R-680f6311,2025,12.79,9.64,124.73,69.21,62.77,['EPI_body']
EPI-0ed98ee4,R-680f6311,2022,5.49,6.78,134.64,-9.33,63.81,['EPI_whatever']
EPI-7bbd3d50,R-680f6311,2019,6.87,3.13,144.06,261.17,73.64,['EPI_wide']
EPI-3c081f23,R-680f6311,2021,1.71,5.28,188.17,136.82,72.19,['EPI_few']
EPI-b2556311,R-680f6311,2021,0.71,4.62,157.17,82.05,99.28,['EPI_reach']
