id,teamID,teamName,personIDs
team_0,TM-3000,Team_0_Than,"['person_1859', 'person_530', 'person_578', 'person_1752', 'person_1918', 'person_1792', 'person_1026', 'person_1296']"
team_1,TM-3001,Team_1_Leg,"['person_1001', 'person_403', 'person_1022', 'person_1669', 'person_25', 'person_1979', 'person_1830', 'person_1744', 'person_1999', 'person_891', 'person_1006', 'person_1539', 'person_482']"
team_2,TM-3002,Team_2_Protect,"['person_1360', 'person_1726', 'person_94', 'person_120', 'person_1570', 'person_1259', 'person_1041', 'person_241', 'person_150', 'person_829', 'person_1501', 'person_1611', 'person_930']"
team_3,TM-3003,Team_3_Party,"['person_692', 'person_1884', 'person_609', 'person_1989', 'person_1701', 'person_66', 'person_1307']"
team_4,TM-3004,Team_4_He,"['person_1887', 'person_1018', 'person_114', 'person_163', 'person_1898', 'person_261', 'person_1827', 'person_429', 'person_456', 'person_233', 'person_160', 'person_1498', 'person_1883', 'person_1845', 'person_297', 'person_1119', 'person_1003', 'person_377']"
team_5,TM-3005,Team_5_Get,"['person_429', 'person_915', 'person_1582', 'person_520', 'person_1879', 'person_756', 'person_1961', 'person_322', 'person_1201', 'person_1916', 'person_812', 'person_1716', 'person_85', 'person_1742', 'person_760']"
team_6,TM-3006,Team_6_Position,"['person_104', 'person_446', 'person_1918', 'person_662', 'person_990', 'person_1667', 'person_1162', 'person_1200', 'person_1130', 'person_401', 'person_1460']"
team_7,TM-3007,Team_7_Data,"['person_125', 'person_1725', 'person_990', 'person_39', 'person_674', 'person_1696', 'person_1549', 'person_419', 'person_1948', 'person_1117', 'person_1651', 'person_133']"
team_8,TM-3008,Team_8_Another,"['person_1933', 'person_1867', 'person_891', 'person_1752', 'person_600', 'person_362', 'person_265', 'person_1502', 'person_1656', 'person_7', 'person_382', 'person_1729', 'person_1839', 'person_1549']"
team_9,TM-3009,Team_9_No,"['person_292', 'person_680', 'person_1366', 'person_1043', 'person_404', 'person_1776', 'person_252', 'person_872', 'person_838', 'person_1527', 'person_1894', 'person_328', 'person_1041', 'person_1837']"
team_10,TM-3010,Team_10_General,"['person_579', 'person_1987', 'person_887', 'person_1830', 'person_1303', 'person_1906', 'person_1812', 'person_1520', 'person_201', 'person_832', 'person_1048', 'person_1308', 'person_1548', 'person_562', 'person_863', 'person_1249', 'person_1046', 'person_1391', 'person_1527']"
team_11,TM-3011,Team_11_Amount,"['person_280', 'person_628', 'person_1273', 'person_468', 'person_657', 'person_951', 'person_1503']"
team_12,TM-3012,Team_12_Guy,"['person_726', 'person_1656', 'person_1751', 'person_1508', 'person_295', 'person_1236', 'person_1310', 'person_1543', 'person_1992', 'person_869', 'person_837', 'person_630', 'person_1414', 'person_905', 'person_903', 'person_1306', 'person_1739']"
team_13,TM-3013,Team_13_Enough,"['person_74', 'person_217', 'person_989', 'person_391', 'person_618', 'person_1098', 'person_562', 'person_1946', 'person_448', 'person_1192', 'person_796', 'person_366', 'person_1552', 'person_1215', 'person_738', 'person_837', 'person_358']"
team_14,TM-3014,Team_14_Entire,"['person_573', 'person_1401', 'person_1984', 'person_1744', 'person_1062', 'person_639']"
team_15,TM-3015,Team_15_Sea,"['person_1140', 'person_693', 'person_992', 'person_159', 'person_1128', 'person_1224', 'person_758', 'person_732', 'person_999', 'person_1412', 'person_349', 'person_832', 'person_1420', 'person_1132', 'person_748', 'person_870']"
team_16,TM-3016,Team_16_Support,"['person_1913', 'person_911', 'person_543', 'person_1321', 'person_1575', 'person_841', 'person_1996', 'person_950']"
