id,machineName,machineType,maintenanceDueDate,lineID,operatorIDs
machine_0,WeldingMachine_0,Welding,2025-07-11T14:50:01.043564,line_4,"['operator_28', 'operator_32', 'operator_38']"
machine_1,WeldingMachine_1,Welding,2025-05-24T14:50:01.043564,line_10,"['operator_24', 'operator_5']"
machine_2,AssemblyMachine_2,Assembly,2025-07-10T14:50:01.043564,line_28,"['operator_39', 'operator_28', 'operator_17']"
machine_3,CuttingMachine_3,Cutting,2025-05-17T14:50:01.043564,line_18,"['operator_14', 'operator_39']"
machine_4,CuttingMachine_4,Cutting,2025-04-05T14:50:01.043564,line_8,"['operator_17', 'operator_4']"
machine_5,WeldingMachine_5,Welding,2025-04-28T14:50:01.043564,line_2,"['operator_27', 'operator_5']"
machine_6,PressingMachine_6,Pressing,2025-06-03T14:50:01.043564,line_23,"['operator_5', 'operator_11']"
machine_7,CuttingMachine_7,Cutting,2025-04-19T14:50:01.043564,line_1,['operator_38']
machine_8,PackagingMachine_8,Packaging,2025-08-03T14:50:01.043564,line_7,['operator_33']
machine_9,PackagingMachine_9,Packaging,2025-04-23T14:50:01.043564,line_14,"['operator_17', 'operator_14', 'operator_32']"
machine_10,WeldingMachine_10,Welding,2025-06-07T14:50:01.043564,line_24,['operator_35']
machine_11,CuttingMachine_11,Cutting,2025-05-23T14:50:01.043564,line_8,"['operator_20', 'operator_25']"
machine_12,PressingMachine_12,Pressing,2025-03-04T14:50:01.043564,line_16,"['operator_18', 'operator_33', 'operator_5']"
machine_13,AssemblyMachine_13,Assembly,2025-08-03T14:50:01.043564,line_20,"['operator_18', 'operator_31']"
machine_14,CuttingMachine_14,Cutting,2025-03-08T14:50:01.043564,line_19,"['operator_30', 'operator_17', 'operator_4']"
machine_15,AssemblyMachine_15,Assembly,2025-07-09T14:50:01.043564,line_19,"['operator_33', 'operator_21', 'operator_1']"
machine_16,PackagingMachine_16,Packaging,2025-03-14T14:50:01.043564,line_1,"['operator_36', 'operator_32', 'operator_22']"
machine_17,PressingMachine_17,Pressing,2025-06-23T14:50:01.043564,line_28,"['operator_16', 'operator_17']"
machine_18,AssemblyMachine_18,Assembly,2025-04-29T14:50:01.043564,line_6,['operator_38']
