id,productName,sku,price
product_0,Gadget B,SKU-5200,118.97
product_1,Part Z,SKU-8538,125.58
product_2,Widget A,SKU-2134,138.02
product_3,Device Q,SKU-4594,85.39
product_4,Device Q,SKU-3098,32.33
product_5,Widget A,SKU-1298,93.37
product_6,Widget A,SKU-7972,107.88
product_7,Assembly X,SKU-6992,128.65
product_8,Assembly X,SKU-6908,141.92
product_9,Gadget B,SKU-1645,132.1
product_10,Part Z,SKU-6191,46.66
product_11,Assembly X,SKU-3592,123.86
product_12,Widget A,SKU-5524,103.21
product_13,Gadget B,SKU-2967,189.32
product_14,Part Z,SKU-5404,168.4
product_15,Component Y,SKU-2821,40.71
product_16,Gadget B,SKU-8103,26.03
product_17,Component Y,SKU-6605,40.26
product_18,Gadget B,SKU-3611,20.04
product_19,Gadget B,SKU-7040,96.51
product_20,Assembly X,SKU-5995,107.74
product_21,Assembly X,SKU-4042,113.95
product_22,Component Y,SKU-8372,197.04
product_23,Widget A,SKU-7415,5.04
product_24,Assembly X,SKU-6871,107.11
product_25,Gadget B,SKU-4656,174.95
product_26,Assembly X,SKU-3799,32.05
product_27,Assembly X,SKU-3110,68.0
product_28,Assembly X,SKU-7542,115.0
product_29,Component Y,SKU-3344,149.06
product_30,Widget A,SKU-5834,147.86
product_31,Component Y,SKU-5971,93.16
product_32,Part Z,SKU-3692,97.13
product_33,Device Q,SKU-5477,12.01
product_34,Device Q,SKU-7106,12.65
product_35,Widget A,SKU-9718,113.35
product_36,Part Z,SKU-5295,190.81
product_37,Component Y,SKU-6597,29.61
product_38,Component Y,SKU-3896,198.62
product_39,Gadget B,SKU-6230,6.8
