id,portfolioID,instrumentID,averageCost,currentQuantity
pos_0,port_27,instr_7,167.82,477
pos_1,port_3,instr_59,1652.2,732
pos_2,port_12,instr_14,751.07,966
pos_3,port_11,instr_27,1820.26,-169
pos_4,port_5,instr_27,801.68,746
pos_5,port_28,instr_15,1626.83,44
pos_6,port_15,instr_65,784.91,627
pos_7,port_36,instr_35,1663.88,75
pos_8,port_36,instr_15,264.05,225
pos_9,port_37,instr_38,648.21,-152
pos_10,port_9,instr_51,698.59,-300
pos_11,port_32,instr_0,512.88,-297
pos_12,port_17,instr_5,1605.16,834
pos_13,port_36,instr_62,665.64,-154
pos_14,port_28,instr_73,1035.27,330
pos_15,port_23,instr_10,1951.1,-91
pos_16,port_25,instr_34,833.95,19
pos_17,port_37,instr_12,1229.31,-206
pos_18,port_4,instr_66,731.02,-179
pos_19,port_34,instr_31,633.5,-32
pos_20,port_25,instr_14,1297.27,159
pos_21,port_31,instr_38,1551.71,413
pos_22,port_5,instr_12,374.58,820
pos_23,port_13,instr_59,1760.06,500
pos_24,port_39,instr_19,587.23,907
pos_25,port_39,instr_51,1395.32,237
pos_26,port_5,instr_42,641.25,891
pos_27,port_35,instr_44,1994.03,724
pos_28,port_8,instr_5,673.27,624
pos_29,port_39,instr_41,1285.72,682
pos_30,port_0,instr_44,834.47,290
pos_31,port_2,instr_35,1916.68,802
pos_32,port_37,instr_46,1601.63,426
pos_33,port_8,instr_3,1347.93,969
pos_34,port_11,instr_52,464.46,502
pos_35,port_7,instr_25,820.41,-223
pos_36,port_31,instr_40,738.59,339
pos_37,port_0,instr_38,1099.4,950
pos_38,port_17,instr_6,562.42,891
pos_39,port_36,instr_3,51.08,251
pos_40,port_31,instr_57,1897.0,717
pos_41,port_37,instr_50,309.71,408
pos_42,port_38,instr_42,660.77,-147
pos_43,port_12,instr_75,180.95,-220
pos_44,port_16,instr_4,137.6,-37
pos_45,port_2,instr_29,1353.31,494
pos_46,port_29,instr_0,1737.23,528
pos_47,port_2,instr_72,1878.51,739
pos_48,port_4,instr_9,586.0,718
pos_49,port_12,instr_22,96.41,664
pos_50,port_1,instr_56,281.13,-147
pos_51,port_12,instr_17,806.56,628
pos_52,port_36,instr_6,930.17,834
pos_53,port_8,instr_34,1293.8,732
pos_54,port_13,instr_71,1312.39,605
pos_55,port_19,instr_25,884.38,76
pos_56,port_37,instr_66,1790.19,-54
pos_57,port_1,instr_70,1201.94,906
pos_58,port_9,instr_29,1818.37,581
pos_59,port_21,instr_11,1362.18,876
pos_60,port_11,instr_72,1695.88,781
pos_61,port_11,instr_14,187.33,90
pos_62,port_12,instr_19,1418.2,940
pos_63,port_39,instr_56,1667.63,680
pos_64,port_5,instr_41,1946.85,694
pos_65,port_25,instr_6,1347.35,-258
pos_66,port_16,instr_56,1475.21,802
pos_67,port_5,instr_26,1030.21,260
pos_68,port_28,instr_76,80.83,187
pos_69,port_37,instr_27,979.7,-297
pos_70,port_9,instr_22,1399.34,540
pos_71,port_31,instr_4,8.31,540
pos_72,port_0,instr_2,903.81,-67
pos_73,port_20,instr_19,362.43,-126
pos_74,port_10,instr_5,361.87,108
pos_75,port_31,instr_42,1875.64,106
pos_76,port_0,instr_56,684.93,-249
pos_77,port_20,instr_19,665.36,893
pos_78,port_21,instr_48,1073.87,900
pos_79,port_18,instr_17,1658.39,18
pos_80,port_12,instr_42,595.84,962
pos_81,port_11,instr_27,984.61,678
pos_82,port_38,instr_31,642.05,939
pos_83,port_30,instr_27,732.94,473
pos_84,port_9,instr_2,1832.04,392
pos_85,port_7,instr_1,1689.91,566
pos_86,port_27,instr_39,1398.13,409
pos_87,port_9,instr_13,956.52,425
pos_88,port_6,instr_24,1196.32,-299
pos_89,port_16,instr_5,1596.47,875
pos_90,port_3,instr_57,549.84,637
pos_91,port_33,instr_49,1095.72,786
pos_92,port_34,instr_28,1347.97,-190
pos_93,port_2,instr_16,428.63,352
pos_94,port_37,instr_79,19.76,938
pos_95,port_39,instr_26,1562.18,864
pos_96,port_36,instr_47,1149.02,66
pos_97,port_16,instr_4,248.29,866
pos_98,port_21,instr_14,379.36,329
pos_99,port_30,instr_30,714.59,621
