id,manufacturerName,location,licenseNumber
mfg_0,Thomas PLC Pharma,West Sierraside,MFG-96545
mfg_1,"Caldwell, Valdez and Estrada Pharma",New Anthonyton,MFG-25472
mfg_2,Rogers-Lee Pharma,East Brittanyton,MFG-23205
mfg_3,Nelson and Sons Pharma,Lindseyburgh,MFG-15869
mfg_4,"Lopez, Baker and Barrera Pharma",Hawkinsside,MFG-34046
mfg_5,"Rangel, Bentley and Hardy Pharma",Sherritown,MFG-44881
mfg_6,Patterson-Cruz Pharma,East Matthewview,MFG-33349
mfg_7,Jones-Rodriguez Pharma,East Robert,MFG-56482
mfg_8,Johnson Group Pharma,Johnfurt,MFG-34768
mfg_9,Manning LLC Pharma,Harrisview,MFG-44825
