id,approvalID,agencyName,approvalDate,productID
approval_0,APP-41670,MHRA,2025-02-17,prod_19
approval_1,APP-12422,FDA,2024-12-23,prod_9
approval_2,APP-69886,FDA,2023-01-29,prod_7
approval_3,APP-86878,FDA,2023-07-03,prod_1
approval_4,APP-19248,FDA,2023-12-28,prod_23
approval_5,APP-71769,MHRA,2022-10-27,prod_5
approval_6,APP-15522,EMA,2024-11-12,prod_26
approval_7,APP-41993,EMA,2024-07-22,prod_18
approval_8,APP-83485,EMA,2024-01-28,prod_1
approval_9,APP-62053,MHRA,2022-10-03,prod_3
approval_10,APP-70930,FDA,2022-07-11,prod_26
approval_11,APP-63801,FDA,2023-12-31,prod_12
approval_12,APP-87921,EMA,2023-01-18,prod_13
approval_13,APP-22883,EMA,2025-01-03,prod_22
approval_14,APP-25415,MHRA,2023-07-08,prod_20
approval_15,APP-88335,MHRA,2023-11-27,prod_13
approval_16,APP-55867,MHRA,2022-12-27,prod_15
approval_17,APP-49857,MHRA,2022-09-08,prod_14
approval_18,APP-34035,EMA,2023-09-19,prod_8
approval_19,APP-42064,MHRA,2024-03-23,prod_11
approval_20,APP-57978,FDA,2024-01-13,prod_3
approval_21,APP-82945,FDA,2024-12-15,prod_9
approval_22,APP-83437,EMA,2023-10-06,prod_28
approval_23,APP-31461,MHRA,2025-01-04,prod_5
approval_24,APP-44562,EMA,2023-09-06,prod_13
