id,batchNumber,expiryDate,quantityProduced,productID
batch_0,LOT-93721,2025-05-20,24524,prod_26
batch_1,LOT-91554,2026-05-24,40920,prod_17
batch_2,LOT-65930,2025-04-25,1693,prod_28
batch_3,LOT-68588,2026-11-03,2409,prod_20
batch_4,LOT-81328,2026-06-27,44770,prod_11
batch_5,LOT-70950,2026-09-17,29597,prod_24
batch_6,LOT-28153,2026-01-24,19599,prod_27
batch_7,LOT-35768,2025-09-23,27360,prod_4
batch_8,LOT-95460,2026-10-30,22150,prod_16
batch_9,LOT-28076,2025-10-28,22431,prod_20
batch_10,LOT-57427,2026-06-16,7305,prod_23
batch_11,LOT-51024,2025-12-05,17438,prod_5
batch_12,LOT-98685,2025-06-03,17393,prod_17
batch_13,LOT-61906,2026-05-18,20974,prod_20
batch_14,LOT-39911,2025-10-22,28807,prod_22
batch_15,LOT-95880,2026-10-26,31857,prod_17
batch_16,LOT-63091,2025-09-30,42441,prod_5
batch_17,LOT-56707,2025-05-04,45227,prod_10
batch_18,LOT-33493,2025-08-28,18777,prod_17
batch_19,LOT-41894,2026-07-22,34771,prod_22
batch_20,LOT-53740,2025-12-07,26743,prod_5
batch_21,LOT-45778,2026-07-30,3698,prod_28
batch_22,LOT-29895,2026-01-23,4880,prod_14
batch_23,LOT-78172,2026-08-23,48653,prod_1
batch_24,LOT-71852,2027-01-11,15260,prod_5
batch_25,LOT-77419,2026-06-21,33863,prod_20
batch_26,LOT-67638,2026-09-24,31470,prod_27
batch_27,LOT-42053,2026-12-09,37761,prod_11
batch_28,LOT-84812,2026-11-15,42531,prod_10
batch_29,LOT-76928,2027-02-06,13372,prod_5
batch_30,LOT-74901,2026-07-15,38459,prod_2
batch_31,LOT-68953,2026-04-10,23731,prod_3
batch_32,LOT-79831,2025-08-10,8774,prod_27
batch_33,LOT-91627,2027-01-03,32457,prod_16
batch_34,LOT-70701,2027-02-09,33554,prod_3
batch_35,LOT-26187,2026-12-14,20105,prod_12
batch_36,LOT-50562,2027-01-31,11966,prod_1
batch_37,LOT-52898,2026-09-16,38418,prod_21
batch_38,LOT-90494,2026-03-29,28383,prod_20
batch_39,LOT-75780,2026-04-18,26559,prod_15
