id,policyNumber,policyType,startDate,endDate,premiumAmount,status,policyHolderID,insurerID,underwriterID,coverageIDs,agentID
policy_0,PN-5216-0,Auto,2022-06-21,2023-11-23,278.33,Active,holder_194,insurer_5,underwriter_10,"['coverage_8', 'coverage_10']",agent_14
policy_1,PN-6391-1,Landlord,2024-07-25,2025-04-20,1602.09,Lapsed,holder_176,insurer_0,underwriter_19,"['coverage_14', 'coverage_10', 'coverage_0', 'coverage_3']",agent_9
policy_2,PN-6327-2,Auto,2024-09-15,2025-03-19,1516.4,Lapsed,holder_479,insurer_1,underwriter_18,"['coverage_5', 'coverage_3', 'coverage_6']",agent_12
policy_3,PN-7171-3,Landlord,2022-07-02,2023-07-31,1781.16,Cancelled,holder_143,insurer_1,underwriter_0,"['coverage_0', 'coverage_12']",agent_16
policy_4,PN-6480-4,Renter,2022-09-06,2024-01-07,1280.51,Lapsed,holder_272,insurer_7,underwriter_1,"['coverage_13', 'coverage_10', 'coverage_0', 'coverage_11']",agent_12
policy_5,PN-5702-5,Auto,2024-03-04,2025-07-19,1801.23,Lapsed,holder_383,insurer_1,underwriter_8,"['coverage_8', 'coverage_6', 'coverage_14']",agent_14
policy_6,PN-9383-6,Landlord,2023-03-17,2023-05-08,914.13,Lapsed,holder_586,insurer_5,underwriter_3,['coverage_12'],agent_14
policy_7,PN-6052-7,Landlord,2023-08-23,2025-10-31,516.99,Active,holder_236,insurer_7,underwriter_2,"['coverage_0', 'coverage_6']",agent_17
policy_8,PN-1437-8,Umbrella,2024-07-31,2026-05-17,1200.19,Active,holder_32,insurer_0,underwriter_10,['coverage_13'],agent_9
policy_9,PN-2102-9,Umbrella,2022-07-05,2025-04-24,1901.91,Active,holder_394,insurer_4,underwriter_15,"['coverage_6', 'coverage_2', 'coverage_11']",agent_5
policy_10,PN-2768-10,Auto,2023-10-06,2026-04-10,1877.59,Lapsed,holder_334,insurer_6,underwriter_1,"['coverage_10', 'coverage_9', 'coverage_1', 'coverage_12']",agent_15
policy_11,PN-1087-11,Home,2023-08-30,2026-04-06,1819.32,Active,holder_539,insurer_1,underwriter_11,['coverage_8'],agent_6
policy_12,PN-9234-12,Renter,2023-01-12,2023-04-23,1075.87,Expired,holder_40,insurer_3,underwriter_6,"['coverage_11', 'coverage_0', 'coverage_5', 'coverage_7']",agent_1
policy_13,PN-4052-13,Home,2023-05-30,2023-11-21,1764.14,Expired,holder_500,insurer_4,underwriter_1,"['coverage_3', 'coverage_12', 'coverage_11']",agent_14
policy_14,PN-4851-14,Condo,2024-05-25,2025-11-20,1809.78,Cancelled,holder_359,insurer_7,underwriter_11,['coverage_0'],agent_6
policy_15,PN-4094-15,Renter,2022-12-30,2024-12-03,364.18,Lapsed,holder_126,insurer_1,underwriter_9,['coverage_1'],agent_15
policy_16,PN-7617-16,Condo,2024-05-25,2025-07-10,1883.33,Cancelled,holder_307,insurer_7,underwriter_17,"['coverage_14', 'coverage_4', 'coverage_0', 'coverage_2']",agent_13
policy_17,PN-9860-17,Renter,2024-10-29,2025-12-08,786.16,Expired,holder_217,insurer_1,underwriter_3,"['coverage_2', 'coverage_5', 'coverage_8']",agent_2
policy_18,PN-5604-18,Auto,2022-10-04,2024-08-17,1878.82,Active,holder_570,insurer_0,underwriter_12,"['coverage_13', 'coverage_12', 'coverage_2']",agent_7
policy_19,PN-6119-19,Umbrella,2024-01-22,2025-07-24,1164.72,Active,holder_166,insurer_2,underwriter_13,"['coverage_13', 'coverage_5', 'coverage_6', 'coverage_7']",agent_5
policy_20,PN-3979-20,Condo,2023-02-19,2023-09-03,1583.21,Expired,holder_355,insurer_5,underwriter_18,"['coverage_8', 'coverage_12', 'coverage_3', 'coverage_6']",agent_1
policy_21,PN-8857-21,Auto,2024-11-06,2026-06-07,1539.05,Expired,holder_334,insurer_2,underwriter_10,"['coverage_0', 'coverage_13', 'coverage_7', 'coverage_2']",agent_0
policy_22,PN-7991-22,Auto,2024-12-08,2025-09-18,1238.77,Cancelled,holder_315,insurer_1,underwriter_15,['coverage_5'],agent_14
policy_23,PN-2673-23,Umbrella,2022-11-20,2025-09-10,932.54,Active,holder_507,insurer_2,underwriter_4,['coverage_7'],agent_5
policy_24,PN-5428-24,Condo,2023-02-02,2023-03-26,772.04,Expired,holder_333,insurer_6,underwriter_0,"['coverage_10', 'coverage_12']",agent_10
policy_25,PN-3746-25,Condo,2024-08-24,2025-10-01,1657.8,Expired,holder_292,insurer_2,underwriter_8,"['coverage_1', 'coverage_2']",agent_17
policy_26,PN-5743-26,Auto,2024-07-16,2025-05-03,593.13,Expired,holder_57,insurer_6,underwriter_4,"['coverage_1', 'coverage_9', 'coverage_6', 'coverage_2']",agent_5
policy_27,PN-4805-27,Umbrella,2023-10-26,2026-10-16,568.37,Lapsed,holder_275,insurer_2,underwriter_16,['coverage_5'],agent_15
policy_28,PN-5404-28,Renter,2022-05-02,2024-09-14,1941.3,Cancelled,holder_318,insurer_3,underwriter_19,['coverage_5'],agent_3
policy_29,PN-4997-29,Renter,2022-10-15,2025-03-30,1614.59,Cancelled,holder_122,insurer_5,underwriter_17,"['coverage_5', 'coverage_4', 'coverage_7']",agent_12
policy_30,PN-7183-30,Home,2024-06-19,2025-02-06,1466.01,Expired,holder_502,insurer_9,underwriter_0,"['coverage_2', 'coverage_1', 'coverage_11']",agent_0
policy_31,PN-1467-31,Condo,2024-01-29,2026-05-28,1175.56,Lapsed,holder_498,insurer_5,underwriter_3,['coverage_14'],agent_8
policy_32,PN-2354-32,Home,2024-02-09,2026-06-23,912.69,Lapsed,holder_542,insurer_2,underwriter_14,"['coverage_9', 'coverage_11', 'coverage_7', 'coverage_5']",agent_0
policy_33,PN-3223-33,Umbrella,2024-02-26,2025-09-08,478.31,Active,holder_490,insurer_9,underwriter_14,"['coverage_5', 'coverage_10']",agent_3
policy_34,PN-2234-34,Auto,2023-06-23,2024-04-27,790.35,Active,holder_134,insurer_5,underwriter_3,"['coverage_6', 'coverage_7']",agent_6
policy_35,PN-6708-35,Condo,2023-07-09,2025-01-11,699.05,Expired,holder_293,insurer_2,underwriter_19,"['coverage_6', 'coverage_9', 'coverage_11']",agent_6
policy_36,PN-3875-36,Renter,2023-11-22,2026-03-20,898.52,Active,holder_228,insurer_0,underwriter_3,['coverage_12'],agent_1
policy_37,PN-7820-37,Umbrella,2022-09-23,2025-01-29,1801.38,Active,holder_599,insurer_3,underwriter_5,"['coverage_7', 'coverage_0']",agent_9
policy_38,PN-7830-38,Condo,2023-05-10,2024-10-10,1394.8,Lapsed,holder_546,insurer_3,underwriter_7,"['coverage_7', 'coverage_11', 'coverage_1', 'coverage_5']",agent_16
policy_39,PN-7921-39,Condo,2023-12-11,2024-05-05,1976.91,Expired,holder_94,insurer_0,underwriter_9,"['coverage_4', 'coverage_13']",agent_6
policy_40,PN-6211-40,Renter,2023-10-01,2026-09-01,884.42,Expired,holder_515,insurer_4,underwriter_2,"['coverage_1', 'coverage_4', 'coverage_0', 'coverage_7']",agent_18
policy_41,PN-1782-41,Renter,2023-02-14,2023-05-16,1406.93,Lapsed,holder_45,insurer_1,underwriter_10,"['coverage_6', 'coverage_10']",agent_14
policy_42,PN-4964-42,Umbrella,2022-04-02,2022-11-15,1808.28,Cancelled,holder_246,insurer_0,underwriter_4,"['coverage_10', 'coverage_6']",agent_16
policy_43,PN-1732-43,Auto,2024-08-28,2025-10-19,247.18,Expired,holder_283,insurer_5,underwriter_3,"['coverage_2', 'coverage_12', 'coverage_3', 'coverage_1']",agent_5
policy_44,PN-3972-44,Renter,2024-02-16,2026-05-21,285.9,Expired,holder_282,insurer_7,underwriter_16,"['coverage_9', 'coverage_2', 'coverage_7', 'coverage_6']",agent_11
policy_45,PN-8196-45,Umbrella,2024-04-27,2025-11-06,458.36,Active,holder_304,insurer_7,underwriter_3,"['coverage_0', 'coverage_3', 'coverage_8', 'coverage_6']",agent_12
policy_46,PN-2801-46,Condo,2024-08-21,2025-10-02,699.73,Lapsed,holder_422,insurer_0,underwriter_17,"['coverage_5', 'coverage_9', 'coverage_2', 'coverage_6']",agent_5
policy_47,PN-7181-47,Auto,2022-04-30,2024-08-29,1415.43,Cancelled,holder_207,insurer_6,underwriter_7,"['coverage_5', 'coverage_3', 'coverage_2', 'coverage_6']",agent_14
policy_48,PN-5767-48,Landlord,2022-08-04,2023-11-02,1357.31,Expired,holder_112,insurer_5,underwriter_7,"['coverage_4', 'coverage_9', 'coverage_6']",agent_13
policy_49,PN-7056-49,Umbrella,2023-12-18,2025-08-06,1167.18,Lapsed,holder_523,insurer_8,underwriter_6,"['coverage_10', 'coverage_6']",agent_16
policy_50,PN-3498-50,Home,2022-08-13,2022-11-14,1032.8,Cancelled,holder_500,insurer_5,underwriter_17,"['coverage_10', 'coverage_12', 'coverage_6', 'coverage_4']",agent_18
policy_51,PN-3703-51,Home,2023-06-24,2026-01-29,1420.93,Lapsed,holder_317,insurer_7,underwriter_12,"['coverage_1', 'coverage_0', 'coverage_3']",agent_5
policy_52,PN-7193-52,Umbrella,2022-12-02,2025-02-24,1515.39,Cancelled,holder_430,insurer_3,underwriter_5,"['coverage_7', 'coverage_14']",agent_0
policy_53,PN-9979-53,Condo,2023-01-22,2025-05-24,1257.51,Active,holder_508,insurer_3,underwriter_0,"['coverage_7', 'coverage_4', 'coverage_10']",agent_2
policy_54,PN-3811-54,Landlord,2022-10-22,2023-03-16,1264.47,Cancelled,holder_91,insurer_0,underwriter_7,"['coverage_1', 'coverage_10']",agent_0
policy_55,PN-7464-55,Renter,2024-07-21,2024-11-07,1591.02,Lapsed,holder_301,insurer_4,underwriter_7,"['coverage_7', 'coverage_5', 'coverage_6']",agent_12
policy_56,PN-1088-56,Condo,2023-12-31,2024-04-02,846.65,Active,holder_26,insurer_0,underwriter_7,['coverage_6'],agent_8
policy_57,PN-3270-57,Renter,2022-03-13,2024-09-05,1446.05,Lapsed,holder_389,insurer_3,underwriter_14,"['coverage_6', 'coverage_2']",agent_0
policy_58,PN-6043-58,Umbrella,2022-12-08,2025-05-22,437.36,Lapsed,holder_181,insurer_7,underwriter_12,"['coverage_4', 'coverage_13']",agent_2
policy_59,PN-2745-59,Umbrella,2023-09-22,2024-10-13,1359.62,Expired,holder_246,insurer_1,underwriter_0,"['coverage_5', 'coverage_8']",agent_17
policy_60,PN-6679-60,Umbrella,2022-08-22,2024-01-16,1308.45,Lapsed,holder_342,insurer_0,underwriter_4,['coverage_4'],agent_19
policy_61,PN-1404-61,Condo,2025-01-29,2027-07-14,907.54,Cancelled,holder_272,insurer_3,underwriter_12,"['coverage_1', 'coverage_14']",agent_11
policy_62,PN-1740-62,Auto,2022-07-06,2024-07-22,897.28,Lapsed,holder_157,insurer_5,underwriter_10,"['coverage_8', 'coverage_7', 'coverage_5']",agent_16
policy_63,PN-8841-63,Condo,2022-12-01,2024-03-22,1087.81,Cancelled,holder_530,insurer_1,underwriter_6,['coverage_2'],agent_13
policy_64,PN-6078-64,Home,2022-04-22,2023-09-19,858.95,Active,holder_161,insurer_3,underwriter_7,['coverage_6'],agent_1
policy_65,PN-1916-65,Umbrella,2022-03-20,2022-06-13,1879.78,Active,holder_514,insurer_1,underwriter_0,"['coverage_4', 'coverage_14', 'coverage_8']",agent_8
policy_66,PN-5287-66,Umbrella,2024-06-01,2026-06-16,1051.77,Lapsed,holder_257,insurer_4,underwriter_2,['coverage_8'],agent_19
policy_67,PN-4407-67,Landlord,2023-08-07,2024-05-28,1680.59,Cancelled,holder_583,insurer_5,underwriter_19,"['coverage_8', 'coverage_12', 'coverage_13']",agent_13
policy_68,PN-3823-68,Auto,2022-03-30,2024-07-01,1259.08,Lapsed,holder_207,insurer_2,underwriter_9,"['coverage_12', 'coverage_2', 'coverage_11', 'coverage_7']",agent_17
policy_69,PN-7550-69,Umbrella,2023-03-12,2023-12-08,1716.46,Active,holder_556,insurer_3,underwriter_19,"['coverage_3', 'coverage_12', 'coverage_8']",agent_18
policy_70,PN-6788-70,Condo,2023-11-18,2025-03-07,1593.88,Lapsed,holder_37,insurer_0,underwriter_15,['coverage_12'],agent_2
policy_71,PN-1212-71,Auto,2024-07-27,2027-04-06,663.16,Active,holder_30,insurer_0,underwriter_3,"['coverage_2', 'coverage_7', 'coverage_3']",agent_3
policy_72,PN-8213-72,Auto,2022-07-24,2023-07-30,1368.42,Cancelled,holder_591,insurer_0,underwriter_2,"['coverage_12', 'coverage_1', 'coverage_4']",agent_9
policy_73,PN-3683-73,Landlord,2022-04-27,2022-08-28,1161.95,Active,holder_572,insurer_5,underwriter_16,"['coverage_1', 'coverage_0', 'coverage_3']",agent_3
policy_74,PN-7861-74,Umbrella,2023-05-22,2026-01-14,1975.25,Lapsed,holder_164,insurer_0,underwriter_15,"['coverage_3', 'coverage_1']",agent_11
policy_75,PN-7979-75,Renter,2023-03-10,2023-09-02,496.97,Cancelled,holder_385,insurer_1,underwriter_12,"['coverage_4', 'coverage_8', 'coverage_5']",agent_16
policy_76,PN-8238-76,Renter,2023-01-27,2025-05-23,1531.44,Active,holder_133,insurer_9,underwriter_10,['coverage_13'],agent_5
policy_77,PN-4347-77,Auto,2023-11-02,2026-10-14,422.96,Active,holder_307,insurer_2,underwriter_13,"['coverage_0', 'coverage_13', 'coverage_2', 'coverage_14']",agent_0
policy_78,PN-1655-78,Home,2022-06-29,2023-09-15,220.32,Active,holder_435,insurer_7,underwriter_2,"['coverage_6', 'coverage_3', 'coverage_2']",agent_12
policy_79,PN-8931-79,Auto,2023-05-12,2025-05-06,1237.53,Cancelled,holder_565,insurer_2,underwriter_9,"['coverage_1', 'coverage_7', 'coverage_14', 'coverage_4']",agent_0
policy_80,PN-7722-80,Auto,2022-06-02,2024-08-31,1413.85,Active,holder_417,insurer_9,underwriter_18,"['coverage_6', 'coverage_2', 'coverage_14']",agent_4
policy_81,PN-8517-81,Landlord,2022-11-28,2024-02-09,1296.72,Expired,holder_185,insurer_2,underwriter_10,"['coverage_13', 'coverage_2', 'coverage_12', 'coverage_1']",agent_16
policy_82,PN-4739-82,Auto,2022-09-09,2025-05-22,1126.69,Cancelled,holder_528,insurer_8,underwriter_16,['coverage_9'],agent_11
policy_83,PN-3777-83,Condo,2022-04-28,2022-09-29,1335.97,Cancelled,holder_216,insurer_4,underwriter_9,['coverage_4'],agent_1
policy_84,PN-9639-84,Umbrella,2024-04-27,2024-08-07,1674.6,Expired,holder_468,insurer_2,underwriter_15,['coverage_0'],agent_14
policy_85,PN-1589-85,Auto,2023-08-17,2025-08-10,510.94,Expired,holder_434,insurer_3,underwriter_14,['coverage_4'],agent_18
policy_86,PN-4634-86,Landlord,2023-01-17,2024-07-27,1766.14,Active,holder_476,insurer_4,underwriter_9,"['coverage_8', 'coverage_10', 'coverage_12']",agent_12
policy_87,PN-1088-87,Condo,2024-08-30,2025-06-20,409.83,Active,holder_61,insurer_2,underwriter_10,"['coverage_4', 'coverage_12']",agent_4
policy_88,PN-5853-88,Home,2023-08-30,2025-09-15,613.45,Expired,holder_247,insurer_8,underwriter_10,"['coverage_6', 'coverage_0', 'coverage_9']",agent_16
policy_89,PN-3338-89,Renter,2022-11-30,2025-11-08,1478.24,Lapsed,holder_311,insurer_9,underwriter_17,"['coverage_8', 'coverage_3', 'coverage_11', 'coverage_1']",agent_13
policy_90,PN-3229-90,Renter,2024-02-21,2026-03-31,850.17,Expired,holder_2,insurer_9,underwriter_18,['coverage_2'],agent_16
policy_91,PN-8321-91,Umbrella,2022-06-24,2023-04-14,1997.43,Expired,holder_456,insurer_1,underwriter_12,['coverage_9'],agent_11
policy_92,PN-5634-92,Auto,2022-08-07,2022-09-14,727.57,Lapsed,holder_525,insurer_7,underwriter_5,"['coverage_6', 'coverage_1', 'coverage_13', 'coverage_4']",agent_11
policy_93,PN-7364-93,Condo,2024-12-25,2025-09-17,1359.21,Lapsed,holder_76,insurer_8,underwriter_15,"['coverage_2', 'coverage_3', 'coverage_14', 'coverage_9']",agent_6
policy_94,PN-5093-94,Landlord,2022-12-05,2025-09-10,839.62,Expired,holder_25,insurer_9,underwriter_13,"['coverage_13', 'coverage_5']",agent_18
policy_95,PN-6227-95,Landlord,2024-08-04,2025-03-31,841.82,Expired,holder_364,insurer_7,underwriter_4,"['coverage_2', 'coverage_8']",agent_5
policy_96,PN-8791-96,Home,2024-06-21,2024-12-01,947.44,Cancelled,holder_377,insurer_2,underwriter_8,"['coverage_12', 'coverage_13']",agent_14
policy_97,PN-6427-97,Renter,2024-03-31,2026-05-25,1967.93,Cancelled,holder_345,insurer_6,underwriter_4,['coverage_13'],agent_8
policy_98,PN-2880-98,Renter,2022-04-06,2023-08-08,1464.21,Cancelled,holder_459,insurer_2,underwriter_11,"['coverage_1', 'coverage_7', 'coverage_5', 'coverage_0']",agent_6
policy_99,PN-4561-99,Home,2024-10-18,2025-08-09,383.8,Expired,holder_292,insurer_2,underwriter_4,['coverage_13'],agent_6
policy_100,PN-6249-100,Auto,2024-02-13,2024-06-14,987.27,Expired,holder_150,insurer_2,underwriter_6,"['coverage_9', 'coverage_1', 'coverage_2']",agent_14
policy_101,PN-9835-101,Condo,2022-07-07,2023-05-02,1801.33,Expired,holder_536,insurer_0,underwriter_10,"['coverage_2', 'coverage_3']",agent_1
policy_102,PN-2637-102,Auto,2025-01-09,2027-05-20,721.45,Lapsed,holder_471,insurer_5,underwriter_6,"['coverage_10', 'coverage_13']",agent_3
policy_103,PN-9013-103,Umbrella,2024-06-28,2024-10-20,514.03,Expired,holder_229,insurer_3,underwriter_3,"['coverage_5', 'coverage_9']",agent_18
policy_104,PN-9698-104,Renter,2023-12-23,2025-11-19,956.49,Active,holder_35,insurer_8,underwriter_17,"['coverage_14', 'coverage_3', 'coverage_4', 'coverage_8']",agent_19
policy_105,PN-6055-105,Condo,2024-04-10,2026-06-08,1356.34,Lapsed,holder_45,insurer_7,underwriter_17,['coverage_14'],agent_9
policy_106,PN-1171-106,Landlord,2023-09-04,2026-01-27,713.66,Expired,holder_530,insurer_1,underwriter_6,"['coverage_5', 'coverage_6', 'coverage_0']",agent_0
policy_107,PN-9033-107,Landlord,2024-01-15,2026-12-31,1476.58,Expired,holder_126,insurer_1,underwriter_19,"['coverage_9', 'coverage_4', 'coverage_0']",agent_16
policy_108,PN-5460-108,Auto,2024-08-31,2026-05-13,1773.96,Lapsed,holder_415,insurer_4,underwriter_17,"['coverage_12', 'coverage_4']",agent_17
policy_109,PN-8476-109,Renter,2023-06-16,2026-05-22,1641.28,Expired,holder_261,insurer_3,underwriter_13,"['coverage_9', 'coverage_1', 'coverage_7', 'coverage_10']",agent_10
