id,insurerName,headquartersLocation,industryRating
insurer_0,Schneider-Hicks Insurance,Port Ronaldton,4.6
insurer_1,Mendez and Sons Insurance,West Alishastad,2.7
insurer_2,"Sanders, Lewis and Sanchez Insurance",Reynoldsview,3.7
insurer_3,Smith-Bell Insurance,Braunfurt,2.1
insurer_4,Jackson Inc Insurance,North Joseph,2.8
insurer_5,"Ramirez, Stark and Pham Insurance",Michelleview,2.9
insurer_6,Smith Group Insurance,Stuartport,2.9
insurer_7,Foster PLC Insurance,Emilyberg,2.9
insurer_8,Dominguez Inc Insurance,Theodoreberg,4.1
insurer_9,"Doyle, Davis and Miller Insurance",Alejandroburgh,2.0
