id,workStreamID,name,description,startDate,endDate,budgetAllocated,projectID
ws_0,WS-1000,Workstream_0_Admit,Growth share national story stuff house cold its federal.,2024-05-20T21:54:27,2024-10-27T21:54:27,3007086.15,proj_0
ws_1,WS-1001,Workstream_1_Operation,Party another when professional well town.,2024-10-11T21:54:27,2025-04-02T21:54:27,4771422.94,proj_0
ws_2,WS-1002,Workstream_2_Go,Writer board board else goal authority.,2024-08-30T21:54:27,2024-11-06T21:54:27,2567199.06,proj_0
ws_3,WS-1003,Workstream_3_Down,Lay car control since face out suffer financial group five.,2024-08-23T21:54:27,2024-12-24T21:54:27,2776046.04,proj_0
ws_4,WS-1004,Workstream_4_Alone,Travel friend network its top though sound.,2024-09-24T21:54:27,2025-02-25T21:54:27,3507600.46,proj_0
ws_5,WS-1005,Workstream_5_Position,Radio news move yourself development.,2024-05-27T21:54:27,2024-08-23T21:54:27,3551972.85,proj_0
ws_6,WS-1006,Workstream_6_Improve,Few understand peace military which sometimes table level.,2024-09-27T21:54:27,2025-02-21T21:54:27,4763986.84,proj_0
ws_7,WS-1007,Workstream_7_Note,Eye step risk process room art walk.,2024-07-07T21:54:27,2024-11-01T21:54:27,3382047.65,proj_0
ws_8,WS-1008,Workstream_8_Risk,After common audience citizen claim.,2024-09-23T21:54:27,2025-01-31T21:54:27,2225940.43,proj_0
ws_9,WS-1009,Workstream_9_South,Space particularly laugh organization.,2024-08-01T21:54:27,2024-11-18T21:54:27,1546296.74,proj_0
ws_10,WS-1010,Workstream_10_Discussion,Five eat offer exactly morning kitchen.,2024-08-11T21:54:27,2024-12-18T21:54:27,4761068.9,proj_0
ws_11,WS-1011,Workstream_11_Line,Turn onto best edge many writer benefit should standard.,2024-07-11T21:54:27,2024-11-26T21:54:27,3140847.38,proj_0
ws_12,WS-1012,Workstream_12_Television,Certain newspaper avoid Democrat recent painting subject.,2024-06-30T21:54:27,2024-11-20T21:54:27,4288392.74,proj_0
ws_13,WS-1013,Workstream_13_Similar,Along court blue describe develop end girl.,2024-09-08T21:54:27,2025-01-12T21:54:27,4277480.17,proj_0
ws_14,WS-1014,Workstream_14_Power,Source enough sign across exist ago his indicate game opportunity me.,2024-10-15T21:54:27,2025-01-23T21:54:27,4946732.4,proj_0
ws_15,WS-1015,Workstream_15_Site,Most position certainly half worry candidate necessary item.,2024-04-24T21:54:27,2024-08-03T21:54:27,1248282.5,proj_0
ws_16,WS-1016,Workstream_16_Side,Question take other sometimes save consumer.,2024-07-12T21:54:27,2024-12-27T21:54:27,3019029.09,proj_0
ws_17,WS-1017,Workstream_17_Heart,Person career possible table your ahead moment person this and.,2024-06-14T21:54:27,2024-10-30T21:54:27,2984490.31,proj_0
ws_18,WS-1018,Workstream_18_She,Firm action including fact alone yeah spend need one worry.,2024-05-07T21:54:27,2024-09-02T21:54:27,4706895.74,proj_0
ws_19,WS-1019,Workstream_19_Keep,Its bag year exist media.,2024-04-26T21:54:27,2024-07-06T21:54:27,728203.77,proj_0
ws_20,WS-1020,Workstream_20_Set,Air think real raise audience government.,2024-07-12T21:54:27,2024-10-01T21:54:27,1449868.81,proj_0
ws_21,WS-1021,Workstream_21_Pay,Happen option very crime bit current.,2024-07-03T21:54:27,2024-09-14T21:54:27,1129684.82,proj_0
ws_22,WS-1022,Workstream_22_House,Test authority yes though near blue hospital far.,2024-05-09T21:54:27,2024-09-12T21:54:27,2721939.17,proj_0
ws_23,WS-1023,Workstream_23_Law,Against computer life of improve school second in region.,2024-05-14T21:54:27,2024-10-30T21:54:27,2538084.49,proj_0
ws_24,WS-1024,Workstream_24_Technology,Seem allow foot off assume education event officer.,2024-07-11T21:54:27,2024-12-23T21:54:27,3198639.53,proj_0
ws_25,WS-1025,Workstream_25_Word,She task to often seem bar arrive financial daughter be.,2024-05-28T21:54:27,2024-11-11T21:54:27,1936466.55,proj_0
ws_26,WS-1026,Workstream_26_Appear,Fall area production parent.,2024-09-19T21:54:27,2025-01-28T21:54:27,610444.61,proj_0
ws_27,WS-1027,Workstream_27_Office,Forward already write couple hold base sure.,2024-08-01T21:54:27,2024-11-27T21:54:27,4057072.16,proj_0
ws_28,WS-1028,Workstream_28_Stand,Heart employee customer choose fund full poor lose parent.,2024-09-06T21:54:27,2025-01-25T21:54:27,3294021.87,proj_0
ws_29,WS-1029,Workstream_29_Statement,Above coach what some never today back determine piece head.,2024-07-21T21:54:27,2024-12-25T21:54:27,2463203.98,proj_0
ws_30,WS-1030,Workstream_30_Process,Health seat eight leg official.,2024-04-29T21:54:27,2024-08-04T21:54:27,4643110.59,proj_0
ws_31,WS-1031,Workstream_31_Deep,From guess watch writer meet artist political few.,2024-09-07T21:54:27,2025-02-07T21:54:27,3318371.09,proj_0
ws_32,WS-1032,Workstream_32_Think,Hot probably song story attack.,2024-09-30T21:54:27,2025-03-13T21:54:27,1334335.95,proj_0
ws_33,WS-1033,Workstream_33_New,Feel season wear Democrat later that turn too table yourself.,2024-09-02T21:54:27,2024-11-02T21:54:27,1924579.81,proj_0
ws_34,WS-1034,Workstream_34_Father,Six describe various receive argue physical yet.,2024-05-10T21:54:27,2024-09-19T21:54:27,4244175.32,proj_0
ws_35,WS-1035,Workstream_35_Protect,Say similar business brother war defense city structure life think.,2024-05-05T21:54:27,2024-08-01T21:54:27,2037225.2,proj_0
ws_36,WS-1036,Workstream_36_Movie,Question guy read west bed letter significant goal.,2024-05-09T21:54:27,2024-07-08T21:54:27,1530359.33,proj_0
ws_37,WS-1037,Workstream_37_Company,Thousand manager write pull miss sit party others ground method.,2024-04-29T21:54:27,2024-07-16T21:54:27,4873322.51,proj_0
ws_38,WS-1038,Workstream_38_Drop,Challenge couple middle authority play decide issue also.,2024-05-17T21:54:27,2024-08-05T21:54:27,2081029.0,proj_0
ws_39,WS-1039,Workstream_39_Management,Draw require perform soon something rule.,2024-09-27T21:54:27,2025-02-27T21:54:27,1953239.17,proj_0
ws_40,WS-1040,Workstream_40_End,Myself generation people soldier tree.,2024-07-27T21:54:27,2025-01-02T21:54:27,3283963.5,proj_0
ws_41,WS-1041,Workstream_41_May,Account if name recognize capital benefit page value when.,2024-08-06T21:54:27,2025-01-06T21:54:27,1805629.27,proj_0
ws_42,WS-1042,Workstream_42_Work,Born center there technology music likely sometimes purpose type list.,2024-05-23T21:54:27,2024-07-24T21:54:27,2560088.31,proj_0
ws_43,WS-1043,Workstream_43_Oil,Issue too well attorney accept once.,2024-05-27T21:54:27,2024-09-11T21:54:27,2416897.2,proj_0
ws_44,WS-1044,Workstream_44_Effect,Hour really peace movie order difference side.,2024-06-28T21:54:27,2024-12-10T21:54:27,1181900.54,proj_0
ws_45,WS-1045,Workstream_45_Century,Bit else west individual must late green.,2024-10-06T21:54:27,2025-02-03T21:54:27,1101785.42,proj_0
ws_46,WS-1046,Workstream_46_Shoulder,Senior bad manager subject blood baby.,2024-05-15T21:54:27,2024-10-31T21:54:27,3992984.19,proj_0
ws_47,WS-1047,Workstream_47_Several,Hotel article per term war.,2024-08-18T21:54:27,2025-01-21T21:54:27,2390931.12,proj_0
ws_48,WS-1048,Workstream_48_Theory,Reflect mind throw hand although low across final same series.,2024-09-03T21:54:27,2024-11-06T21:54:27,4776021.79,proj_0
ws_49,WS-1049,Workstream_49_Fact,Voice power or animal weight movie fill shoulder hundred produce.,2024-06-03T21:54:27,2024-09-22T21:54:27,4014918.46,proj_0
ws_50,WS-1050,Workstream_50_Small,Southern Republican fast career simply field.,2024-06-12T21:54:27,2024-09-21T21:54:27,2690128.94,proj_0
ws_51,WS-1051,Workstream_51_Window,Tree ability which building service themselves bank environmental.,2024-05-13T21:54:27,2024-08-28T21:54:27,2083094.21,proj_0
ws_52,WS-1052,Workstream_52_Herself,Analysis military election investment market skill peace eye leg describe process.,2024-07-31T21:54:27,2024-11-20T21:54:27,3080402.43,proj_0
ws_53,WS-1053,Workstream_53_Next,Left everyone sit clearly now three dog beyond.,2024-06-22T21:54:27,2024-12-03T21:54:27,2220659.83,proj_0
ws_54,WS-1054,Workstream_54_Account,Responsibility quite continue recognize theory drop ready ago.,2024-07-06T21:54:27,2024-10-09T21:54:27,1256518.75,proj_0
ws_55,WS-1055,Workstream_55_Republican,Good rule campaign wait force our.,2024-05-13T21:54:27,2024-10-12T21:54:27,648963.21,proj_0
ws_56,WS-1056,Workstream_56_Identify,Executive central such interesting rather few nice always.,2024-04-23T21:54:27,2024-09-03T21:54:27,1412523.68,proj_0
ws_57,WS-1057,Workstream_57_Until,Sense three manager idea available attack official cut.,2024-05-05T21:54:27,2024-08-16T21:54:27,3973089.85,proj_0
ws_58,WS-1058,Workstream_58_Particularly,Executive far staff easy.,2024-05-04T21:54:27,2024-07-09T21:54:27,1077954.3,proj_0
ws_59,WS-1059,Workstream_59_Option,Affect hear fund model friend response section yourself down.,2024-07-24T21:54:27,2024-11-28T21:54:27,1454718.7,proj_0
ws_60,WS-1060,Workstream_60_Audience,Southern culture charge me couple between enter federal author couple per.,2024-09-16T21:54:27,2025-03-14T21:54:27,3051621.21,proj_0
ws_61,WS-1061,Workstream_61_Certainly,Little senior continue across certain.,2024-07-29T21:54:27,2025-01-06T21:54:27,1033348.43,proj_0
ws_62,WS-1062,Workstream_62_Generation,Force let will many need eat guess father education tell drug.,2024-08-08T21:54:27,2024-12-10T21:54:27,4670151.64,proj_0
ws_63,WS-1063,Workstream_63_Station,Subject hold ever number million sport value establish along.,2024-07-01T21:54:27,2024-10-26T21:54:27,3283513.18,proj_0
ws_64,WS-1064,Workstream_64_Service,Very detail meet study item.,2024-06-05T21:54:27,2024-08-12T21:54:27,4351935.65,proj_0
ws_65,WS-1065,Workstream_65_Inside,Once everybody smile bit course.,2024-07-21T21:54:27,2024-09-22T21:54:27,1939786.22,proj_0
ws_66,WS-1066,Workstream_66_Fact,Offer activity fact it why suggest.,2024-08-22T21:54:27,2024-10-31T21:54:27,3330862.67,proj_0
ws_67,WS-1067,Workstream_67_Ability,Employee name television letter season.,2024-07-09T21:54:27,2025-01-04T21:54:27,3574170.64,proj_0
ws_68,WS-1068,Workstream_68_Talk,Power sing cover situation western physical family memory.,2024-07-12T21:54:27,2024-12-10T21:54:27,700524.98,proj_0
ws_69,WS-1069,Workstream_69_Mr,They standard this they option meet.,2024-09-10T21:54:27,2025-01-18T21:54:27,2373031.3,proj_0
ws_70,WS-1070,Workstream_70_Deep,May up threat last those model he report which.,2024-09-21T21:54:27,2024-12-31T21:54:27,980002.59,proj_0
ws_71,WS-1071,Workstream_71_Report,Realize old best may travel Republican something hard bill officer.,2024-04-27T21:54:27,2024-06-27T21:54:27,2885995.58,proj_0
