id,supplierID,supplierName,location
sup_0,SUP-1000,Thomas-Wright Supplies,East Louis
sup_1,SUP-1001,"Smith, Hughes and Phillips Supplies",Port Angela
sup_2,SUP-1002,Hill PLC Supplies,Port Michael
sup_3,SUP-1003,Allen and Sons Supplies,Port Alyssa
sup_4,SUP-1004,Gibson-Williams Supplies,East Timothy
sup_5,SUP-1005,Fritz-Powell Supplies,Clarkport
sup_6,SUP-1006,"Mullen, Bennett and Anthony Supplies",Gloriafurt
sup_7,SUP-1007,"Carter, Johnson and Fuller Supplies",North William
sup_8,SUP-1008,Stewart Ltd Supplies,Kimberlymouth
sup_9,SUP-1009,"Paul, Williams and Wilkins Supplies",North Nicole
sup_10,SUP-1010,"Phelps, Nguyen and Doyle Supplies",Batesburgh
sup_11,SUP-1011,Coleman-Allen Supplies,North Derrickmouth
sup_12,SUP-1012,Salazar LLC Supplies,Jenniferport
sup_13,SUP-1013,Little and Sons Supplies,West Stephenton
sup_14,SUP-1014,Payne LLC Supplies,East Dalehaven
sup_15,SUP-1015,Drake Group Supplies,Lake Michelle
sup_16,SUP-1016,Smith-Johnson Supplies,East Amy
sup_17,SUP-1017,Cherry Ltd Supplies,North Jennifer
sup_18,SUP-1018,James LLC Supplies,Boydbury
sup_19,SUP-1019,"Stone, Martinez and King Supplies",Ericmouth
sup_20,SUP-1020,Davis LLC Supplies,North Joanneland
sup_21,SUP-1021,"Powell, Logan and Lee Supplies",Port Amy
sup_22,SUP-1022,Hudson PLC Supplies,New Kristinstad
sup_23,SUP-1023,White PLC Supplies,North Lindseymouth
sup_24,SUP-1024,Johnson-Mueller Supplies,Lake Stephaniehaven
sup_25,SUP-1025,White LLC Supplies,Wrighttown
sup_26,SUP-1026,"Moses, Reyes and Brown Supplies",Arielton
sup_27,SUP-1027,"Jensen, Brown and Williams Supplies",Lake Anthonystad
sup_28,SUP-1028,Williamson and Sons Supplies,New Debra
sup_29,SUP-1029,Chavez-Mcgee Supplies,South Justinburgh
sup_30,SUP-1030,Townsend Group Supplies,South Rachelville
sup_31,SUP-1031,Pineda LLC Supplies,South Brianmouth
sup_32,SUP-1032,Johnson-Hunt Supplies,Lake Amanda
sup_33,SUP-1033,Davis-Mitchell Supplies,Andersontown
sup_34,SUP-1034,"Pope, Beasley and Snow Supplies",Bethanyside
sup_35,SUP-1035,Flowers PLC Supplies,South Jessicaborough
sup_36,SUP-1036,Kramer LLC Supplies,West Tina
sup_37,SUP-1037,Evans PLC Supplies,North Nicholaschester
sup_38,SUP-1038,Greene LLC Supplies,Lake Jamesmouth
sup_39,SUP-1039,Cummings and Sons Supplies,Nortonstad
