id,equipmentID,equipmentName,equipmentType,dailyRentalCost,capacityOrSpecs
equip_0,EQ-1000,Crane_0,Crane,1557.6,Crane spec details
equip_1,EQ-1001,Excavator_1,Excavator,547.44,Excavator spec details
equip_2,EQ-1002,ConcreteMixer_2,ConcreteMixer,760.03,ConcreteMixer spec details
equip_3,EQ-1003,Generator_3,Generator,1175.43,Generator spec details
equip_4,EQ-1004,Forklift_4,Forklift,279.09,Forklift spec details
equip_5,EQ-1005,Bulldozer_5,Bulldozer,1938.57,Bulldozer spec details
equip_6,EQ-1006,DumpTruck_6,DumpTruck,1940.29,DumpTruck spec details
equip_7,EQ-1007,BoomLift_7,BoomLift,459.37,BoomLift spec details
equip_8,EQ-1008,ScissorLift_8,ScissorLift,832.33,ScissorLift spec details
equip_9,EQ-1009,WeldingMachine_9,WeldingMachine,1848.85,WeldingMachine spec details
equip_10,EQ-1010,AirCompressor_10,AirCompressor,879.9,AirCompressor spec details
equip_11,EQ-1011,HydraulicPress_11,HydraulicPress,290.24,HydraulicPress spec details
equip_12,EQ-1012,TowerCrane_12,TowerCrane,790.92,TowerCrane spec details
equip_13,EQ-1013,RoadRoller_13,RoadRoller,1567.66,RoadRoller spec details
equip_14,EQ-1014,PileDriver_14,PileDriver,1461.98,PileDriver spec details
equip_15,EQ-1015,CrawlerLoader_15,CrawlerLoader,356.16,CrawlerLoader spec details
equip_16,EQ-1016,Graders_16,Graders,1472.47,Graders spec details
equip_17,EQ-1017,Trenchers_17,Trenchers,536.63,Trenchers spec details
equip_18,EQ-1018,Pumps_18,Pumps,611.86,Pumps spec details
equip_19,EQ-1019,Drills_19,Drills,1901.09,Drills spec details
equip_20,EQ-1020,MobileScaffolding_20,MobileScaffolding,921.06,MobileScaffolding spec details
equip_21,EQ-1021,DirectionalDrill_21,DirectionalDrill,440.79,DirectionalDrill spec details
equip_22,EQ-1022,ConcretePump_22,ConcretePump,102.42,ConcretePump spec details
equip_23,EQ-1023,PowerSaw_23,PowerSaw,1112.66,PowerSaw spec details
equip_24,EQ-1024,JackHammer_24,JackHammer,959.57,JackHammer spec details
equip_25,EQ-1025,LaserLevel_25,LaserLevel,1761.54,LaserLevel spec details
equip_26,EQ-1026,GroundPenetradar_26,GroundPenetradar,1163.21,GroundPenetradar spec details
equip_27,EQ-1027,DronesSurvey_27,DronesSurvey,440.77,DronesSurvey spec details
equip_28,EQ-1028,CablePuller_28,CablePuller,244.18,CablePuller spec details
equip_29,EQ-1029,PortableLifts_29,PortableLifts,1573.89,PortableLifts spec details
