curve_id,maturity_months,discount_rate,as_of_date
CURVE_0,6,0.05,2022-09-14
CURVE_0,12,0.02,2024-06-10
CURVE_0,18,0.02,2025-05-09
CURVE_0,24,0.07,2023-01-25
CURVE_0,30,0.03,2020-02-22
CURVE_0,36,0.04,2022-11-18
CURVE_0,42,0.03,2021-05-15
CURVE_0,48,0.06,2020-11-01
CURVE_0,54,0.05,2021-07-17
CURVE_0,60,0.06,2022-06-22
CURVE_0,66,0.06,2023-11-30
CURVE_0,72,0.03,2023-07-02
CURVE_0,78,0.04,2023-06-08
CURVE_0,84,0.05,2019-12-27
CURVE_0,90,0.07,2021-03-28
CURVE_0,96,0.05,2019-01-12
CURVE_0,102,0.05,2020-09-27
CURVE_0,108,0.05,2023-08-13
CURVE_0,114,0.02,2023-01-07
CURVE_0,120,0.02,2024-04-02
CURVE_1,6,0.03,2018-08-26
CURVE_1,12,0.06,2022-04-10
CURVE_1,18,0.01,2021-08-08
CURVE_1,24,0.07,2020-09-06
CURVE_1,30,0.06,2023-12-11
CURVE_1,36,0.01,2020-06-06
CURVE_1,42,0.03,2019-08-10
CURVE_1,48,0.06,2021-05-23
CURVE_1,54,0.05,2025-06-18
CURVE_1,60,0.03,2020-01-21
CURVE_1,66,0.03,2019-03-08
CURVE_1,72,0.02,2021-08-19
CURVE_1,78,0.04,2021-01-21
CURVE_1,84,0.07,2018-04-18
CURVE_1,90,0.02,2020-05-18
CURVE_1,96,0.03,2018-07-29
CURVE_1,102,0.06,2023-05-14
CURVE_1,108,0.07,2020-05-22
CURVE_1,114,0.07,2025-08-07
CURVE_1,120,0.03,2021-09-20
CURVE_2,6,0.07,2020-09-17
CURVE_2,12,0.01,2020-01-28
CURVE_2,18,0.04,2019-09-29
CURVE_2,24,0.06,2024-01-04
CURVE_2,30,0.02,2019-11-18
CURVE_2,36,0.01,2024-10-23
CURVE_2,42,0.02,2019-01-13
CURVE_2,48,0.03,2023-07-16
CURVE_2,54,0.05,2025-03-07
CURVE_2,60,0.05,2024-09-29
CURVE_2,66,0.04,2023-10-25
CURVE_2,72,0.05,2024-12-28
CURVE_2,78,0.02,2019-10-14
CURVE_2,84,0.02,2025-12-07
CURVE_2,90,0.07,2022-04-28
CURVE_2,96,0.07,2021-07-27
CURVE_2,102,0.06,2022-01-17
CURVE_2,108,0.05,2021-04-10
CURVE_2,114,0.04,2019-08-08
CURVE_2,120,0.07,2023-03-15
CURVE_3,6,0.06,2021-06-16
CURVE_3,12,0.06,2023-02-10
CURVE_3,18,0.07,2018-03-05
CURVE_3,24,0.02,2025-01-14
CURVE_3,30,0.05,2021-01-14
CURVE_3,36,0.03,2021-05-26
CURVE_3,42,0.07,2024-03-18
CURVE_3,48,0.07,2023-01-20
CURVE_3,54,0.06,2019-10-09
CURVE_3,60,0.05,2021-04-18
CURVE_3,66,0.03,2025-08-09
CURVE_3,72,0.02,2025-07-13
CURVE_3,78,0.02,2020-01-29
CURVE_3,84,0.06,2021-04-09
CURVE_3,90,0.05,2024-10-11
CURVE_3,96,0.03,2021-07-15
CURVE_3,102,0.05,2023-10-15
CURVE_3,108,0.02,2022-02-21
CURVE_3,114,0.02,2020-11-29
CURVE_3,120,0.01,2021-04-20
CURVE_4,6,0.04,2020-01-08
CURVE_4,12,0.04,2024-06-13
CURVE_4,18,0.06,2020-09-12
CURVE_4,24,0.04,2022-03-02
CURVE_4,30,0.04,2023-05-07
CURVE_4,36,0.02,2024-08-01
CURVE_4,42,0.06,2021-03-24
CURVE_4,48,0.02,2021-12-31
CURVE_4,54,0.04,2021-12-10
CURVE_4,60,0.07,2020-10-22
CURVE_4,66,0.04,2018-03-12
CURVE_4,72,0.04,2022-12-28
CURVE_4,78,0.06,2024-07-30
CURVE_4,84,0.04,2020-04-21
CURVE_4,90,0.05,2022-12-22
CURVE_4,96,0.03,2018-01-22
CURVE_4,102,0.05,2023-09-02
CURVE_4,108,0.06,2018-01-03
