lob,confidence_level,std_dev,risk_adjustment_method,cost_of_capital_rate
Health,0.9,3772.65,CoC,0.05
Property,0.9,8790.72,CoC,0.04
Health,0.85,7450.17,VaR,0.07
Motor,0.85,1121.87,VaR,0.08
Life,0.75,5860.59,CoC,0.07
Life,0.75,6804.21,VaR,0.06
Health,0.9,9340.86,CoC,0.02
Motor,0.85,2349.25,VaR,0.02
Property,0.9,6740.58,VaR,0.02
Health,0.85,5815.23,CoC,0.05
Property,0.85,7789.17,CoC,0.04
Motor,0.85,2775.73,CoC,0.08
Motor,0.75,1191.94,CoC,0.07
Property,0.75,4730.53,CoC,0.03
Health,0.75,1049.05,CoC,0.03
Health,0.9,9036.66,CoC,0.03
Property,0.75,3317.33,VaR,0.05
Property,0.9,2949.3,VaR,0.03
Motor,0.9,7864.44,CoC,0.07
Property,0.9,2335.96,CoC,0.03
Life,0.9,7329.56,CoC,0.06
Health,0.85,1064.45,CoC,0.05
Motor,0.9,3179.76,CoC,0.06
Life,0.75,2675.65,VaR,0.02
Motor,0.75,6510.77,CoC,0.05
Property,0.9,5339.22,CoC,0.06
Life,0.9,9259.15,CoC,0.03
Health,0.85,2853.43,VaR,0.04
Property,0.75,9717.71,VaR,0.08
Life,0.9,6242.86,VaR,0.06
Life,0.9,1769.95,VaR,0.02
Health,0.9,5659.26,CoC,0.07
Property,0.9,2027.26,VaR,0.04
Property,0.75,5720.1,CoC,0.07
Property,0.85,2168.01,VaR,0.07
Life,0.75,6740.9,VaR,0.04
Property,0.75,8971.2,CoC,0.04
Property,0.85,3552.16,CoC,0.04
Property,0.85,5660.15,CoC,0.03
Property,0.9,5108.53,CoC,0.05
Motor,0.85,4157.62,VaR,0.05
Health,0.85,8744.27,VaR,0.06
Health,0.85,5282.62,VaR,0.06
Health,0.75,4894.64,VaR,0.07
Property,0.9,7343.04,CoC,0.06
Motor,0.85,3596.73,CoC,0.03
Motor,0.9,1658.1,VaR,0.04
Life,0.9,5783.44,CoC,0.06
Health,0.9,3806.45,CoC,0.07
Property,0.75,7868.96,CoC,0.05
Motor,0.9,2474.01,CoC,0.07
Life,0.75,7539.2,CoC,0.05
Life,0.75,8771.89,CoC,0.05
Motor,0.85,6830.94,CoC,0.06
Property,0.9,8030.54,CoC,0.06
Property,0.9,1799.79,CoC,0.05
Property,0.75,1704.52,CoC,0.05
Motor,0.9,2155.74,VaR,0.05
Health,0.9,3417.14,CoC,0.04
Life,0.75,3748.32,VaR,0.02
Life,0.75,4736.59,VaR,0.07
Motor,0.9,9128.42,CoC,0.06
Property,0.9,8231.07,VaR,0.06
Health,0.9,6612.08,CoC,0.03
Property,0.85,7587.32,CoC,0.05
Life,0.85,9920.33,VaR,0.06
Health,0.9,7260.89,CoC,0.02
Health,0.9,7180.11,VaR,0.03
Property,0.75,1777.16,CoC,0.03
Property,0.85,3905.75,VaR,0.03
Motor,0.75,8179.55,VaR,0.04
Property,0.85,8984.52,VaR,0.06
Property,0.75,9725.16,VaR,0.02
Motor,0.9,3293.54,CoC,0.04
Motor,0.9,5094.75,VaR,0.07
Motor,0.75,7032.76,VaR,0.05
Motor,0.85,4648.05,CoC,0.07
Health,0.75,9483.81,VaR,0.06
Health,0.75,5179.5,VaR,0.06
Motor,0.75,6306.75,CoC,0.05
Life,0.85,6415.03,VaR,0.02
Life,0.85,5087.73,VaR,0.02
Motor,0.9,3430.8,VaR,0.07
Life,0.75,7240.94,CoC,0.05
Health,0.9,5783.25,VaR,0.05
Life,0.9,9307.73,CoC,0.06
Property,0.75,7717.83,VaR,0.08
Health,0.85,6653.92,VaR,0.03
Motor,0.9,8961.33,VaR,0.04
Health,0.75,3189.95,VaR,0.05
