claim_id,policy_id,claim_incurred_date,claim_paid_date,gross_claim_amount,recoverable_amount,net_claim_amount,claim_status
34da1ef2-7a2c-49ec-8c2c-b284197d133e,POL21160083,2025-03-01,2025-05-05,7347.03,3470.74,3876.29,Paid
8fe0de85-921d-48d0-b49c-9f7aa23e7db5,POL75357511,2022-07-16,2022-12-09,3484.85,942.73,2542.12,Paid
f616b6d1-bce1-43f1-88f4-8babfd46a549,POL21843042,2021-03-24,2021-06-04,7157.69,3397.34,3760.3499999999995,Outstanding
4871edbd-fec5-4123-84b5-428b1e2b75ed,POL15082916,2019-08-25,2019-10-23,2138.19,1418.04,720.1500000000001,Paid
1f3dc8d0-8381-4c31-bad2-6626c70e82fc,POL05416549,2019-04-16,2019-05-19,3041.3,642.05,2399.25,Paid
3d6866a5-f3ab-4d7b-8b69-6f5debdec750,POL94341489,2023-02-20,2023-03-31,665.67,292.04,373.62999999999994,Paid
a6ba48dd-c8ee-4e30-bf28-9e8fdba3301b,POL21006313,2025-08-23,2025-09-06,2558.61,1113.95,1444.66,Closed
c22c2d8d-1a27-44f5-b842-205dc29d20ac,POL90265225,2022-01-27,2022-05-30,7248.56,2547.86,4700.700000000001,Paid
434d4f0b-ef92-4b11-87a6-f61114a4aa84,POL92528270,2024-09-14,2025-01-21,6887.67,3728.55,3159.12,Outstanding
efcb1e69-3668-4ae3-86e7-6fa24671fecd,POL31176396,2025-01-14,2025-03-05,1530.84,739.31,791.53,Outstanding
4799468c-3d36-4722-b85d-6e8b795cfd7c,POL78105755,2023-06-01,2023-07-22,4140.38,1857.36,2283.0200000000004,Outstanding
1f8ca56a-b3fe-4398-b386-5e7c54dfc420,POL24228485,2018-07-21,2018-11-14,2396.75,685.1,1711.65,Closed
29ee2ef6-ca04-400d-90dd-03853bc53f4b,POL27435445,2019-12-31,2020-02-23,7842.54,3828.07,4014.47,Closed
3f724df8-f4b4-445b-beb1-b8d6ae9e889a,POL30734884,2019-06-29,2019-08-18,961.75,639.11,322.64,Outstanding
c917d1ac-54e7-456b-9b9c-e37edada3d3d,POL01797569,2023-04-13,2023-09-02,3200.61,694.59,2506.02,Outstanding
efc2f221-8e64-43ac-a891-a4026ef4cbde,POL93765435,2022-08-29,2023-01-14,5305.38,3262.8,2042.58,Closed
2167f339-6b29-4cca-920f-ebc81a615742,POL42058838,2025-12-16,2026-02-28,2838.94,1442.41,1396.53,Outstanding
5bcf7791-49a3-4946-9549-67e56d558159,POL97364387,2023-10-31,2023-12-26,5855.17,2078.75,3776.42,Paid
74723921-9bd5-405b-a423-87a637ff45db,POL45762502,2025-08-30,2026-01-11,9978.19,7321.45,2656.7400000000007,Closed
8084543b-ba45-445d-9a41-48d5b2f755c1,POL27295787,2018-11-29,2019-01-29,6755.33,4965.65,1789.6800000000003,Paid
2d40b37c-4990-4cd6-9d21-b6cb945f4606,POL06143848,2023-06-26,2023-10-02,642.13,461.22,180.90999999999997,Paid
cf61b42a-aaf3-4164-9243-2823441a1ffe,POL98107272,2024-06-13,2024-11-08,2201.34,1736.62,464.72000000000025,Closed
2cfb9ebf-5784-4fa1-abd8-65847b25aad6,POL74191417,2020-03-15,2020-04-10,9675.29,4869.36,4805.930000000001,Paid
4f41debe-e12c-41dc-b370-91cfa216b208,POL55179531,2019-01-21,2019-05-07,5770.82,2614.06,3156.7599999999998,Paid
06f3c882-6f43-4af5-8fb5-681011891388,POL46630840,2022-06-27,2022-11-08,5493.8,3510.82,1982.98,Outstanding
7480ade2-703d-4268-b2bb-f4b0482bd895,POL48306588,2023-11-27,2024-01-25,8022.92,6237.4,1785.5200000000004,Paid
69ef913e-5b8a-4010-8638-3d133f98d175,POL08000747,2020-02-20,2020-05-18,6929.74,3771.22,3158.52,Paid
c0c38505-ad3b-422d-bd81-f2053cf72462,POL86559044,2022-12-09,2023-01-22,9522.85,4499.35,5023.5,Paid
ced195d4-43f7-4a9d-98cf-1031c9adc4e6,POL28021153,2021-08-19,2022-01-06,5161.6,1595.69,3565.9100000000003,Paid
af2946c3-f839-4a55-aeb8-75c4d2e6bafa,POL40090169,2023-12-21,2024-01-23,7284.75,3181.03,4103.719999999999,Outstanding
c7ff2e54-34e0-485a-80bf-ebb8333e4d3e,POL71001534,2020-11-22,2020-12-17,8315.11,3956.27,4358.84,Closed
f995d517-0052-4260-9994-0500105432c4,POL75421345,2020-02-01,2020-06-16,7100.53,4120.11,2980.42,Paid
332410b0-1435-4cfc-849a-2b57c8afba5b,POL82332007,2022-01-30,2022-04-23,2323.9,1493.4,830.5,Outstanding
c37ceb7e-00b6-483c-903a-a24aef452baa,POL33514782,2024-04-03,2024-05-04,6787.96,1989.01,4798.95,Paid
6b6149d7-4bf4-471c-ac21-0af2bb4d7cda,POL75082507,2025-11-03,2025-11-08,9774.66,5261.81,4512.849999999999,Closed
65829f9a-a8ad-4009-a62f-6d4a09c5c3a5,POL82674556,2019-05-04,2019-08-12,7229.58,4944.36,2285.2200000000003,Closed
e007c2a4-26fe-48da-baa6-b1114b4272bd,POL77233317,2023-01-02,2023-03-18,5887.59,1451.07,4436.52,Paid
7627a064-029b-4bce-985c-33e88b851528,POL40742798,2024-04-23,2024-07-25,9595.52,4737.25,4858.27,Outstanding
f3493825-35e0-40cd-8dec-d35258ebb347,POL74512462,2024-06-26,2024-12-17,3146.23,1402.39,1743.84,Paid
6ac2761d-dc3f-4c1e-ae24-d0ac275e78c2,POL90268149,2023-06-30,2023-07-30,2527.51,1406.72,1120.7900000000002,Outstanding
6bfc4e52-f052-4b67-aaec-45f680338364,POL81115612,2021-04-13,2021-07-29,5337.1,4003.17,1333.9300000000003,Outstanding
2eb680fb-6c83-4aec-9349-3d56d9e10c2e,POL36140312,2020-02-16,2020-05-10,8279.52,4523.41,3756.1100000000006,Paid
5d41d016-a811-48b8-bf07-fa67fd714e96,POL61035911,2025-05-16,2025-06-06,3478.72,1507.69,1971.0299999999997,Closed
fe11afc5-ea80-40c5-a74a-7c77ffdea594,POL93998558,2025-03-01,2025-03-06,2955.91,2235.74,720.1700000000001,Outstanding
12e6b9ae-3f37-4eaf-850b-532e1dd61fda,POL27215595,2025-02-22,2025-04-24,5859.46,4275.0,1584.46,Outstanding
414b371f-bbe6-4e62-ad53-7348d8414bb8,POL89826062,2023-12-03,2024-01-27,8411.01,2241.3,6169.71,Closed
46bb8244-a154-40b1-9b4e-a255a5a0ac0b,POL93717172,2020-09-15,2020-10-30,5476.41,1943.75,3532.66,Paid
2e430b2f-c9a1-41ce-8915-22105701d48d,POL52112492,2025-01-07,2025-01-29,8035.91,2272.42,5763.49,Paid
fba60166-d165-449c-85ed-521ab09905c6,POL22670699,2022-01-11,2022-05-05,4611.8,3474.14,1137.6600000000003,Paid
ae5aad37-ea49-42ac-89ae-8007abe2b562,POL80383386,2023-07-21,2023-08-29,8347.8,4344.36,4003.4399999999996,Outstanding
608a78c3-a688-4594-8751-bfa9a3c7768a,POL90137691,2021-03-24,2021-09-04,1279.81,938.76,341.04999999999995,Outstanding
a371f4fd-497e-4325-9a34-efa06ecec4e5,POL74276429,2024-06-19,2024-07-01,3991.99,3131.26,860.7299999999996,Outstanding
0a274871-e310-4d32-a022-2272c35fe620,POL20813483,2023-11-06,2024-02-05,5226.78,3280.11,1946.6699999999996,Outstanding
eb78d4a6-a38f-4e80-9c5c-49dbc29e9c06,POL05824769,2018-03-18,2018-08-01,400.32,261.66,138.65999999999997,Closed
9e40999c-5205-4cb0-bb41-566b63289285,POL75704956,2024-01-07,2024-04-07,2532.04,1869.5,662.54,Closed
cd9c59c2-cdf6-459f-8813-48334014e6f5,POL55827890,2019-03-04,2019-08-09,8052.47,2656.47,5396.0,Closed
720ec148-63b9-4c46-a6dd-c9046a2789af,POL24610131,2024-09-01,2025-02-05,2174.65,584.89,1589.7600000000002,Closed
54c7b6e2-5406-4efe-983f-11d60c8cb175,POL70598107,2019-04-30,2019-06-13,5823.83,2916.82,2907.0099999999998,Outstanding
624622a8-a085-4d1c-9097-21bf0b252a7f,POL25206663,2020-05-14,2020-06-05,2569.48,1813.8,755.6800000000001,Outstanding
18267cd3-264a-473a-bf2f-1dfd8d714067,POL91899597,2023-12-07,2023-12-18,4886.03,2181.82,2704.2099999999996,Paid
c42b52c9-56a8-4763-b9bd-27bd8317574d,POL35911843,2025-07-07,2025-08-20,3955.85,2388.25,1567.6,Paid
b1587f78-2e94-40c5-902b-6ba9240b5581,POL04916096,2024-06-17,2024-07-20,6954.92,4621.07,2333.8500000000004,Closed
59f96a5f-7191-4997-b989-c326fa36df8c,POL70476976,2022-05-05,2022-07-18,3858.03,3020.02,838.0100000000002,Outstanding
eb8ba779-2581-4f19-bd53-bc6aeac44ce8,POL24708925,2025-12-13,2026-04-20,5434.49,4180.9,1253.5900000000001,Paid
57ae7f33-a02a-41b0-94bb-ac4877056ff3,POL83931035,2024-07-31,2024-08-23,1440.32,392.23,1048.09,Paid
8647a7df-d610-47bd-a827-125c36b29a99,POL20848836,2024-07-21,2024-09-14,6044.19,1812.03,4232.16,Closed
aeee3c4f-c9a5-4ac8-827b-342db267efc3,POL11053503,2020-05-10,2020-09-05,3924.04,2053.45,1870.5900000000001,Closed
f232df7a-365b-4e83-a009-0e57fc7b4f38,POL43687273,2019-12-01,2020-04-08,5909.31,2424.7,3484.6100000000006,Outstanding
1578111a-e9b8-4ae1-bf47-97953f601620,POL49240275,2018-08-22,2018-12-05,4903.2,1423.86,3479.34,Closed
52b69b02-ba71-46d8-abe8-e8c609bf5331,POL56889690,2020-10-07,2021-04-01,9513.54,2809.22,6704.3200000000015,Outstanding
d0c1a9e3-6d36-41ba-a496-4016c0675a55,POL36121380,2019-01-31,2019-03-21,3687.91,2529.49,1158.42,Paid
97b778a4-34aa-4574-9a57-11ab6fc7634b,POL56531861,2021-10-17,2022-03-12,7936.1,4704.12,3231.9800000000005,Outstanding
b0426cf7-dc22-4a2b-8f82-9b27b28e1c36,POL46974790,2024-01-31,2024-06-06,3887.54,3040.91,846.6300000000001,Closed
df4a75a2-7531-43b3-8c47-6c9284ddd9bc,POL45530294,2021-01-15,2021-07-02,638.64,170.68,467.96,Closed
47f0420f-0e71-4c37-93d7-fc502b81ab10,POL26515331,2020-08-03,2020-08-08,1619.86,580.98,1038.8799999999999,Outstanding
b939b6f3-3c29-4ad6-80b1-982465d88d5f,POL22648755,2024-11-12,2025-04-25,2616.76,726.18,1890.5800000000004,Paid
2555cc51-5732-49a9-8f49-7588b2941e9d,POL51264390,2025-07-28,2025-08-22,4143.89,2796.27,1347.6200000000003,Closed
2f294588-8a63-4a77-a3cf-8b0f0a631c90,POL97142626,2018-03-17,2018-08-20,3993.34,2773.86,1219.48,Closed
40b6e9e2-952f-47ff-bff3-f30e83d1f365,POL55253288,2022-11-16,2023-03-17,9519.88,6738.35,2781.529999999999,Closed
b757ebdd-2440-4fc6-b1d9-033c48781a5b,POL00286532,2024-04-11,2024-06-28,4341.04,2564.47,1776.5700000000002,Closed
f1c5bc79-7f9c-4d38-9ac1-b0050d3da7d0,POL67225754,2024-12-05,2025-03-27,3296.57,1797.59,1498.9800000000002,Outstanding
a069bc45-c0b7-404e-9453-a6ae80d8f949,POL97337839,2020-06-11,2020-06-15,2795.51,1105.49,1690.0200000000002,Outstanding
368d6987-5e48-4490-bafc-9a8b0deb1767,POL28341337,2022-06-26,2022-08-16,8703.16,6483.93,2219.2299999999996,Closed
3c80a1fa-f4a8-4f4c-a8fc-6e7c08baf6c3,POL59629279,2019-04-07,2019-09-05,5688.35,3743.29,1945.0600000000004,Closed
1e24291f-e9b6-4404-933c-7c489fa85d1e,POL88859349,2022-05-30,2022-08-07,6388.52,1801.36,4587.160000000001,Closed
e341db9e-fdb5-4633-b158-f6c584dfc662,POL73083987,2019-06-12,2019-08-29,1758.75,660.65,1098.1,Closed
b6802a03-6c89-4e80-bac2-03a9b1e858d8,POL32845010,2022-02-17,2022-05-04,1506.43,831.14,675.2900000000001,Closed
fb58612b-406d-49d9-886d-ad67d8202337,POL81239808,2020-08-11,2020-12-09,8525.25,2854.72,5670.530000000001,Outstanding
