entry_id,posting_date,policy_group_id,account_code,description,amount,dr_cr_flag,source_metric,export_status
c41e8e16-61de-4b41-a745-06e9639a44f4,2022-01-02,GRP40533,AC34565,Street four system.,10404.64,CR,CSM,Posted
10a102c8-cc4d-4ab5-9df1-c8f7412e4ec9,2021-03-27,GRP14313,AC96574,Money listen high.,10459.88,CR,RA,Ready
29de9f71-b828-4317-be55-edc369544d89,2021-09-22,GRP53895,AC33999,Responsibility mention sister what identify.,27066.04,CR,CSM,Rejected
d6c4cccd-8614-4d54-91e2-bc7e735d8c3e,2023-05-22,GRP07180,AC68332,Amount after artist significant.,-37038.5,CR,Claim,Ready
fd56c667-a800-4470-bf91-d8d852e4b51f,2021-06-26,GRP11079,AC45709,Drop animal.,31436.06,CR,CSM,Rejected
59b1dd27-74d6-4fe2-ac7e-3c9ae55bd536,2024-04-02,GRP13043,AC35366,Yourself allow would yes here.,-1429.57,CR,CSM,Ready
b0b3b341-ca54-408a-812a-cdeece2ec919,2025-03-17,GRP25400,AC95655,Difficult personal toward.,-39598.07,CR,CSM,Ready
dec79d2e-e9b7-440f-a061-a5207211c0dc,2018-12-24,GRP74204,AC05901,Game develop go huge.,25658.16,DR,CSM,Ready
6f184b8e-2efd-432d-99b0-e8cfa41b689f,2025-11-08,GRP44122,AC63985,Camera animal edge year effect.,10602.73,CR,RA,Ready
62b47605-c70d-498e-a41f-4803a36acd01,2021-02-23,GRP01763,AC25809,Style huge wonder social.,-48377.75,DR,Claim,Rejected
d4141d53-c460-4a03-9732-3590b1b8f71f,2025-08-04,GRP11489,AC76274,Special opportunity science.,24939.88,CR,CSM,Posted
85f5365c-86ae-471e-bf54-af57fc5ac29a,2025-12-14,GRP96473,AC37744,Chair marriage enjoy.,33994.76,DR,Claim,Ready
5ed2e820-b2aa-4d8a-8f27-fbdf51121abc,2020-12-10,GRP96473,AC55683,Culture method significant.,-17100.88,DR,Claim,Rejected
27c91083-4a2c-425a-a2d0-6ad2c43aa162,2019-05-19,GRP32832,AC11802,Condition national apply test.,-39561.7,CR,Claim,Ready
3d451080-5dda-4aad-be77-d0d6b3d2696b,2025-06-12,GRP37956,AC67163,Around design no.,-32010.37,DR,RA,Ready
a25d0969-fbee-4f30-b189-3a508c8f2974,2022-03-24,GRP65828,AC33390,Discussion parent man option.,-24519.06,DR,Claim,Posted
6e802b0e-2962-4c39-88a4-52d2ab6f08d2,2021-04-01,GRP81866,AC20093,Side memory.,37307.71,DR,CSM,Rejected
349594c5-4a36-47fc-910f-0bd857a57c67,2020-02-04,GRP46244,AC87045,Suddenly health record financial.,28253.34,DR,RA,Rejected
a18ac434-f983-42fb-b517-b8af6a85b365,2019-02-12,GRP36007,AC19923,Include itself occur clear.,-22252.36,CR,RA,Ready
a202fa3d-9998-4d74-a17a-4335a3059f83,2021-09-21,GRP89458,AC57882,Idea standard.,-7023.42,DR,RA,Ready
8b660b9c-2286-414c-8e14-45542adac994,2020-01-07,GRP47856,AC42301,Personal factor.,48019.86,CR,CSM,Posted
