transaction_id,policy_id,transaction_date,premium_amount,ceded_premium_amount,net_premium_amount,commission_paid
459ec13a-00e1-4c87-ab8a-8f3a63e3a3ee,POL53838137,2020-10-16,2196.94,443.68,1753.26,67.31
7e21f13c-b0eb-486c-801a-a09eaf2a5821,POL49586252,2018-03-17,4024.96,1127.42,2897.54,293.91
c185864f-e7fe-45ba-af39-73436ebc2590,POL94601221,2018-11-13,6040.62,684.81,5355.8099999999995,307.72
df5c6ff4-650b-4a6d-a778-16968328eb30,POL39999371,2025-03-22,5779.16,2506.92,3272.24,174.22
dbea6933-2a6e-4047-b12d-70e9695fae1a,POL97150595,2025-01-01,4941.83,2008.45,2933.38,87.77
4c17c3c7-4032-4156-9822-3449473353e0,POL96848177,2022-01-06,4173.36,1225.87,2947.49,182.17
76147336-c8b7-49c7-b80e-1a9ff7198772,POL97638636,2020-04-15,2730.73,563.19,2167.54,104.85
77e01b71-260c-452f-8ac2-62fddb98af98,POL61943619,2022-03-24,9470.27,4387.64,5082.63,728.36
6d5f7f75-638b-4b71-9d46-b835698ba691,POL91258415,2018-12-28,4089.87,1814.32,2275.55,154.3
48aedcbb-c0c4-40c8-b17c-e832e71d3362,POL78569097,2023-10-14,4218.14,1700.21,2517.9300000000003,402.62
14ecccab-1c18-4313-97e0-a1dca3db6f48,POL60225829,2022-02-26,1173.41,492.12,681.2900000000001,115.72
20d067c4-84be-47ab-b54c-a4413e1e9f07,POL28813607,2022-11-13,9988.9,4775.61,5213.29,233.94
ec561d60-aeb1-4857-b380-98cab1b204f1,POL04570850,2020-07-19,1364.18,157.92,1206.26,63.8
ab2ce17d-a03d-469b-9e08-fdb21cfea241,POL53034962,2023-09-05,8217.49,2030.01,6187.48,293.6
aaf1d206-5a93-42ba-b701-2e2b8408b028,POL87889523,2024-01-23,1000.14,309.54,690.5999999999999,80.15
128c68ed-5532-400e-9208-1e030548f153,POL39569305,2021-11-13,1229.56,557.5,672.06,35.72
073777a7-de72-435d-93b8-b563960334a3,POL89995664,2023-09-11,7602.19,2152.28,5449.91,175.41
72591c9d-1a33-437b-b4d0-90e9b308588b,POL22518273,2025-11-30,7879.35,2176.07,5703.280000000001,413.58
2675c0aa-9138-4c06-8810-90c4e79032a0,POL84970772,2018-05-18,9671.85,4184.46,5487.39,357.09
abb9b482-dc13-4bbf-997e-38685284f72b,POL99242542,2018-07-19,9230.88,2067.11,7163.769999999999,112.98
9431ef46-b677-4c72-b96a-2e55e480e9cc,POL65697223,2019-12-12,8072.09,3076.34,4995.75,713.55
681c439f-1a72-4e22-9a35-b797e5568c44,POL07610306,2025-05-30,1997.81,346.75,1651.06,42.19
6d4b0388-5195-4e30-b1ae-d62f49556d5f,POL66472018,2022-03-13,6233.94,639.86,5594.08,209.37
cb438a85-6dad-46f5-ac0a-c4417369a74b,POL04826877,2021-12-23,6228.15,2047.89,4180.259999999999,457.64
e1ec30d1-3848-46c9-a8f7-04f9507f62b1,POL12049037,2020-09-23,5486.98,755.36,4731.62,342.23
d1334d74-7da2-4673-89c9-2d1b4b01f165,POL57142578,2024-03-24,6857.22,2829.49,4027.7300000000005,627.05
5d451dc2-a826-4038-bfd3-d4fae4fafbfc,POL57120831,2022-09-02,2621.44,515.79,2105.65,188.25
dcaa4174-023c-4663-9d2d-f0da0e11a9db,POL75667299,2025-12-11,5193.93,1708.7,3485.2300000000005,181.65
cd98f4e5-59c0-4396-93bd-4d8c4fe10dac,POL77906155,2020-12-30,5974.08,2957.65,3016.43,208.74
09bc0876-06d5-4e48-bac2-0de46395fbb9,POL68298349,2023-06-14,5270.7,2606.2,2664.5,249.76
9450ef05-cae2-42d9-a5bf-5d3c4ebd4c82,POL47524332,2024-02-28,4873.44,1222.87,3650.5699999999997,366.41
0225b544-2bf2-4af1-8db6-7665fb235d7f,POL74454486,2022-08-12,5205.86,2533.97,2671.89,509.8
c7d3d548-524c-47bb-a122-02d95b685341,POL46647643,2024-11-19,5605.32,1411.03,4194.29,256.61
3d72d3c1-fe2d-4eec-9cc3-cbf54cfa3915,POL09668648,2023-10-16,5358.31,2452.58,2905.7300000000005,160.66
be43a371-36b2-4d8e-b314-66dfd3f4a11f,POL38743098,2019-02-09,1043.3,250.04,793.26,72.62
85c7b029-a6e0-470d-b9d6-745c1896c200,POL68640766,2024-05-18,701.7,255.23,446.47,42.34
869a5267-3813-48a6-8688-4cf7ada96178,POL88246795,2025-07-16,5113.67,2097.42,3016.25,173.34
fef15b89-a0df-4223-80fc-73a53fbce05a,POL61766341,2023-12-11,6690.62,816.58,5874.04,586.19
6221f86d-0a22-4685-8678-837d10b39517,POL31407489,2020-05-25,5974.65,2169.75,3804.8999999999996,329.8
0403c52b-9e54-4d02-8a36-31cc91ed0774,POL12712737,2023-10-08,9917.9,2599.47,7318.43,273.89
e0020dd8-f333-4403-adfb-93622700f549,POL57459881,2024-02-29,668.93,173.76,495.16999999999996,53.04
ac2135e8-c071-4ae1-ac6e-9f398b10b3a0,POL44146587,2020-01-09,4916.94,958.79,3958.1499999999996,420.3
0501a3e5-ba22-451e-8726-81ea0a74bace,POL20188083,2024-04-03,2334.46,782.46,1552.0,100.86
2eed1e87-342b-44a6-bf0a-cd2a25404bcf,POL57417161,2020-12-15,4379.17,1979.83,2399.34,263.33
e7a181a2-14c8-4840-a035-3e0f2e58e51a,POL47957027,2019-01-12,3400.24,887.34,2512.8999999999996,241.68
e24ff389-0c0a-4282-932e-9d71e733ea17,POL23836226,2025-09-19,7348.51,1809.84,5538.67,98.71
2ea184e3-3f7c-4145-9926-f3d31565e771,POL43490288,2018-04-25,7514.11,2226.27,5287.84,141.47
a280e349-2a7f-4e66-929f-3c7af66859fb,POL22832718,2020-04-26,9611.18,2429.29,7181.89,837.1
99132199-2f7b-497e-a5d2-5c5bc72b9ebf,POL47305154,2022-02-22,6089.11,2861.66,3227.45,248.34
