treaty_id,treaty_type,coverage_start_date,coverage_end_date,ceding_company,reinsurer_name,limit_amount,retention_amount,quota_share_percent,commission_percent,profit_commission_flag
TREATY507256,Surplus,2020-02-25,2021-03-11,Craig-English,Scott PLC,5588783.96,703196.72,61.49,6.67,True
TREATY083261,Surplus,2020-05-22,2023-12-09,"Callahan, Conway and Kemp","Salinas, Taylor and Wagner",4859242.23,416778.18,44.77,13.57,True
TREATY587431,Surplus,2016-01-23,2017-07-24,"Hall, Turner and Castillo","Johnson, Wilson and Smith",4934117.97,435245.99,46.53,13.1,True
TREATY401658,Surplus,2021-04-16,2023-11-03,"Ingram, Salinas and Leonard",Campos-Obrien,9819635.25,749986.47,36.48,7.64,False
TREATY132276,Quota Share,2020-12-05,2024-02-19,Smith PLC,Armstrong-Molina,5565365.67,587375.06,83.99,18.24,False
TREATY667875,Quota Share,2020-07-22,2022-10-28,"Fields, Walker and James",Williams-Morales,389189.8,279695.86,81.15,10.2,True
TREATY745655,Surplus,2021-02-22,2026-02-11,Santos and Sons,Scott-Rice,1051713.81,964744.45,49.28,17.37,True
TREATY027181,Facultative,2023-01-17,2027-08-05,Brown-Hamilton,Gilmore Group,3612470.19,449623.09,82.82,10.56,True
TREATY041518,Quota Share,2023-11-20,2026-09-30,Moore-Holder,Spencer-Ryan,4149826.9,524793.51,10.4,12.31,False
TREATY679007,Quota Share,2015-05-03,2019-12-17,"Allen, Johnson and Burns",Harris Ltd,1232944.2,597657.57,12.1,9.35,True
TREATY573752,Facultative,2023-03-04,2027-04-28,"Bush, Wong and Cruz",Brown and Sons,3063165.54,369705.73,33.99,15.16,False
TREATY749155,Quota Share,2021-07-15,2023-07-24,"Long, Jordan and Burke",Lang Inc,2662485.4,659911.9,69.14,15.6,False
TREATY477731,Surplus,2016-05-15,2019-06-23,Salinas-Wood,Garcia PLC,4847882.65,433832.62,64.29,17.95,True
TREATY419737,Quota Share,2015-03-15,2017-09-24,Serrano Inc,"White, Stephenson and Miller",7019552.0,303163.6,77.59,19.07,False
TREATY756837,Quota Share,2017-08-27,2021-05-05,"Miller, Robinson and Jackson",Evans Inc,9843912.48,759609.76,78.51,7.44,True
TREATY542196,Surplus,2018-03-31,2023-02-03,"Jones, Salazar and Diaz","Gonzalez, Doyle and Bennett",2610193.69,418128.49,40.76,13.21,True
TREATY450548,XoL,2017-01-24,2018-10-03,Black-Mitchell,Martin Inc,3116864.91,612710.36,18.32,15.86,True
TREATY955845,Quota Share,2022-05-22,2026-10-24,"Taylor, Navarro and Lucas","Brown, Bailey and Nunez",8916520.01,298141.96,77.58,7.85,False
TREATY049869,XoL,2016-02-21,2017-06-06,Bates-Turner,Reese-King,3568672.5,427123.3,26.78,9.51,False
TREATY084696,Facultative,2020-09-24,2024-06-16,Hernandez Inc,"Miller, Mcclure and Reyes",7405943.54,510024.27,28.25,12.06,True
TREATY124167,Surplus,2021-04-13,2025-08-23,"Hayes, Dominguez and Jones",Johnson-Bryant,3517729.78,802586.46,33.48,18.22,True
TREATY223561,Quota Share,2017-12-24,2019-05-26,Escobar-Parker,Bradley-Santos,1870162.31,514924.17,50.87,16.91,True
TREATY664089,Facultative,2019-09-13,2021-12-15,Gross Group,Taylor-Smith,5569196.89,302314.08,40.75,17.02,True
TREATY742670,Surplus,2016-03-19,2019-11-04,Miller-Lee,"Park, Mcmillan and Gonzalez",3148384.69,297742.24,72.92,16.03,False
TREATY855723,Quota Share,2020-04-05,2023-12-07,Johnson Group,Williams and Sons,9270797.47,351858.34,36.19,13.2,False
TREATY682904,Surplus,2018-07-01,2019-10-03,Ramos-Bates,Rocha-Rivera,3168357.7,572526.52,62.64,21.3,False
TREATY088067,Quota Share,2021-02-05,2023-08-19,Pittman-Little,Duran Group,970974.36,771066.82,73.57,10.76,False
TREATY999937,Surplus,2016-08-28,2021-02-23,"Moore, Green and Wood","Allen, Lane and Brown",5554124.96,466724.34,82.41,24.75,True
TREATY906086,Quota Share,2023-02-12,2024-06-14,Sullivan LLC,House and Sons,9487047.46,586151.55,83.26,17.75,True
TREATY805495,XoL,2015-10-27,2017-06-09,Stewart Ltd,Stokes-Delacruz,6131161.73,394672.45,73.7,17.49,False
TREATY803710,Quota Share,2017-01-13,2020-09-24,Moore-Simmons,Clay-Johnson,6503256.23,998376.97,27.38,11.44,False
TREATY993054,XoL,2019-08-08,2021-12-05,Roberts-Patterson,Mason-Walker,7419674.01,285043.43,54.15,17.12,True
TREATY269771,Quota Share,2017-03-12,2020-06-02,Ferguson Group,Lopez Group,9862538.33,287038.2,86.96,16.23,False
TREATY091781,Facultative,2015-01-16,2016-09-14,Miranda-Lara,Schmidt Group,5546032.54,464626.73,30.57,13.0,False
TREATY044646,Facultative,2021-12-06,2026-05-20,Mendoza-Lopez,"Oconnell, Calhoun and Wong",9107850.41,648445.66,54.82,23.93,True
TREATY242816,Surplus,2022-03-04,2025-05-23,Murray-Juarez,"Thompson, Smith and Jackson",9790852.13,746319.25,47.26,11.79,False
TREATY279571,Facultative,2023-10-17,2027-12-21,Taylor-Scott,"Moore, White and Jackson",9430963.3,207434.85,79.1,13.78,True
TREATY499834,XoL,2017-05-27,2020-01-28,Pittman Group,"Hansen, Cook and Jennings",3563527.78,591459.52,27.45,15.52,True
TREATY971127,Surplus,2023-10-13,2027-05-18,"Flores, Combs and Ali",Haynes-Booth,9327360.28,668133.8,85.09,8.11,True
TREATY411959,Surplus,2022-01-01,2026-07-04,Patel and Sons,Austin-Martin,2697639.11,435749.74,79.01,17.17,False
TREATY612652,XoL,2019-01-25,2021-06-29,Quinn-Sandoval,"Morgan, Newman and Murphy",3771577.58,310181.72,25.03,8.21,True
TREATY856193,Quota Share,2023-11-13,2028-05-05,Evans-Maldonado,French-Nguyen,3547915.09,69423.64,19.9,24.07,True
TREATY122640,XoL,2016-10-20,2021-02-03,"Carr, Vasquez and Parks","Rodgers, Watson and Thompson",4195385.26,769780.55,72.92,24.46,False
TREATY600036,Surplus,2020-03-29,2023-01-10,Pham-Barnes,Bennett LLC,3956657.25,303212.94,80.89,8.02,False
TREATY926331,Surplus,2023-10-13,2025-06-27,"Hill, Logan and Cook","Brown, Harris and Lowery",6481530.54,853747.42,72.51,7.07,True
