scenario_id,description,premium_growth_rate,claim_frequency_shift,catastrophe_factor,discount_curve_override,lapse_rate,run_date
SCEN_598081,Responsibility garden both guy last.,0.05,-0.05,1.96,CURVE_1,0.07,2020-07-26
SCEN_4ecd4a,Of size end.,0.11,-0.03,2.05,CURVE_5,0.05,2021-08-27
SCEN_c8a9ab,Account receive she already.,0.11,0.05,1.29,CURVE_1,0.06,2018-04-16
SCEN_c0c377,Important bank nice remember trade keep.,0.08,0.17,1.5,CURVE_4,0.07,2020-10-29
SCEN_d5c475,Raise water already.,0.03,-0.05,1.03,CURVE_3,0.08,2018-02-15
SCEN_136a48,Significant operation up until along.,0.06,-0.02,1.16,CURVE_2,0.06,2020-03-15
SCEN_96173e,Right away two.,0.09,0.12,0.94,CURVE_5,0.01,2025-07-23
SCEN_24a8b7,Available rate do like piece best.,0.03,0.09,1.16,CURVE_4,0.04,2022-07-01
SCEN_ab6ea9,Word myself realize edge mission worry.,0.12,0.11,2.16,CURVE_2,0.07,2018-12-05
SCEN_fbba3e,First weight quite over serious.,0.03,0.13,1.47,CURVE_4,0.04,2018-05-08
SCEN_173dc2,Live offer network.,0.09,0.17,2.1,CURVE_2,0.07,2019-03-30
SCEN_8812df,City agency reality.,0.07,0.04,1.11,CURVE_2,0.08,2024-09-10
SCEN_2e7d6b,Account usually necessary.,0.11,0.07,1.89,CURVE_2,0.04,2019-10-14
SCEN_267189,Continue since cold book fast hard international.,0.14,0.03,2.25,CURVE_2,0.09,2020-11-03
SCEN_36b884,Clearly state group news quality movement.,0.13,-0.0,1.25,CURVE_5,0.01,2022-06-26
SCEN_836b9c,Home although direction.,0.02,0.14,1.15,CURVE_4,0.02,2020-08-06
SCEN_69c060,Good manage quality director why record.,0.02,0.17,2.07,CURVE_2,0.04,2019-06-10
SCEN_68ec91,Top oil like these agency.,0.13,0.08,2.12,CURVE_1,0.03,2019-07-28
SCEN_478fac,A usually site third laugh.,0.12,0.06,1.43,CURVE_3,0.03,2023-09-26
SCEN_ffffd2,Return central air protect.,0.07,0.16,1.3,CURVE_4,0.08,2025-09-05
SCEN_105be3,Build its some dark leave.,0.05,0.18,1.68,CURVE_5,0.06,2018-09-19
SCEN_b022f4,Support whatever fight value guess market.,0.06,-0.02,1.9,CURVE_4,0.06,2022-07-20
SCEN_110535,Long so produce.,0.14,0.13,0.96,CURVE_2,0.1,2023-07-04
SCEN_510d31,Do along strong security party.,0.15,0.01,1.34,CURVE_2,0.09,2020-03-13
SCEN_5d1ecb,Environmental bag well.,0.07,0.09,1.2,CURVE_2,0.03,2022-07-24
SCEN_e5e497,Teacher entire section.,0.03,-0.04,1.65,CURVE_4,0.07,2021-09-04
SCEN_ef8334,International above party task.,0.12,0.0,1.94,CURVE_5,0.05,2025-05-30
SCEN_b01c95,Rather hope consider institution development.,0.05,0.05,1.68,CURVE_4,0.08,2018-08-20
SCEN_a083c0,Force small recently on sign wear benefit.,0.13,0.03,2.24,CURVE_3,0.07,2024-10-01
SCEN_e667b4,Investment huge new within.,0.1,0.08,1.33,CURVE_5,0.04,2023-11-02
SCEN_8dd60a,Attack head knowledge task.,0.09,0.18,2.03,CURVE_3,0.03,2020-02-15
SCEN_94fe0e,Republican into prepare usually.,0.14,0.07,2.28,CURVE_2,0.02,2025-06-24
SCEN_3ac221,Drive coach relate among consumer.,0.11,0.12,0.98,CURVE_3,0.1,2023-08-23
