policy_id,policy_group_id,start_date,end_date,line_of_business,coverage_term_months,underwriting_year,currency,ifrs_model_type,status
POL27328245,GRP07934,2022-08-20,2025-04-06,Motor,32,2022,EUR,GMM,Expired
POL34295505,GRP38899,2021-04-02,2022-07-26,Motor,16,2021,EUR,GMM,Cancelled
POL05649566,GRP64825,2025-07-06,2026-07-01,Property,12,2025,GBP,GMM,Expired
POL09592513,GRP13852,2019-10-24,2021-09-13,Life,23,2019,USD,PAA,Cancelled
POL44669576,GRP08919,2018-07-22,2019-03-19,Life,8,2018,USD,GMM,Active
POL67239430,GRP04502,2022-04-11,2024-06-29,Motor,27,2022,EUR,PAA,Expired
POL14603662,GRP20609,2022-10-07,2024-11-25,Motor,26,2022,GBP,PAA,Cancelled
POL40915024,GRP52759,2024-08-19,2025-04-16,Health,8,2024,GBP,PAA,Expired
POL74739483,GRP93277,2020-03-22,2021-11-12,Health,20,2020,EUR,GMM,Active
POL64732793,GRP20243,2022-07-30,2024-04-20,Property,21,2022,EUR,GMM,Cancelled
POL20423793,GRP97885,2022-11-02,2023-06-30,Life,8,2022,EUR,PAA,Expired
POL29666001,GRP44487,2025-12-16,2027-03-11,Health,15,2025,GBP,GMM,Cancelled
POL15389250,GRP59029,2022-08-05,2025-05-21,Health,34,2022,GBP,PAA,Expired
POL12414144,GRP02659,2023-08-21,2024-08-15,Motor,12,2023,EUR,PAA,Cancelled
POL77909642,GRP17346,2024-03-30,2026-05-19,Motor,26,2024,GBP,GMM,Expired
POL73973231,GRP41592,2021-10-05,2022-08-31,Property,11,2021,EUR,GMM,Active
POL78590923,GRP70949,2025-10-18,2028-02-05,Motor,28,2025,GBP,GMM,Active
POL08268616,GRP48127,2019-08-01,2021-04-22,Property,21,2019,GBP,PAA,Cancelled
POL35004779,GRP33076,2019-01-17,2020-04-11,Property,15,2019,USD,PAA,Cancelled
POL95683135,GRP02760,2023-07-07,2024-10-29,Motor,16,2023,GBP,PAA,Expired
POL45687937,GRP25845,2022-11-12,2023-07-10,Health,8,2022,USD,PAA,Expired
POL05123775,GRP75539,2020-03-08,2021-03-03,Motor,12,2020,EUR,PAA,Expired
POL35351954,GRP12946,2019-12-29,2022-02-16,Health,26,2019,USD,GMM,Cancelled
POL67282076,GRP49502,2020-05-05,2021-12-26,Motor,20,2020,GBP,GMM,Cancelled
POL62059054,GRP26978,2019-06-12,2020-04-07,Property,10,2019,USD,GMM,Expired
POL84817478,GRP95124,2025-10-25,2028-07-11,Health,33,2025,GBP,PAA,Active
POL11248720,GRP35789,2023-09-27,2025-12-15,Property,27,2023,USD,GMM,Cancelled
POL22246136,GRP20836,2021-03-15,2022-01-09,Property,10,2021,EUR,PAA,Expired
POL87778994,GRP92676,2022-06-12,2025-04-27,Motor,35,2022,GBP,GMM,Expired
POL98643606,GRP87033,2024-05-06,2025-11-27,Motor,19,2024,USD,PAA,Expired
POL19759420,GRP33772,2023-05-20,2025-09-06,Motor,28,2023,GBP,GMM,Expired
POL79938690,GRP00308,2018-09-05,2020-09-24,Property,25,2018,GBP,PAA,Active
POL89795353,GRP50786,2025-03-02,2027-10-18,Life,32,2025,EUR,GMM,Expired
POL51013802,GRP91774,2025-07-30,2026-11-22,Life,16,2025,USD,GMM,Expired
POL44595070,GRP65138,2020-02-05,2020-08-03,Health,6,2020,USD,GMM,Cancelled
POL79217135,GRP76726,2019-08-25,2020-07-20,Life,11,2019,USD,GMM,Active
