policy_group_id,period,csm_opening,csm_accretion,csm_release,csm_closing,risk_adjustment,loss_component,coverage_units,service_expense,insurance_revenue,reinsurance_asset_change
GRP56586,2020-06-04,81807.94,4960.42,4588.21,82180.15,9822.01,1947.32,10,2483.15,15039.2,1346.05
GRP02974,2025-09-28,401756.62,4330.51,4281.38,401805.75,8401.98,927.51,71,7527.26,5998.74,-4726.54
GRP87309,2020-05-06,496478.69,2779.0,5557.68,493700.01,8545.15,1418.25,23,6338.57,13892.85,-885.62
GRP69821,2021-06-12,103632.5,641.48,8107.05,96166.93,8670.44,97.13,43,1372.88,5540.69,-4733.97
GRP43503,2025-09-14,288270.5,4650.46,2753.19,290167.77,3923.81,175.33,28,7683.34,22992.65,3586.49
GRP94717,2023-11-03,42823.54,4592.83,2311.11,45105.26,7065.65,182.61,30,6836.17,12207.3,2785.03
GRP45653,2023-07-31,44811.9,451.25,4740.07,40523.08,1533.56,460.87,65,2094.19,18454.02,-4376.56
GRP11428,2023-09-29,438602.74,3100.41,7755.91,433947.24,8137.38,1645.39,68,9973.04,14055.96,-1335.63
GRP21132,2024-02-08,334771.39,2357.67,6405.65,330723.41,3241.13,711.6,14,3849.4,7014.92,-2347.11
GRP62195,2019-09-15,51246.14,2716.12,1777.5,52184.76,8399.06,930.64,13,5256.03,27814.84,1623.41
GRP86340,2021-01-08,41686.38,3847.64,4917.71,40616.31,9827.51,1235.19,11,3119.99,11296.92,2132.94
GRP94485,2019-09-29,435800.34,2480.2,6738.31,431542.23000000004,9098.67,548.83,1,2961.71,12497.85,1283.02
GRP53596,2022-11-11,455516.67,4272.4,5154.83,454634.24,9693.02,261.55,28,6481.91,5243.88,1647.69
GRP45053,2021-11-16,117122.62,2512.16,6787.75,112847.03,1174.44,1389.22,64,3882.68,21975.32,-4837.46
GRP26541,2025-09-14,157294.71,4901.41,4639.62,157556.5,3627.79,1835.66,7,3412.39,24579.89,3388.47
GRP61832,2021-05-31,298507.21,3738.99,4417.92,297828.28,9600.11,1563.05,42,6979.59,20648.66,-4147.34
GRP92986,2025-07-11,324694.8,3351.3,9411.31,318634.79,7850.63,891.4,25,3895.45,23077.18,-662.8
GRP64173,2018-11-08,120524.22,3103.71,9095.87,114532.06000000001,5617.11,1423.58,43,8727.18,21816.17,1305.9
GRP92698,2025-05-15,397747.34,1167.85,1827.04,397088.15,8176.35,987.55,1,4465.1,13259.75,-4469.32
GRP06934,2025-01-15,376356.48,1514.85,526.3,377345.02999999997,7548.16,470.13,62,3646.63,14198.34,-3225.63
GRP77307,2019-10-07,51389.51,1502.8,2321.2,50571.11000000001,7420.42,157.12,8,2204.69,20661.83,-396.57
GRP70164,2018-11-14,256800.96,3005.85,1274.6,258532.21,4713.97,1059.86,8,8193.2,12776.59,-4261.08
GRP01902,2025-10-06,142004.79,2321.36,8498.62,135827.53,9837.68,1395.1,68,9059.49,15151.99,-4469.06
GRP32713,2020-06-26,286103.67,1710.5,8739.67,279074.5,2500.57,1829.18,34,1396.86,12472.95,1889.39
GRP34689,2023-05-21,402876.21,4230.38,1692.06,405414.53,6699.69,408.64,62,6187.01,21085.91,4229.1
GRP01743,2019-02-07,392036.41,267.17,2627.02,389676.55999999994,3832.56,202.59,49,7204.41,28791.46,2214.26
GRP88852,2025-09-26,142759.29,3510.87,8873.38,137396.78,6193.26,1684.06,21,7037.47,14006.67,-2834.64
GRP38995,2020-10-17,125085.82,1241.14,660.24,125666.72,1239.5,270.79,94,4364.82,27514.49,-3984.55
GRP12587,2021-05-31,233296.57,3721.21,8983.76,228034.02,2493.72,1066.12,77,9733.55,18433.59,-3333.35
GRP42477,2019-09-06,119408.67,4486.43,4229.68,119665.42000000001,1775.57,1795.47,18,7025.73,21127.71,621.01
GRP59246,2025-05-30,134439.23,2804.57,3501.06,133742.74000000002,2831.07,1462.18,76,8087.46,13798.03,4615.23
GRP45156,2025-10-27,343786.62,4751.58,5442.05,343096.15,7961.51,927.39,61,9762.2,13435.81,3039.22
GRP13414,2018-12-17,406457.96,4263.06,7182.73,403538.29000000004,7494.28,1382.64,13,4768.47,8522.69,-4566.78
GRP81179,2022-10-01,92913.8,4429.57,4824.75,92518.62,4513.43,1558.48,38,7583.39,20636.35,1047.54
GRP51820,2020-05-13,458753.28,1086.39,7395.87,452443.80000000005,5196.79,448.54,55,4083.96,27445.34,35.68
GRP10775,2021-12-23,74110.72,3418.57,3389.9,74139.39000000001,4842.54,1783.28,18,2989.94,20795.76,1005.89
GRP45956,2024-08-29,348478.11,3292.83,5833.88,345937.06,4528.65,1350.55,28,3715.16,14585.31,-3143.09
GRP19809,2025-09-13,357393.47,4886.37,8862.26,353417.57999999996,6931.74,990.61,28,4842.89,26211.31,1868.54
GRP62962,2018-11-10,477452.76,4515.8,905.39,481063.17,9013.29,287.47,65,5784.82,8891.79,-3716.35
GRP05276,2019-11-28,394347.34,2494.6,3041.12,393800.82,1244.74,100.18,83,7311.25,25732.93,-956.11
GRP11843,2023-06-25,94794.14,4848.59,3120.25,96522.48,6718.11,680.33,50,9506.98,28928.71,-4658.82
GRP45689,2025-02-01,434444.99,4329.24,1453.38,437320.85,4374.81,951.15,51,3074.8,14293.06,4306.91
GRP32142,2022-02-03,276117.16,1332.28,6486.03,270963.41,8529.97,192.15,63,6699.23,28354.54,93.5
GRP95031,2023-12-11,126695.16,1968.19,4675.47,123987.88,2160.01,915.19,54,1357.22,13425.69,1018.59
GRP49964,2022-12-12,400125.6,682.71,6541.18,394267.13,3919.51,1848.7,65,7251.52,5774.79,-2950.19
GRP96270,2022-10-15,422667.82,2330.87,5093.44,419905.25,1763.86,174.6,65,5892.05,26729.79,-3757.39
GRP36350,2023-08-15,98334.38,2664.44,3152.32,97846.5,5794.37,369.81,38,1977.66,24779.32,494.99
GRP89671,2018-10-02,411182.17,1537.96,4447.89,408272.24,9432.79,207.61,14,9852.03,22995.27,-2248.59
GRP23878,2021-09-12,271690.69,1276.69,1563.77,271403.61,1635.85,376.17,65,6539.05,28912.56,-880.78
GRP89237,2021-01-12,151797.59,614.2,8899.22,143512.57,1785.49,1566.64,69,3865.52,14657.33,926.78
GRP95067,2024-03-25,452599.19,2312.34,3980.91,450930.62000000005,8867.56,1000.51,67,5746.73,7431.61,1966.35
GRP66436,2019-11-21,88064.94,2306.08,3941.59,86429.43000000001,4629.76,83.65,48,5017.53,9619.17,368.26
GRP57803,2023-03-02,145903.15,4581.56,596.78,149887.93,2206.59,1540.54,36,1393.64,13093.69,-3945.8
GRP66086,2023-01-16,73835.72,3023.02,7277.98,69580.76000000001,2820.79,425.73,15,1220.3,12304.43,-4146.18
