id,projectID,projectName,overallBudget,startDate,plannedEndDate,actualEndDate
proj_0,PROJECT-1000,MegaDataCenter_0,460459136.18,2023-11-14T06:25:17,2025-08-30T06:25:17,
proj_1,PROJECT-1001,MegaDataCenter_1,176999413.88,2023-08-11T02:55:09,2025-04-13T02:55:09,
proj_2,PROJECT-1002,MegaDataCenter_2,191628049.79,2024-01-23T22:51:29,2025-02-13T22:51:29,
proj_3,PROJECT-1003,MegaDataCenter_3,94320072.7,2023-12-29T16:15:51,2025-06-02T16:15:51,
proj_4,PROJECT-1004,MegaDataCenter_4,221839632.69,2023-08-23T23:35:27,2024-11-05T23:35:27,
proj_5,PROJECT-1005,MegaDataCenter_5,57980213.06,2023-09-22T19:45:07,2024-10-10T19:45:07,
proj_6,PROJECT-1006,MegaDataCenter_6,328331520.69,2024-01-24T21:49:35,2026-03-16T21:49:35,
proj_7,PROJECT-1007,MegaDataCenter_7,89355064.35,2023-08-10T21:02:52,2025-04-30T21:02:52,
proj_8,PROJECT-1008,MegaDataCenter_8,309258034.27,2023-07-29T01:34:41,2024-11-06T01:34:41,
proj_9,PROJECT-1009,MegaDataCenter_9,208748153.85,2023-07-30T12:14:35,2024-11-28T12:14:35,
proj_10,PROJECT-1010,MegaDataCenter_10,87197265.0,2023-11-26T11:37:33,2025-07-02T11:37:33,
proj_11,PROJECT-1011,MegaDataCenter_11,393364991.64,2023-12-05T06:16:46,2025-03-08T06:16:46,
proj_12,PROJECT-1012,MegaDataCenter_12,271468019.34,2023-06-25T07:12:43,2024-10-19T07:12:43,
proj_13,PROJECT-1013,MegaDataCenter_13,375107106.83,2023-08-03T21:28:13,2025-08-30T21:28:13,
proj_14,PROJECT-1014,MegaDataCenter_14,499702873.47,2023-07-09T05:38:16,2025-01-07T05:38:16,
proj_15,PROJECT-1015,MegaDataCenter_15,290712153.36,2023-07-15T08:38:38,2025-09-21T08:38:38,
proj_16,PROJECT-1016,MegaDataCenter_16,345537500.13,2023-06-22T19:47:35,2024-07-23T19:47:35,
proj_17,PROJECT-1017,MegaDataCenter_17,449972527.19,2024-01-31T03:49:44,2025-10-03T03:49:44,
proj_18,PROJECT-1018,MegaDataCenter_18,325354990.98,2023-04-17T17:18:51,2024-09-26T17:18:51,
proj_19,PROJECT-1019,MegaDataCenter_19,110791253.2,2023-10-30T22:19:10,2025-06-13T22:19:10,
proj_20,PROJECT-1020,MegaDataCenter_20,328783902.46,2023-09-10T07:33:46,2024-09-23T07:33:46,
proj_21,PROJECT-1021,MegaDataCenter_21,196036844.17,2023-04-26T22:01:28,2024-12-23T22:01:28,
proj_22,PROJECT-1022,MegaDataCenter_22,224410714.0,2023-08-12T23:34:01,2024-07-20T23:34:01,
proj_23,PROJECT-1023,MegaDataCenter_23,424316961.76,2024-01-27T18:46:26,2025-09-12T18:46:26,
proj_24,PROJECT-1024,MegaDataCenter_24,225742055.8,2023-04-07T18:13:57,2024-10-06T18:13:57,
proj_25,PROJECT-1025,MegaDataCenter_25,134438713.07,2023-06-02T13:13:25,2024-05-15T13:13:25,
proj_26,PROJECT-1026,MegaDataCenter_26,123380640.21,2023-10-17T07:37:07,2025-10-15T07:37:07,
proj_27,PROJECT-1027,MegaDataCenter_27,28741924.29,2023-10-22T00:55:18,2025-06-12T00:55:18,
proj_28,PROJECT-1028,MegaDataCenter_28,239624896.64,2023-07-27T07:27:27,2024-08-27T07:27:27,
proj_29,PROJECT-1029,MegaDataCenter_29,197839446.4,2023-08-23T20:02:50,2024-09-17T20:02:50,
proj_30,PROJECT-1030,MegaDataCenter_30,215749694.24,2023-04-24T23:42:19,2024-12-14T23:42:19,
proj_31,PROJECT-1031,MegaDataCenter_31,425255678.22,2023-12-12T17:33:40,2026-02-02T17:33:40,
proj_32,PROJECT-1032,MegaDataCenter_32,285536073.5,2023-11-19T05:30:06,2026-01-06T05:30:06,
proj_33,PROJECT-1033,MegaDataCenter_33,174647572.44,2023-04-28T06:33:11,2024-05-02T06:33:11,
proj_34,PROJECT-1034,MegaDataCenter_34,322139236.62,2023-05-20T06:05:34,2024-11-03T06:05:34,
proj_35,PROJECT-1035,MegaDataCenter_35,182804586.81,2023-03-06T14:25:07,2024-07-08T14:25:07,
proj_36,PROJECT-1036,MegaDataCenter_36,288563204.32,2023-02-21T17:47:25,2025-03-07T17:47:25,
proj_37,PROJECT-1037,MegaDataCenter_37,120745673.75,2023-05-29T08:51:02,2024-10-28T08:51:02,
proj_38,PROJECT-1038,MegaDataCenter_38,86501478.19,2023-08-15T15:27:55,2024-07-01T15:27:55,
proj_39,PROJECT-1039,MegaDataCenter_39,259125673.74,2023-03-27T10:23:33,2025-01-15T10:23:33,
proj_40,PROJECT-1040,MegaDataCenter_40,89786442.14,2023-08-16T13:09:19,2025-04-09T13:09:19,
proj_41,PROJECT-1041,MegaDataCenter_41,204149276.93,2023-09-22T20:14:46,2024-08-02T20:14:46,
