id,equipmentID,equipmentName,equipmentType,dailyRentalCost,capacityOrSpecs,supplierID
equip_0,EQ-1000,AirCompressor_0,AirCompressor,350.36,AirCompressor spec details,sup_13
equip_1,EQ-1001,ConcretePump_1,ConcretePump,1307.68,ConcretePump spec details,
equip_2,EQ-1002,DronesSurvey_2,DronesSurvey,564.41,DronesSurvey spec details,
equip_3,EQ-1003,PowerSaw_3,PowerSaw,1034.58,PowerSaw spec details,sup_49
equip_4,EQ-1004,Trenchers_4,Trenchers,815.02,Trenchers spec details,sup_23
equip_5,EQ-1005,ConcretePump_5,ConcretePump,863.41,ConcretePump spec details,
equip_6,EQ-1006,Excavator_6,Excavator,1838.7,Excavator spec details,
equip_7,EQ-1007,Trenchers_7,Trenchers,769.24,Trenchers spec details,
equip_8,EQ-1008,BoomLift_8,BoomLift,1957.43,BoomLift spec details,sup_54
equip_9,EQ-1009,LaserLevel_9,LaserLevel,104.95,LaserLevel spec details,
equip_10,EQ-1010,DumpTruck_10,DumpTruck,243.37,DumpTruck spec details,
equip_11,EQ-1011,PortableLifts_11,PortableLifts,566.71,PortableLifts spec details,
equip_12,EQ-1012,TowerCrane_12,TowerCrane,1989.96,TowerCrane spec details,
equip_13,EQ-1013,AirCompressor_13,AirCompressor,1758.74,AirCompressor spec details,sup_53
equip_14,EQ-1014,PileDriver_14,PileDriver,1604.75,PileDriver spec details,
equip_15,EQ-1015,DumpTruck_15,DumpTruck,1975.15,DumpTruck spec details,sup_65
equip_16,EQ-1016,TowerCrane_16,TowerCrane,279.42,TowerCrane spec details,sup_68
equip_17,EQ-1017,WeldingMachine_17,WeldingMachine,1183.87,WeldingMachine spec details,
equip_18,EQ-1018,ConcretePump_18,ConcretePump,333.2,ConcretePump spec details,sup_36
equip_19,EQ-1019,WeldingMachine_19,WeldingMachine,727.49,WeldingMachine spec details,
equip_20,EQ-1020,ConcretePump_20,ConcretePump,895.0,ConcretePump spec details,
equip_21,EQ-1021,ConcreteMixer_21,ConcreteMixer,1402.97,ConcreteMixer spec details,sup_61
equip_22,EQ-1022,PowerSaw_22,PowerSaw,1355.06,PowerSaw spec details,sup_72
equip_23,EQ-1023,AirCompressor_23,AirCompressor,1427.89,AirCompressor spec details,sup_65
equip_24,EQ-1024,DumpTruck_24,DumpTruck,1990.65,DumpTruck spec details,
equip_25,EQ-1025,Trenchers_25,Trenchers,1884.65,Trenchers spec details,
equip_26,EQ-1026,AirCompressor_26,AirCompressor,1936.89,AirCompressor spec details,sup_46
equip_27,EQ-1027,DumpTruck_27,DumpTruck,831.86,DumpTruck spec details,sup_39
equip_28,EQ-1028,PowerSaw_28,PowerSaw,998.17,PowerSaw spec details,
equip_29,EQ-1029,HydraulicPress_29,HydraulicPress,677.95,HydraulicPress spec details,
equip_30,EQ-1030,PortableLifts_30,PortableLifts,433.95,PortableLifts spec details,
equip_31,EQ-1031,RoadRoller_31,RoadRoller,1592.32,RoadRoller spec details,sup_64
equip_32,EQ-1032,TowerCrane_32,TowerCrane,1712.18,TowerCrane spec details,sup_55
equip_33,EQ-1033,PortableLifts_33,PortableLifts,178.42,PortableLifts spec details,sup_5
equip_34,EQ-1034,Excavator_34,Excavator,1331.41,Excavator spec details,sup_40
equip_35,EQ-1035,Bulldozer_35,Bulldozer,833.3,Bulldozer spec details,sup_19
equip_36,EQ-1036,Forklift_36,Forklift,706.58,Forklift spec details,
equip_37,EQ-1037,HydraulicPress_37,HydraulicPress,1370.15,HydraulicPress spec details,
equip_38,EQ-1038,TowerCrane_38,TowerCrane,320.71,TowerCrane spec details,
equip_39,EQ-1039,BoomLift_39,BoomLift,1759.88,BoomLift spec details,sup_7
equip_40,EQ-1040,ScissorLift_40,ScissorLift,541.84,ScissorLift spec details,
equip_41,EQ-1041,DirectionalDrill_41,DirectionalDrill,653.93,DirectionalDrill spec details,sup_70
equip_42,EQ-1042,HydraulicPress_42,HydraulicPress,1921.69,HydraulicPress spec details,
equip_43,EQ-1043,Excavator_43,Excavator,238.85,Excavator spec details,
equip_44,EQ-1044,Graders_44,Graders,590.94,Graders spec details,
equip_45,EQ-1045,DirectionalDrill_45,DirectionalDrill,1972.06,DirectionalDrill spec details,sup_51
equip_46,EQ-1046,Drills_46,Drills,1873.77,Drills spec details,
equip_47,EQ-1047,WeldingMachine_47,WeldingMachine,231.12,WeldingMachine spec details,
equip_48,EQ-1048,GroundPenetradar_48,GroundPenetradar,1949.47,GroundPenetradar spec details,sup_68
equip_49,EQ-1049,BoomLift_49,BoomLift,871.26,BoomLift spec details,sup_34
equip_50,EQ-1050,JackHammer_50,JackHammer,586.56,JackHammer spec details,
equip_51,EQ-1051,Drills_51,Drills,1506.11,Drills spec details,
equip_52,EQ-1052,Crane_52,Crane,613.57,Crane spec details,sup_40
equip_53,EQ-1053,CrawlerLoader_53,CrawlerLoader,1811.95,CrawlerLoader spec details,
equip_54,EQ-1054,ConcreteMixer_54,ConcreteMixer,1474.06,ConcreteMixer spec details,sup_62
equip_55,EQ-1055,Crane_55,Crane,1862.73,Crane spec details,
equip_56,EQ-1056,PileDriver_56,PileDriver,1632.82,PileDriver spec details,sup_29
equip_57,EQ-1057,AirCompressor_57,AirCompressor,239.0,AirCompressor spec details,
equip_58,EQ-1058,CrawlerLoader_58,CrawlerLoader,1323.64,CrawlerLoader spec details,
equip_59,EQ-1059,Drills_59,Drills,1079.04,Drills spec details,
equip_60,EQ-1060,ConcreteMixer_60,ConcreteMixer,239.25,ConcreteMixer spec details,sup_44
equip_61,EQ-1061,Excavator_61,Excavator,786.87,Excavator spec details,sup_76
equip_62,EQ-1062,PortableLifts_62,PortableLifts,1058.94,PortableLifts spec details,
equip_63,EQ-1063,ConcreteMixer_63,ConcreteMixer,688.92,ConcreteMixer spec details,
equip_64,EQ-1064,JackHammer_64,JackHammer,1089.25,JackHammer spec details,sup_45
equip_65,EQ-1065,ScissorLift_65,ScissorLift,398.8,ScissorLift spec details,
equip_66,EQ-1066,ScissorLift_66,ScissorLift,1790.77,ScissorLift spec details,
equip_67,EQ-1067,Excavator_67,Excavator,1233.57,Excavator spec details,sup_46
equip_68,EQ-1068,Graders_68,Graders,301.9,Graders spec details,
equip_69,EQ-1069,CrawlerLoader_69,CrawlerLoader,1353.88,CrawlerLoader spec details,sup_28
equip_70,EQ-1070,JackHammer_70,JackHammer,517.9,JackHammer spec details,
equip_71,EQ-1071,JackHammer_71,JackHammer,1029.95,JackHammer spec details,sup_27
equip_72,EQ-1072,PileDriver_72,PileDriver,1276.31,PileDriver spec details,
equip_73,EQ-1073,MobileScaffolding_73,MobileScaffolding,1875.57,MobileScaffolding spec details,sup_12
equip_74,EQ-1074,Bulldozer_74,Bulldozer,332.09,Bulldozer spec details,
equip_75,EQ-1075,PowerSaw_75,PowerSaw,263.13,PowerSaw spec details,
equip_76,EQ-1076,WeldingMachine_76,WeldingMachine,188.7,WeldingMachine spec details,
equip_77,EQ-1077,DumpTruck_77,DumpTruck,737.55,DumpTruck spec details,
equip_78,EQ-1078,HydraulicPress_78,HydraulicPress,532.5,HydraulicPress spec details,sup_34
equip_79,EQ-1079,DumpTruck_79,DumpTruck,1993.42,DumpTruck spec details,sup_73
equip_80,EQ-1080,Graders_80,Graders,685.84,Graders spec details,
equip_81,EQ-1081,DronesSurvey_81,DronesSurvey,1893.79,DronesSurvey spec details,
equip_82,EQ-1082,PileDriver_82,PileDriver,1438.82,PileDriver spec details,
equip_83,EQ-1083,Forklift_83,Forklift,835.44,Forklift spec details,
