id,workStreamID,name,description,startDate,endDate,budgetAllocated,projectID
ws_0,WS-5000,Workstream_0_Song,Degree compare much tough pick effect political.,2024-08-20T06:25:17,2024-10-26T06:25:17,639931.73,proj_0
ws_1,WS-5001,Workstream_1_Late,Guess fight present street take serve cell another.,2024-01-28T06:25:17,2024-04-30T06:25:17,785387.77,proj_0
ws_2,WS-5002,Workstream_2_Poor,Should stock society whose part those store pay line child.,2024-06-21T06:25:17,2024-12-13T06:25:17,576649.99,proj_0
ws_3,WS-5003,Workstream_3_How,Successful return general real ago easy wish television.,2024-04-24T06:25:17,2024-11-02T06:25:17,3775655.49,proj_0
ws_4,WS-5004,Workstream_4_Democratic,Cup likely mother movie letter shake institution four air never.,2024-08-23T06:25:17,2025-01-24T06:25:17,2568329.97,proj_0
ws_5,WS-5005,Workstream_5_Believe,Specific best season money as address unit.,2024-04-05T06:25:17,2024-09-15T06:25:17,1536196.04,proj_0
ws_6,WS-5006,Workstream_6_Reflect,Edge form turn partner strong have simple.,2024-09-21T06:25:17,2025-04-06T06:25:17,3482310.21,proj_0
ws_7,WS-5007,Workstream_7_Play,Book few something who by upon suggest eye walk start.,2024-08-07T06:25:17,2025-02-18T06:25:17,4484015.73,proj_0
ws_8,WS-5008,Workstream_8_Most,Nice risk give pass cut east college feel item.,2023-11-22T06:25:17,2024-04-25T06:25:17,4927867.88,proj_0
ws_9,WS-5009,Workstream_9_Strong,Draw the morning religious certain while explain laugh.,2024-07-13T06:25:17,2024-12-26T06:25:17,930734.08,proj_0
ws_10,WS-5010,Workstream_10_Foot,End husband animal home cell way pretty structure movement.,2024-06-24T06:25:17,2024-09-17T06:25:17,3291274.53,proj_0
ws_11,WS-5011,Workstream_11_Certainly,Phone ability response among way about something.,2024-05-25T06:25:17,2024-11-15T06:25:17,2049333.02,proj_0
ws_12,WS-5012,Workstream_12_Exactly,Room customer method property board law grow class just listen.,2024-01-30T06:25:17,2024-08-13T06:25:17,2346795.18,proj_0
ws_13,WS-5013,Workstream_13_Condition,Field call voice live.,2023-12-22T06:25:17,2024-03-28T06:25:17,1102040.37,proj_0
ws_14,WS-5014,Workstream_14_Answer,Truth week clear suddenly ability decide participant point million model.,2024-02-06T06:25:17,2024-05-22T06:25:17,1195098.01,proj_0
ws_15,WS-5015,Workstream_15_Difference,Individual human fly religious improve.,2024-06-21T06:25:17,2024-10-31T06:25:17,3937608.45,proj_0
ws_16,WS-5016,Workstream_16_Entire,Land detail center base business she letter inside own left.,2024-03-02T06:25:17,2024-09-03T06:25:17,4712795.34,proj_0
ws_17,WS-5017,Workstream_17_Party,Big successful believe water play always performance.,2024-06-23T06:25:17,2024-11-12T06:25:17,958592.39,proj_0
ws_18,WS-5018,Workstream_18_Player,Debate finally can perhaps although way third feeling no out.,2024-07-23T06:25:17,2025-01-27T06:25:17,1707063.1,proj_0
ws_19,WS-5019,Workstream_19_Certainly,Player course feeling west effort answer.,2024-05-30T06:25:17,2024-11-04T06:25:17,4658742.22,proj_0
ws_20,WS-5020,Workstream_20_Level,Especially one return growth benefit beautiful.,2024-03-07T06:25:17,2024-07-26T06:25:17,2429239.38,proj_0
ws_21,WS-5021,Workstream_21_City,Yet free live indeed senior raise deep blood study business.,2024-02-26T06:25:17,2024-04-30T06:25:17,581654.44,proj_0
ws_22,WS-5022,Workstream_22_Modern,Individual consider now thus.,2024-02-12T06:25:17,2024-05-09T06:25:17,795722.68,proj_0
ws_23,WS-5023,Workstream_23_Year,Low develop it movement.,2024-04-29T06:25:17,2024-09-02T06:25:17,4415629.92,proj_0
ws_24,WS-5024,Workstream_24_Find,Especially attorney system compare item fight available art.,2024-07-22T06:25:17,2024-10-18T06:25:17,4879601.14,proj_0
ws_25,WS-5025,Workstream_25_Newspaper,Data accept available phone toward foreign herself fear call.,2024-08-02T06:25:17,2025-01-05T06:25:17,4777516.14,proj_0
ws_26,WS-5026,Workstream_26_Yet,Society authority dark total issue direction common.,2024-05-04T06:25:17,2024-07-28T06:25:17,4956488.11,proj_0
ws_27,WS-5027,Workstream_27_Concern,Fear car figure reflect Democrat land beat remain investment.,2024-01-28T06:25:17,2024-07-02T06:25:17,4128449.48,proj_0
ws_28,WS-5028,Workstream_28_Program,Fish claim want middle science wrong rule already plant.,2023-12-10T06:25:17,2024-02-09T06:25:17,3356705.9,proj_0
ws_29,WS-5029,Workstream_29_Full,Guy help receive wall common serve plan effort represent name.,2024-04-13T06:25:17,2024-08-07T06:25:17,640957.61,proj_0
ws_30,WS-5030,Workstream_30_Stock,Line image make lawyer nice soon pass quite us interview.,2023-12-24T06:25:17,2024-03-28T06:25:17,3905886.07,proj_0
ws_31,WS-5031,Workstream_31_Social,Too far back do near.,2024-09-20T06:25:17,2024-12-27T06:25:17,1950831.34,proj_0
ws_32,WS-5032,Workstream_32_Enough,College throughout bar old offer.,2024-06-25T06:25:17,2024-10-17T06:25:17,4774681.59,proj_0
ws_33,WS-5033,Workstream_33_Door,Scientist news population follow southern.,2024-06-27T06:25:17,2024-11-26T06:25:17,1258371.07,proj_0
ws_34,WS-5034,Workstream_34_Film,Television because somebody than condition team near chair.,2023-12-24T06:25:17,2024-03-16T06:25:17,1755639.15,proj_0
ws_35,WS-5035,Workstream_35_College,Picture street same animal bill whatever.,2024-09-10T06:25:17,2025-03-10T06:25:17,4833974.06,proj_0
ws_36,WS-5036,Workstream_36_Gas,Allow against example program close change type.,2024-02-12T06:25:17,2024-08-25T06:25:17,4952964.98,proj_0
ws_37,WS-5037,Workstream_37_What,Stage another rule trade lawyer rather sport.,2024-07-05T06:25:17,2024-11-14T06:25:17,1668756.79,proj_0
ws_38,WS-5038,Workstream_38_Increase,Card letter author get.,2024-07-19T06:25:17,2024-12-31T06:25:17,4545025.09,proj_0
ws_39,WS-5039,Workstream_39_Guy,Consumer can will on onto him.,2024-03-10T06:25:17,2024-05-09T06:25:17,2465454.77,proj_0
ws_40,WS-5040,Workstream_40_Protect,Per from manager knowledge other mother pretty.,2024-05-20T06:25:17,2024-10-23T06:25:17,3656781.07,proj_0
ws_41,WS-5041,Workstream_41_Help,College apply yeah seven our.,2024-01-30T06:25:17,2024-07-04T06:25:17,3886333.54,proj_0
ws_42,WS-5042,Workstream_42_Current,Run edge film house morning present guy result send above.,2024-03-02T06:25:17,2024-09-03T06:25:17,4002618.23,proj_0
ws_43,WS-5043,Workstream_43_Our,List artist front foot training meeting test art go style weight.,2024-03-21T06:25:17,2024-06-18T06:25:17,2062449.16,proj_0
ws_44,WS-5044,Workstream_44_Between,Full range training debate issue where situation group soldier act.,2024-07-13T06:25:17,2024-11-16T06:25:17,2431621.37,proj_0
ws_45,WS-5045,Workstream_45_Industry,Stay hundred attorney house hope.,2024-02-01T06:25:17,2024-06-25T06:25:17,1512126.5,proj_0
ws_46,WS-5046,Workstream_46_Have,Produce view score protect suffer minute opportunity section within.,2024-02-18T06:25:17,2024-07-27T06:25:17,1730164.7,proj_0
ws_47,WS-5047,Workstream_47_Executive,Responsibility go where among prepare modern fill exactly prove however.,2024-01-17T06:25:17,2024-05-01T06:25:17,1109779.47,proj_0
ws_48,WS-5048,Workstream_48_Water,Into wind hope answer return campaign after data.,2024-05-17T06:25:17,2024-07-16T06:25:17,695582.18,proj_0
ws_49,WS-5049,Workstream_49_Including,Some what spring boy while decide woman product week edge.,2024-09-29T06:25:17,2025-01-26T06:25:17,3049705.81,proj_0
ws_50,WS-5050,Workstream_50_Bar,Necessary finally kid everything how less.,2024-06-20T06:25:17,2024-08-22T06:25:17,3752589.01,proj_0
ws_51,WS-5051,Workstream_51_Herself,Nothing partner arm market response easy while clearly alone.,2024-01-13T06:25:17,2024-06-25T06:25:17,514061.93,proj_0
ws_52,WS-5052,Workstream_52_Order,People choice account police member home.,2024-08-04T06:25:17,2024-12-13T06:25:17,752657.22,proj_0
ws_53,WS-5053,Workstream_53_Loss,Serve responsibility notice instead lawyer ahead.,2024-06-03T06:25:17,2024-12-16T06:25:17,1950625.33,proj_0
ws_54,WS-5054,Workstream_54_Modern,List responsibility leave personal whose radio perhaps.,2024-03-25T06:25:17,2024-08-10T06:25:17,4771962.91,proj_0
ws_55,WS-5055,Workstream_55_Top,Old play adult have high general tree way.,2024-01-23T06:25:17,2024-04-04T06:25:17,2471056.53,proj_0
ws_56,WS-5056,Workstream_56_Professor,City treatment against among kitchen.,2024-02-03T06:25:17,2024-05-21T06:25:17,1415431.66,proj_0
ws_57,WS-5057,Workstream_57_Exactly,Performance citizen successful edge red teacher.,2024-04-14T06:25:17,2024-06-29T06:25:17,2141948.28,proj_0
ws_58,WS-5058,Workstream_58_Behavior,Five begin agent front environmental us if moment everyone.,2024-01-05T06:25:17,2024-03-27T06:25:17,2946098.11,proj_0
ws_59,WS-5059,Workstream_59_Light,Spring stay entire throughout information show issue student tree.,2024-02-13T06:25:17,2024-05-24T06:25:17,2738207.72,proj_0
ws_60,WS-5060,Workstream_60_Choice,Close indicate bed number bank measure.,2024-05-22T06:25:17,2024-08-31T06:25:17,4050882.32,proj_0
ws_61,WS-5061,Workstream_61_Tax,Choose consumer dark soldier send would.,2023-12-08T06:25:17,2024-03-24T06:25:17,1097885.77,proj_0
ws_62,WS-5062,Workstream_62_West,Produce deal much check task miss strong peace.,2024-04-13T06:25:17,2024-10-05T06:25:17,3132490.24,proj_0
ws_63,WS-5063,Workstream_63_Order,Writer happy catch lead line measure ten.,2024-04-05T06:25:17,2024-08-19T06:25:17,4023951.91,proj_0
ws_64,WS-5064,Workstream_64_Training,Perhaps image might weight base important wall.,2024-09-27T06:25:17,2024-12-26T06:25:17,2237302.0,proj_0
ws_65,WS-5065,Workstream_65_Go,Modern chance yes sit edge white.,2024-05-27T06:25:17,2024-10-22T06:25:17,748179.01,proj_0
ws_66,WS-5066,Workstream_66_Natural,Woman stage phone member wife begin.,2024-07-08T06:25:17,2025-01-17T06:25:17,529105.84,proj_0
ws_67,WS-5067,Workstream_67_Federal,Support kid office your sound would list decade young on.,2024-09-29T06:25:17,2025-03-13T06:25:17,1294285.24,proj_0
ws_68,WS-5068,Workstream_68_Government,Whom carry soon technology order.,2024-08-07T06:25:17,2025-02-19T06:25:17,3636587.74,proj_0
ws_69,WS-5069,Workstream_69_Score,Interview line media rock teacher.,2024-08-13T06:25:17,2025-02-16T06:25:17,3186192.67,proj_0
ws_70,WS-5070,Workstream_70_Political,Enjoy general well fire painting significant.,2024-03-23T06:25:17,2024-09-17T06:25:17,602746.25,proj_0
ws_71,WS-5071,Workstream_71_Girl,Sometimes west history certainly forget I later effect.,2024-01-04T06:25:17,2024-04-24T06:25:17,4236233.76,proj_0
ws_72,WS-5072,Workstream_72_Include,Run stage those summer yourself.,2024-01-14T06:25:17,2024-05-25T06:25:17,827219.67,proj_0
ws_73,WS-5073,Workstream_73_Model,Film white source always war letter and them enjoy then.,2024-08-13T06:25:17,2025-01-26T06:25:17,3431374.54,proj_0
ws_74,WS-5074,Workstream_74_Onto,Get tree meet himself moment happy bag whether.,2024-09-13T06:25:17,2024-12-20T06:25:17,4888572.36,proj_0
ws_75,WS-5075,Workstream_75_Stand,Gun great black kind manage.,2024-08-16T06:25:17,2025-01-09T06:25:17,2233569.69,proj_0
ws_76,WS-5076,Workstream_76_Join,Prove item gas speak.,2024-08-15T06:25:17,2024-11-24T06:25:17,3993523.22,proj_0
ws_77,WS-5077,Workstream_77_Republican,Understand daughter middle yard study.,2024-02-16T06:25:17,2024-09-01T06:25:17,3296762.24,proj_0
ws_78,WS-5078,Workstream_78_Skill,Cultural memory now man argue right study.,2024-05-04T06:25:17,2024-07-29T06:25:17,2163007.2,proj_0
ws_79,WS-5079,Workstream_79_Employee,Ground involve cell agent participant they recent doctor nearly oil.,2024-09-26T06:25:17,2025-02-10T06:25:17,1162711.52,proj_0
ws_80,WS-5080,Workstream_80_Itself,Official eye environmental into carry executive first difficult.,2024-02-06T06:25:17,2024-06-07T06:25:17,2727951.71,proj_0
ws_81,WS-5081,Workstream_81_Account,Rather important drive painting decide.,2024-08-31T06:25:17,2025-03-09T06:25:17,1604110.49,proj_0
ws_82,WS-5082,Workstream_82_Be,Wife several suggest task product style.,2024-09-30T06:25:17,2025-02-08T06:25:17,4883677.88,proj_0
ws_83,WS-5083,Workstream_83_How,Behavior dinner skill order involve president matter drop practice executive.,2024-06-29T06:25:17,2024-10-23T06:25:17,3158597.64,proj_0
ws_84,WS-5084,Workstream_84_Side,System leg tonight interesting environmental dark indeed.,2024-03-25T06:25:17,2024-05-25T06:25:17,4875143.42,proj_0
ws_85,WS-5085,Workstream_85_Believe,Authority federal here statement.,2024-01-01T06:25:17,2024-05-19T06:25:17,3156547.85,proj_0
ws_86,WS-5086,Workstream_86_Report,City certainly drop laugh leg leave field responsibility.,2024-10-02T06:25:17,2024-12-03T06:25:17,4925687.34,proj_0
ws_87,WS-5087,Workstream_87_Maintain,Education thank key wear parent training less.,2024-06-29T06:25:17,2024-11-06T06:25:17,4699448.84,proj_0
ws_88,WS-5088,Workstream_88_Task,Among assume nor discover.,2024-06-20T06:25:17,2024-10-17T06:25:17,921076.59,proj_0
ws_89,WS-5089,Workstream_89_Meet,Control break investment likely vote poor media.,2024-07-09T06:25:17,2024-12-05T06:25:17,1729164.19,proj_0
ws_90,WS-5090,Workstream_90_List,Yet mission work history impact yet pick save.,2024-06-15T06:25:17,2024-10-01T06:25:17,3766093.2,proj_0
ws_91,WS-5091,Workstream_91_Clearly,Relate listen tend common parent senior manage right rate continue.,2024-07-04T06:25:17,2024-12-08T06:25:17,2041673.45,proj_0
ws_92,WS-5092,Workstream_92_Hospital,Phone scientist question agent weight bring.,2024-06-09T06:25:17,2024-11-22T06:25:17,2765118.28,proj_0
ws_93,WS-5093,Workstream_93_Travel,Field popular stop member cultural.,2024-08-15T06:25:17,2025-01-08T06:25:17,1962208.6,proj_0
ws_94,WS-5094,Workstream_94_Prevent,Author physical place create current some.,2024-04-18T06:25:17,2024-07-14T06:25:17,4435305.45,proj_0
ws_95,WS-5095,Workstream_95_Summer,Day particular room tough.,2024-04-21T06:25:17,2024-11-01T06:25:17,1117105.92,proj_0
ws_96,WS-5096,Workstream_96_Particularly,Education tell leg apply board part dark mind charge card.,2024-02-22T06:25:17,2024-06-30T06:25:17,2653913.77,proj_0
ws_97,WS-5097,Workstream_97_Student,Your behind goal than.,2023-08-30T02:55:09,2023-12-18T02:55:09,4972850.9,proj_1
ws_98,WS-5098,Workstream_98_A,Stand reality or throughout ground investment.,2023-09-28T02:55:09,2024-02-09T02:55:09,2939604.87,proj_1
ws_99,WS-5099,Workstream_99_Goal,Add good decide central star fire place real factor.,2024-05-24T02:55:09,2024-07-24T02:55:09,4389702.34,proj_1
ws_100,WS-5100,Workstream_100_Rather,Property expect grow ever two hospital hot material ahead live.,2023-09-19T02:55:09,2024-03-21T02:55:09,2275687.4,proj_1
ws_101,WS-5101,Workstream_101_Modern,Medical sea price data provide example law.,2023-10-14T02:55:09,2023-12-22T02:55:09,3323262.48,proj_1
ws_102,WS-5102,Workstream_102_Personal,Note moment let draw if trial.,2024-01-08T02:55:09,2024-07-10T02:55:09,1541251.4,proj_1
ws_103,WS-5103,Workstream_103_Some,Else thing start answer quality black.,2023-12-20T02:55:09,2024-07-04T02:55:09,3257541.79,proj_1
ws_104,WS-5104,Workstream_104_Its,Product garden election us next type.,2024-01-26T02:55:09,2024-06-26T02:55:09,1345293.16,proj_1
