id,materialID,materialName,materialType,unitCost,quantityOnHand,supplierID
mat_0,MAT-1000,Concrete_0,Concrete,220.19,97953,sup_37
mat_1,MAT-1001,SteelBeam_1,SteelBeam,265.51,46444,sup_15
mat_2,MAT-1002,Rebar_2,Rebar,330.08,77694,sup_14
mat_3,MAT-1003,ElectricCable_3,ElectricCable,333.43,61213,sup_31
mat_4,MAT-1004,Ducting_4,Ducting,252.22,70597,sup_8
mat_5,MAT-1005,FiberOptics_5,FiberOptics,436.05,1764,sup_8
mat_6,MAT-1006,NetworkingRack_6,NetworkingRack,336.28,70557,sup_15
mat_7,MAT-1007,HVACDuct_7,HVACDuct,473.86,89774,sup_13
mat_8,MAT-1008,InsulationPanels_8,InsulationPanels,51.53,79644,sup_18
mat_9,MAT-1009,GlassPanels_9,GlassPanels,183.85,77770,sup_12
mat_10,MAT-1010,Bricks_10,Bricks,282.36,7390,sup_6
mat_11,MAT-1011,Asphalt_11,Asphalt,211.96,48164,sup_28
mat_12,MAT-1012,Sand_12,Sand,275.71,98876,sup_5
mat_13,MAT-1013,Gravel_13,Gravel,20.55,48181,sup_7
mat_14,MAT-1014,Lumber_14,Lumber,245.67,3638,sup_29
mat_15,MAT-1015,RoofingSheets_15,RoofingSheets,210.46,88304,sup_16
mat_16,MAT-1016,PlasticPipes_16,PlasticPipes,142.94,58470,sup_24
mat_17,MAT-1017,CopperTubing_17,CopperTubing,442.79,26957,sup_5
mat_18,MAT-1018,WiringHarness_18,WiringHarness,95.44,51512,sup_15
mat_19,MAT-1019,ServerChassis_19,ServerChassis,158.53,17318,sup_32
mat_20,MAT-1020,CoolingPipes_20,CoolingPipes,48.77,74733,sup_9
mat_21,MAT-1021,RaisedFloorPanels_21,RaisedFloorPanels,189.79,3870,sup_1
mat_22,MAT-1022,FireProofing_22,FireProofing,446.16,63049,sup_22
mat_23,MAT-1023,EpoxyCoat_23,EpoxyCoat,206.01,48281,sup_5
mat_24,MAT-1024,SecuritySensors_24,SecuritySensors,369.25,84898,sup_23
mat_25,MAT-1025,DoorFrames_25,DoorFrames,56.6,69271,sup_29
mat_26,MAT-1026,MetalDoors_26,MetalDoors,453.98,53498,sup_7
mat_27,MAT-1027,AccessPanels_27,AccessPanels,453.19,68004,sup_33
mat_28,MAT-1028,FiberPatchCords_28,FiberPatchCords,20.1,20753,sup_36
mat_29,MAT-1029,DataCabinets_29,DataCabinets,75.68,66323,sup_24
