id,title,releaseYear,duration,rating,directorID,actorCharacterPairs,genres
movie_0,Movie 0 - Progressive bifurcated strategy,1982,112,7.6,director_4,"[{'actorID': 'actor_4', 'characterID': 'char_174'}, {'actorID': 'actor_36', 'characterID': 'char_57'}, {'actorID': 'actor_70', 'characterID': 'char_490'}]","['Horror', 'Action', 'Documentary']"
movie_1,Movie 1 - Inverse mission-critical middleware,1994,177,8.3,director_14,"[{'actorID': 'actor_37', 'characterID': 'char_566'}, {'actorID': 'actor_33', 'characterID': 'char_85'}, {'actorID': 'actor_34', 'characterID': 'char_217'}, {'actorID': 'actor_0', 'characterID': 'char_466'}, {'actorID': 'actor_65', 'characterID': 'char_79'}, {'actorID': 'actor_57', 'characterID': 'char_391'}]","['Comedy', 'Horror']"
movie_2,Movie 2 - Business-focused secondary portal,2004,129,9.8,director_22,"[{'actorID': 'actor_11', 'characterID': 'char_339'}, {'actorID': 'actor_39', 'characterID': 'char_127'}, {'actorID': 'actor_0', 'characterID': 'char_438'}, {'actorID': 'actor_34', 'characterID': 'char_187'}, {'actorID': 'actor_1', 'characterID': 'char_207'}]","['Documentary', 'Romance']"
movie_3,Movie 3 - Streamlined asymmetric productivity,2017,171,5.1,director_29,"[{'actorID': 'actor_25', 'characterID': 'char_533'}, {'actorID': 'actor_33', 'characterID': 'char_543'}]",['Comedy']
movie_4,Movie 4 - Virtual exuding product,2023,172,7.1,director_12,"[{'actorID': 'actor_62', 'characterID': 'char_216'}, {'actorID': 'actor_38', 'characterID': 'char_698'}, {'actorID': 'actor_41', 'characterID': 'char_624'}, {'actorID': 'actor_36', 'characterID': 'char_357'}]","['Drama', 'Romance', 'Sci-Fi']"
movie_5,Movie 5 - Assimilated asynchronous system engine,1999,152,6.2,director_34,"[{'actorID': 'actor_57', 'characterID': 'char_359'}, {'actorID': 'actor_44', 'characterID': 'char_259'}, {'actorID': 'actor_67', 'characterID': 'char_477'}, {'actorID': 'actor_52', 'characterID': 'char_467'}, {'actorID': 'actor_11', 'characterID': 'char_307'}, {'actorID': 'actor_66', 'characterID': 'char_243'}]","['Comedy', 'Action']"
movie_6,Movie 6 - Open-source regional firmware,2015,97,8.8,director_26,"[{'actorID': 'actor_53', 'characterID': 'char_581'}, {'actorID': 'actor_38', 'characterID': 'char_302'}, {'actorID': 'actor_48', 'characterID': 'char_708'}, {'actorID': 'actor_55', 'characterID': 'char_483'}]",['Horror']
movie_7,Movie 7 - Realigned scalable extranet,2008,113,9.9,director_16,"[{'actorID': 'actor_73', 'characterID': 'char_422'}, {'actorID': 'actor_18', 'characterID': 'char_604'}]",['Thriller']
movie_8,Movie 8 - Total asymmetric capacity,1985,179,4.4,director_12,"[{'actorID': 'actor_17', 'characterID': 'char_744'}, {'actorID': 'actor_38', 'characterID': 'char_406'}, {'actorID': 'actor_43', 'characterID': 'char_461'}, {'actorID': 'actor_63', 'characterID': 'char_216'}, {'actorID': 'actor_25', 'characterID': 'char_167'}, {'actorID': 'actor_7', 'characterID': 'char_182'}, {'actorID': 'actor_53', 'characterID': 'char_4'}]","['Thriller', 'Documentary']"
movie_9,Movie 9 - Function-based value-added forecast,2006,150,9.8,director_4,"[{'actorID': 'actor_9', 'characterID': 'char_510'}, {'actorID': 'actor_64', 'characterID': 'char_576'}, {'actorID': 'actor_41', 'characterID': 'char_70'}, {'actorID': 'actor_57', 'characterID': 'char_551'}, {'actorID': 'actor_23', 'characterID': 'char_240'}, {'actorID': 'actor_53', 'characterID': 'char_501'}]","['Drama', 'Comedy', 'Horror']"
movie_10,Movie 10 - Synergized multi-state portal,1995,111,8.6,director_7,"[{'actorID': 'actor_4', 'characterID': 'char_284'}, {'actorID': 'actor_21', 'characterID': 'char_504'}, {'actorID': 'actor_51', 'characterID': 'char_454'}, {'actorID': 'actor_62', 'characterID': 'char_265'}, {'actorID': 'actor_0', 'characterID': 'char_517'}, {'actorID': 'actor_8', 'characterID': 'char_135'}]","['Romance', 'Documentary', 'Action']"
movie_11,Movie 11 - Profit-focused zero administration Internet solution,2002,140,5.5,director_18,"[{'actorID': 'actor_74', 'characterID': 'char_376'}, {'actorID': 'actor_20', 'characterID': 'char_693'}, {'actorID': 'actor_9', 'characterID': 'char_255'}, {'actorID': 'actor_69', 'characterID': 'char_165'}, {'actorID': 'actor_58', 'characterID': 'char_566'}]","['Documentary', 'Horror', 'Thriller']"
movie_12,Movie 12 - Digitized human-resource challenge,2007,82,7.0,director_11,"[{'actorID': 'actor_56', 'characterID': 'char_238'}, {'actorID': 'actor_32', 'characterID': 'char_723'}, {'actorID': 'actor_44', 'characterID': 'char_432'}]",['Thriller']
movie_13,Movie 13 - Intuitive responsive Graphical User Interface,1983,96,4.4,director_24,"[{'actorID': 'actor_36', 'characterID': 'char_445'}, {'actorID': 'actor_27', 'characterID': 'char_463'}, {'actorID': 'actor_39', 'characterID': 'char_720'}, {'actorID': 'actor_54', 'characterID': 'char_485'}, {'actorID': 'actor_38', 'characterID': 'char_455'}]","['Action', 'Comedy']"
movie_14,Movie 14 - Multi-tiered empowering access,2003,152,6.7,director_25,"[{'actorID': 'actor_74', 'characterID': 'char_359'}, {'actorID': 'actor_38', 'characterID': 'char_181'}, {'actorID': 'actor_57', 'characterID': 'char_0'}, {'actorID': 'actor_68', 'characterID': 'char_436'}, {'actorID': 'actor_43', 'characterID': 'char_343'}, {'actorID': 'actor_25', 'characterID': 'char_535'}]",['Romance']
movie_15,Movie 15 - Face-to-face optimizing customer loyalty,1983,134,7.4,director_20,"[{'actorID': 'actor_13', 'characterID': 'char_295'}, {'actorID': 'actor_12', 'characterID': 'char_651'}, {'actorID': 'actor_29', 'characterID': 'char_297'}, {'actorID': 'actor_45', 'characterID': 'char_250'}]",['Action']
movie_16,Movie 16 - Networked uniform open system,2002,127,6.1,director_21,"[{'actorID': 'actor_47', 'characterID': 'char_34'}, {'actorID': 'actor_60', 'characterID': 'char_709'}, {'actorID': 'actor_14', 'characterID': 'char_25'}, {'actorID': 'actor_13', 'characterID': 'char_440'}]","['Drama', 'Romance']"
movie_17,Movie 17 - De-engineered methodical projection,2016,105,5.1,director_21,"[{'actorID': 'actor_41', 'characterID': 'char_573'}, {'actorID': 'actor_61', 'characterID': 'char_137'}, {'actorID': 'actor_71', 'characterID': 'char_346'}, {'actorID': 'actor_0', 'characterID': 'char_121'}, {'actorID': 'actor_21', 'characterID': 'char_125'}]","['Documentary', 'Comedy', 'Sci-Fi']"
