id,projectName,location,startDate,endDate,totalBudget,status,clientID,companyID
project_0,Project_0_key,North Jose,2022-11-26,2024-07-17,2298196.28,Planning,client_44,company_6
project_1,Project_1_message,Gomezborough,2024-09-29,2026-02-10,1555587.99,In Progress,client_21,company_4
project_2,Project_2_serious,East Lisaborough,2023-10-29,2025-07-03,737339.98,Planning,client_29,company_6
project_3,Project_3_great,Lauraburgh,2024-02-09,2025-09-09,1100924.55,Planning,client_37,company_11
project_4,Project_4_goal,Wilsonside,2022-08-29,2024-05-03,1602706.44,On Hold,client_20,company_8
project_5,Project_5_girl,West Henry,2022-07-23,2024-06-09,1626140.76,Cancelled,client_13,company_17
project_6,Project_6_create,Jimenezview,2022-10-27,2024-08-20,2196849.37,On Hold,client_24,company_3
project_7,Project_7_certainly,Parkertown,2024-05-19,2025-10-18,2948662.28,Completed,client_48,company_18
project_8,Project_8_cost,East Theresa,2023-03-18,2024-01-06,2885412.48,Cancelled,client_22,company_11
project_9,Project_9_mission,Davismouth,2023-09-28,2025-07-11,2500699.12,Completed,client_7,company_3
project_10,Project_10_reveal,Brianborough,2022-05-15,2023-11-03,1997338.51,In Progress,client_44,company_1
project_11,Project_11_during,Bakertown,2023-01-04,2023-12-15,2449042.31,Planning,client_34,company_14
project_12,Project_12_debate,South Ryan,2022-06-05,2023-06-21,2531476.22,On Hold,client_41,company_14
project_13,Project_13_we,Cooperstad,2024-04-27,2024-11-12,1710103.83,Planning,client_38,company_14
project_14,Project_14_research,Port Lindsayberg,2022-08-19,2024-03-28,1553233.86,In Progress,client_35,company_8
project_15,Project_15_parent,Jonesmouth,2024-12-26,2025-05-10,1025912.57,In Progress,client_42,company_5
project_16,Project_16_base,East Audrey,2022-03-24,2022-10-24,766753.15,Cancelled,client_26,company_14
project_17,Project_17_leave,Codybury,2024-07-19,2025-02-22,888981.74,Cancelled,client_15,company_12
project_18,Project_18_American,East Shelly,2023-07-03,2025-04-11,374590.32,Cancelled,client_42,company_17
project_19,Project_19_hundred,Hurleychester,2022-03-28,2024-03-11,971992.71,On Hold,client_16,company_7
project_20,Project_20_reason,Lake Scott,2024-02-09,2025-10-09,1538110.07,On Hold,client_10,company_5
project_21,Project_21_research,North Alexis,2022-09-20,2023-10-08,406776.37,Completed,client_5,company_6
project_22,Project_22_federal,East Laurie,2022-11-16,2023-05-06,1134355.55,Cancelled,client_49,company_16
project_23,Project_23_miss,West Mary,2023-05-17,2023-11-01,2416851.95,Planning,client_36,company_7
project_24,Project_24_list,Port Melinda,2022-02-26,2023-10-28,2017689.7,Cancelled,client_34,company_5
project_25,Project_25_anything,Lake Angela,2022-03-10,2022-10-10,1711976.59,In Progress,client_12,company_8
project_26,Project_26_building,Williston,2024-05-04,2025-02-22,1730543.75,Cancelled,client_25,company_0
project_27,Project_27_charge,New Samantha,2022-07-22,2023-03-29,2013797.36,Completed,client_6,company_11
project_28,Project_28_per,Johnsonmouth,2023-02-19,2024-05-18,2900477.13,In Progress,client_27,company_13
project_29,Project_29_lose,West Elizabeth,2022-08-24,2023-05-11,1766218.24,In Progress,client_17,company_5
project_30,Project_30_move,Anthonytown,2022-05-15,2023-08-04,2069913.16,Planning,client_30,company_9
project_31,Project_31_gas,Brayfort,2024-07-12,2025-06-24,385416.34,Completed,client_40,company_15
project_32,Project_32_air,Andersonside,2022-11-02,2023-05-04,2874656.08,In Progress,client_40,company_15
project_33,Project_33_again,Smithhaven,2024-03-27,2024-07-14,152937.26,Completed,client_33,company_4
project_34,Project_34_class,West Paul,2022-09-06,2024-08-28,1543411.0,On Hold,client_29,company_18
project_35,Project_35_task,Holmeshaven,2023-11-29,2025-08-20,756670.27,Completed,client_44,company_12
project_36,Project_36_sort,Sandraview,2023-09-19,2025-06-14,2031891.1,Completed,client_40,company_9
project_37,Project_37_customer,Port Keith,2022-07-10,2024-01-12,301590.56,Completed,client_25,company_12
project_38,Project_38_ask,South Davidview,2024-02-13,2024-10-06,1464815.57,Cancelled,client_31,company_9
project_39,Project_39_assume,Schmidtchester,2024-08-30,2025-01-03,1395339.76,On Hold,client_37,company_1
project_40,Project_40_fight,South Adam,2023-02-04,2023-11-21,1292006.69,Completed,client_13,company_19
project_41,Project_41_out,Woodwardville,2023-03-06,2023-12-27,2616986.63,Planning,client_2,company_10
project_42,Project_42_price,Port Wesley,2023-05-17,2024-05-10,523559.2,Planning,client_0,company_12
project_43,Project_43_environmental,Bowersbury,2023-04-05,2024-02-27,1824554.85,Cancelled,client_15,company_17
project_44,Project_44_unit,Mannington,2024-10-17,2025-05-15,1623841.73,Planning,client_49,company_19
project_45,Project_45_green,Zacharybury,2025-01-27,2025-08-30,2701507.56,Cancelled,client_35,company_10
project_46,Project_46_movie,Lake Nicoleview,2024-05-06,2025-09-16,370099.99,In Progress,client_31,company_16
project_47,Project_47_structure,Lake Jeffrey,2024-05-02,2024-07-22,1531222.84,Completed,client_17,company_8
project_48,Project_48_minute,North Patrick,2022-12-25,2024-08-29,504782.6,In Progress,client_10,company_6
project_49,Project_49_deal,Rachelton,2024-11-25,2026-01-27,360151.75,Completed,client_21,company_17
project_50,Project_50_economy,Danielleburgh,2022-10-16,2023-07-31,2469434.2,Planning,client_40,company_16
project_51,Project_51_simple,Simpsonland,2022-10-03,2023-11-29,1786381.53,Cancelled,client_2,company_12
project_52,Project_52_safe,North Ambershire,2024-07-18,2025-05-20,2758809.78,Planning,client_40,company_7
project_53,Project_53_claim,New Timmouth,2024-09-19,2026-05-16,1510533.84,Completed,client_19,company_8
project_54,Project_54_organization,Zacharyfurt,2024-05-01,2024-09-07,742951.36,Completed,client_45,company_10
project_55,Project_55_above,South Brandonbury,2022-11-22,2024-09-19,299934.37,Cancelled,client_12,company_14
project_56,Project_56_unit,South Johnland,2022-05-21,2022-10-05,1010487.39,On Hold,client_18,company_18
project_57,Project_57_course,Kimmouth,2022-03-31,2023-03-18,682008.65,Cancelled,client_29,company_4
project_58,Project_58_another,East Aaronton,2022-11-07,2024-06-08,1079402.67,On Hold,client_40,company_13
project_59,Project_59_born,Sparksshire,2022-10-29,2023-10-08,426829.91,Cancelled,client_7,company_15
