id,supplierName,location,rating
supplier_0,"Morales, Sherman and Singh Supplies",North Alexandraton,2.8
supplier_1,Hunt and Sons Supplies,East Lisa,3.1
supplier_2,Collier and Sons Supplies,East Kennethton,4.0
supplier_3,"Warren, Hill and Oconnor Supplies",North Paulmouth,3.3
supplier_4,"Long, Madden and Hill Supplies",Melindaton,4.0
supplier_5,"Swanson, Stephens and Roberts Supplies",Port Amanda,4.4
supplier_6,"Harris, Mayer and Lozano Supplies",Brianabury,2.9
supplier_7,"Porter, Mullins and Mendez Supplies",Pedroton,3.1
supplier_8,Medina Group Supplies,Lisachester,1.1
supplier_9,Blankenship and Sons Supplies,Lake Sharonview,2.9
supplier_10,"White, Martinez and Taylor Supplies",Daviston,1.6
supplier_11,Allen Inc Supplies,Colleenshire,1.4
supplier_12,"Jenkins, Baker and Brown Supplies",New Thomas,5.0
supplier_13,Sanchez-Wilson Supplies,North Jonathanshire,4.7
supplier_14,Smith and Sons Supplies,Veronicaburgh,4.0
supplier_15,Byrd Group Supplies,Nicholasmouth,2.0
supplier_16,Kirby LLC Supplies,West Rebeccamouth,2.9
supplier_17,Ross LLC Supplies,Leeton,1.0
supplier_18,Hodges-Lewis Supplies,Amberhaven,3.1
supplier_19,Rowland Inc Supplies,New Robert,3.7
supplier_20,Jones LLC Supplies,Lake Rebeccaberg,2.2
supplier_21,Diaz PLC Supplies,Christopherbury,2.2
supplier_22,Robertson Inc Supplies,East Michael,4.8
supplier_23,Peters-Morris Supplies,North Ryan,1.0
supplier_24,"Evans, Scott and Nelson Supplies",East Chelsea,1.7
supplier_25,Hatfield PLC Supplies,Marcusstad,4.3
supplier_26,"Lewis, Jackson and Kemp Supplies",Scottberg,3.2
supplier_27,Hanson-Kline Supplies,Lake Jennifer,1.3
supplier_28,Smith-Levine Supplies,East Sylviafort,4.5
supplier_29,White and Sons Supplies,South Connorview,4.5
