market_id,name,sector,region_id,currency_code,five_year_growth_projection,risk_rating,data_source_references
M-f02c1210,"OIL_Hess, Luna",OIL_GAS,R-51e4f983,GBP,4.72,1.69,['Source_anything']
M-451815f4,TRA_Campbell-M,TRANSMISSION_DISTRIBUTION,R-422befe3,CAD,3.49,3.51,['Source_might']
M-7ef3b07d,TRA_Richardson,TRANSMISSION_DISTRIBUTION,R-e67de905,EUR,5.24,4.48,['Source_rich']
M-39b20e02,TRA_King-Roger,TRANSMISSION_DISTRIBUTION,R-c7f06c74,GBP,7.19,2.93,['Source_fine']
M-6d75af6a,TRA_Daniels an,TRANSMISSION_DISTRIBUTION,R-fb9a2e5a,CAD,2.4,2.22,['Source_finally']
M-d1002168,TRA_Butler-Gri,TRANSMISSION_DISTRIBUTION,R-47faec94,CAD,9.97,8.29,['Source_finish']
M-8ef2fb52,"OIL_Johnson, R",OIL_GAS,R-697c061b,GBP,6.84,7.39,['Source_night']
M-795698a4,"TRA_Foster, Th",TRANSMISSION_DISTRIBUTION,R-d0736339,GBP,8.59,7.41,['Source_card']
M-43c15be9,"OIL_Thomas, Sn",OIL_GAS,R-7301dace,EUR,8.04,5.58,['Source_hair']
M-dbef97c9,OIL_Barker-San,OIL_GAS,R-621c178e,EUR,2.75,5.45,['Source_that']
M-c0340a10,"TRA_Hoover, Ca",TRANSMISSION_DISTRIBUTION,R-63aafce7,GBP,4.94,9.85,['Source_general']
M-aeedbc42,OIL_Johnson-Ly,OIL_GAS,R-d487d1c6,USD,1.12,4.58,['Source_shake']
M-e6bed1b6,"OIL_Burnett, G",OIL_GAS,R-a52b7d66,AUD,4.4,4.68,['Source_share']
M-c821feda,TRA_Morgan Ltd,TRANSMISSION_DISTRIBUTION,R-362602d7,GBP,6.6,5.05,['Source_so']
M-cafdf6d1,TRA_Henderson-,TRANSMISSION_DISTRIBUTION,R-eeb207b4,EUR,8.84,8.02,['Source_skin']
M-dcc2f6b2,TRA_Griffith-N,TRANSMISSION_DISTRIBUTION,R-f71fe32c,EUR,4.61,9.2,['Source_base']
M-0760e87c,OIL_Sanford-Le,OIL_GAS,R-4d624965,AUD,1.95,2.48,['Source_own']
M-d02bfa92,OIL_Cooley-Gil,OIL_GAS,R-f0956139,EUR,3.79,9.47,['Source_notice']
M-3e2cd7c6,TRA_Benson Inc,TRANSMISSION_DISTRIBUTION,R-61d60791,USD,2.88,6.72,['Source_house']
M-028428b6,"TRA_Kennedy, H",TRANSMISSION_DISTRIBUTION,R-443fa09e,GBP,6.34,1.84,['Source_skin']
M-c512e1b6,"TRA_Osborne, H",TRANSMISSION_DISTRIBUTION,R-9d541ca8,AUD,1.96,6.93,['Source_point']
M-10f8b08b,OIL_Browning-G,OIL_GAS,R-8f39faca,GBP,8.5,6.07,['Source_explain']
M-38f1875d,OIL_Russell In,OIL_GAS,R-99650c22,USD,0.93,6.77,['Source_station']
M-b392a48b,TRA_Sandoval-H,TRANSMISSION_DISTRIBUTION,R-4e1651f3,EUR,7.79,4.75,['Source_maintain']
M-a46e7457,"TRA_Tyler, Rei",TRANSMISSION_DISTRIBUTION,R-015ccf53,AUD,3.25,9.61,['Source_down']
M-247a94d2,TRA_Fletcher a,TRANSMISSION_DISTRIBUTION,R-9446a9cb,CAD,3.33,1.66,['Source_attack']
M-30706344,"TRA_Roberts, J",TRANSMISSION_DISTRIBUTION,R-85214140,CAD,5.1,2.84,['Source_per']
M-4ea8ae4b,TRA_Walters-Mu,TRANSMISSION_DISTRIBUTION,R-4381dbe0,GBP,7.47,8.75,['Source_improve']
M-08d461ce,TRA_Spears-Smi,TRANSMISSION_DISTRIBUTION,R-46f80f47,GBP,5.39,1.96,['Source_grow']
M-c62187c7,TRA_Reed-Walla,TRANSMISSION_DISTRIBUTION,R-08d42a13,GBP,4.77,2.27,['Source_maintain']
M-a40b51eb,"TRA_Porter, Pa",TRANSMISSION_DISTRIBUTION,R-4c26e26c,CAD,8.71,4.76,['Source_in']
M-6c5e09e0,OIL_Powell-Gue,OIL_GAS,R-2601f732,EUR,8.23,9.4,['Source_owner']
M-54e88a92,TRA_Welch PLC,TRANSMISSION_DISTRIBUTION,R-c1d35e13,EUR,5.23,5.63,['Source_hair']
M-d88da632,OIL_Clark PLC,OIL_GAS,R-12a65c5e,CAD,0.72,9.51,['Source_hope']
M-e0ea07ce,TRA_Carter-Ste,TRANSMISSION_DISTRIBUTION,R-fe9659d6,EUR,2.54,4.18,['Source_represent']
M-45a90fc9,TRA_Johnson-We,TRANSMISSION_DISTRIBUTION,R-4c26e26c,AUD,8.88,6.89,['Source_compare']
M-4a35f32c,"TRA_Bell, Reyn",TRANSMISSION_DISTRIBUTION,R-fb922048,USD,8.55,4.88,['Source_agency']
M-3b7e01ba,TRA_Hawkins-He,TRANSMISSION_DISTRIBUTION,R-c8e92f5f,GBP,7.76,4.29,['Source_easy']
M-0759b013,TRA_Morse-Ande,TRANSMISSION_DISTRIBUTION,R-e19fc55a,AUD,2.35,5.98,['Source_policy']
M-42cefaee,TRA_Davis and ,TRANSMISSION_DISTRIBUTION,R-47faec94,CAD,7.76,3.52,['Source_development']
M-05c055b3,OIL_Duncan and,OIL_GAS,R-ae84f317,USD,1.72,1.87,['Source_treatment']
M-fc6ba5f6,OIL_Wang Ltd,OIL_GAS,R-e47ae86d,GBP,5.8,4.29,['Source_institution']
M-a17f342a,"TRA_Ortiz, Pot",TRANSMISSION_DISTRIBUTION,R-d07395e6,AUD,4.31,1.36,['Source_place']
M-4ae36785,TRA_Flores-Cox,TRANSMISSION_DISTRIBUTION,R-8b751b5a,GBP,8.14,5.67,['Source_born']
M-593e1bec,"OIL_Dyer, Horn",OIL_GAS,R-b89827af,AUD,1.83,9.38,['Source_friend']
M-900583b0,"TRA_Nichols, M",TRANSMISSION_DISTRIBUTION,R-51695fe3,AUD,7.52,3.69,['Source_miss']
M-06f600af,TRA_Mitchell-M,TRANSMISSION_DISTRIBUTION,R-23ff7379,AUD,5.56,7.38,['Source_close']
M-b9f89c8b,TRA_Ross Inc,TRANSMISSION_DISTRIBUTION,R-3f3c5eeb,USD,4.0,7.06,['Source_no']
M-51dd99bd,TRA_Hines-Doug,TRANSMISSION_DISTRIBUTION,R-abc39b25,USD,6.17,3.39,['Source_result']
M-a6e4fc09,OIL_Reyes Ltd,OIL_GAS,R-6574531d,AUD,5.99,7.49,['Source_kid']
M-f213f166,TRA_Jenkins-Fi,TRANSMISSION_DISTRIBUTION,R-e3fc83ef,AUD,6.48,6.58,['Source_present']
M-afc7b7e8,TRA_Taylor PLC,TRANSMISSION_DISTRIBUTION,R-e2a16024,EUR,0.8,9.53,['Source_most']
M-8cbe9c41,TRA_Greene Ltd,TRANSMISSION_DISTRIBUTION,R-fddf2da7,CAD,3.48,2.36,['Source_issue']
M-2d391598,TRA_Nguyen and,TRANSMISSION_DISTRIBUTION,R-b3267160,AUD,7.86,9.28,['Source_compare']
M-a347755f,"OIL_Garrett, C",OIL_GAS,R-c11a977a,USD,7.2,5.67,['Source_agency']
M-54364054,"TRA_Guzman, Cl",TRANSMISSION_DISTRIBUTION,R-62318d0e,CAD,5.49,3.82,['Source_much']
M-543bc987,TRA_Jefferson ,TRANSMISSION_DISTRIBUTION,R-f033294b,AUD,3.75,4.19,['Source_lot']
M-40321fdb,OIL_Sharp-Alle,OIL_GAS,R-a5a66ca3,GBP,6.3,2.73,['Source_marriage']
M-5dbb024c,"TRA_Morse, Mor",TRANSMISSION_DISTRIBUTION,R-01d43b8d,GBP,2.64,9.76,['Source_wall']
M-bed75173,OIL_Clark Grou,OIL_GAS,R-f55e167e,EUR,7.06,5.4,['Source_machine']
M-d7094a6a,TRA_Sutton Gro,TRANSMISSION_DISTRIBUTION,R-8564cf76,GBP,3.23,6.16,['Source_effort']
M-c7901f79,TRA_Kaufman PL,TRANSMISSION_DISTRIBUTION,R-d042e617,CAD,8.27,9.59,['Source_put']
M-0f22bd6e,TRA_Lara LLC,TRANSMISSION_DISTRIBUTION,R-5a023117,USD,3.23,7.43,['Source_turn']
M-cb2b577f,OIL_Sanchez Lt,OIL_GAS,R-35ac80d1,GBP,7.6,2.93,['Source_available']
M-dd17601e,TRA_Goodman Lt,TRANSMISSION_DISTRIBUTION,R-367aa6c5,AUD,7.11,2.24,['Source_research']
M-05907237,OIL_Camacho-Co,OIL_GAS,R-1b25ce6a,EUR,2.8,7.03,['Source_training']
