workforce_id,region_id,year,total_employees,industry_skilled_labor_pct,avg_salary_usd,skill_availability_index,training_programs_count,data_source_references
WF-6fe1bba4,R-a25b96ec,2018,675565,0.3555,132063.28,1.81,92,['WF_part']
WF-b8b0ff58,R-a25b96ec,2019,769235,0.1303,30271.68,0.53,63,['WF_though']
WF-0dff5ff4,R-a25b96ec,2020,1890452,0.0913,22468.72,0.98,81,['WF_my']
WF-90af02ee,R-a25b96ec,2021,793339,0.2336,110866.16,1.04,54,['WF_in']
WF-f8bfa06f,R-a25b96ec,2022,799176,0.39020000000000005,148213.47,5.35,19,['WF_little']
WF-a0b9fa75,R-a25b96ec,2023,640502,0.1479,65229.01,6.59,18,['WF_not']
WF-144f1679,R-a25b96ec,2024,40669,0.3998,24764.38,9.34,47,['WF_a']
WF-da37a515,R-a49a1045,2018,1024753,0.1696,142813.65,1.72,89,['WF_report']
WF-48d786dd,R-a49a1045,2019,644948,0.32549999999999996,63209.35,8.57,66,['WF_again']
WF-ed204ec0,R-a49a1045,2020,978219,0.2306,31016.1,9.58,6,['WF_all']
WF-1e2a05a5,R-a49a1045,2021,523967,0.25329999999999997,107876.17,0.72,90,['WF_attorney']
WF-b0e17c3c,R-a49a1045,2022,1763158,0.35509999999999997,112866.77,9.63,88,['WF_stay']
WF-69db6b98,R-a49a1045,2023,1875440,0.38880000000000003,52804.54,2.49,4,['WF_while']
WF-16f31ab4,R-a49a1045,2024,1470862,0.0559,43477.44,2.43,82,['WF_eight']
WF-36135177,R-f89e15ab,2018,1930076,0.24609999999999999,142409.83,7.12,63,['WF_defense']
WF-1e136c6b,R-f89e15ab,2019,1195848,0.1533,99044.91,5.85,74,['WF_among']
WF-b47117a0,R-f89e15ab,2020,1512073,0.0642,100993.39,7.7,99,['WF_cut']
WF-12608757,R-f89e15ab,2021,1520791,0.3668,22327.16,6.58,7,['WF_fill']
WF-6fa5d96b,R-f89e15ab,2022,1784238,0.23550000000000001,67250.76,0.72,45,['WF_stage']
WF-b19cf763,R-f89e15ab,2023,525518,0.2809,36624.32,8.67,66,['WF_positive']
WF-0e16cde1,R-f89e15ab,2024,397433,0.23199999999999998,135575.85,6.93,26,['WF_address']
