og_profile_id,market_id,total_proven_reserves_barrels,total_gas_reserves_bcfe,pipeline_miles,production_capacity_barrels_per_day,active_well_count,refining_capacity_barrels_per_day
OG-41cba908,M-f02c1210,744.12,4434.35,48983.34,3486840.52,1882,644058.53
OG-d207e8e7,M-8ef2fb52,6475.28,4978.03,9772.04,4169172.01,19,1666296.29
OG-eb082bdf,M-43c15be9,970.15,2259.96,13606.98,2850039.52,1942,505563.39
OG-0ad61fa4,M-dbef97c9,9122.33,19.94,9655.34,3966866.82,1998,1756023.16
OG-8da943fc,M-aeedbc42,5383.22,3670.79,8370.39,3176431.78,1775,805309.81
OG-432b4b2b,M-e6bed1b6,8282.89,3029.06,38204.02,1629638.47,1543,591536.36
OG-33d7b0c6,M-0760e87c,1553.99,2829.57,23255.95,1259898.72,269,1643032.93
OG-46ee25e8,M-d02bfa92,6403.16,2779.94,48310.3,2623870.83,1912,338031.99
OG-668b763a,M-10f8b08b,5505.86,1930.32,21018.08,4953467.71,99,1975108.02
OG-2e112f8c,M-38f1875d,5548.69,1831.63,27210.31,3345967.85,256,1726152.78
OG-3a46bdce,M-6c5e09e0,7686.37,2562.17,396.0,1237897.04,10,665027.39
OG-2821b37a,M-d88da632,1959.22,2695.02,27330.42,1987068.27,1082,1472590.79
OG-f97b9b12,M-05c055b3,6299.99,3932.02,32799.57,3135913.09,114,1816792.7
OG-d8288063,M-fc6ba5f6,9985.65,60.3,3572.51,4925245.47,1120,125979.83
OG-938607c6,M-593e1bec,7638.3,2859.81,8544.26,832347.52,1798,1415500.52
OG-d6742072,M-a6e4fc09,4679.1,4724.36,19609.81,565129.36,561,139119.76
OG-18f232a4,M-a347755f,8513.69,3487.13,48778.18,4960679.1,131,891236.25
OG-701b714e,M-40321fdb,8385.52,3398.03,6388.08,3669537.43,1279,1326643.49
OG-610cbed3,M-bed75173,8319.89,3475.73,15447.26,4107707.04,326,1324746.05
OG-598450c1,M-cb2b577f,4094.91,1667.34,38457.1,1189317.73,1205,335820.29
OG-1d0fe45d,M-05907237,8821.43,1009.16,29152.16,4478370.39,1689,1081676.52
OG-67e2bd32,M-ae9ca3d5,6452.2,1353.96,16224.05,3045425.59,118,1219140.85
OG-8297543f,M-0ea53fc5,7714.77,3734.91,47010.29,1797923.36,1749,1049422.44
OG-e7222769,M-af373a7b,3490.89,4227.71,7468.02,2577780.65,462,525826.62
OG-970aa200,M-fbdb40a8,6551.4,3241.72,40811.26,488133.45,900,164207.64
OG-1fe07e78,M-ddad234a,6002.7,1757.22,48003.26,2775883.4,758,416704.72
OG-bfe1f241,M-d843ea2b,6985.02,756.44,20498.58,1360097.57,1208,1203301.4
OG-13c132c4,M-c2742c80,7582.39,4903.73,43768.57,4291548.28,1924,1219832.8
OG-20fb53e8,M-516ea63b,654.2,2345.4,16420.92,3293546.19,1345,85254.2
OG-141e165b,M-e8139d1e,4647.37,3905.94,25425.77,3411463.83,1422,192661.61
OG-7b171f91,M-1830c1f8,3289.7,1323.66,27093.43,4048161.11,1161,1904808.93
OG-9ea9c647,M-11c16f37,9584.42,2371.3,8128.76,1398533.97,1613,1032654.07
OG-c8898c9e,M-a0c224a3,5364.98,2423.39,29365.89,215590.34,100,1153057.71
OG-fe0b6d0a,M-78e17444,1751.36,927.41,45570.23,2584284.02,824,693842.81
OG-df60fd65,M-72685bd2,5405.26,120.37,44269.31,3284273.68,53,1656637.83
OG-3d51ee93,M-0a486873,5578.9,3313.4,17806.87,4011027.39,174,1140120.36
OG-c1380d47,M-a4c59ac6,4982.4,4321.68,48222.88,3288322.46,669,893280.54
OG-30620eed,M-e1776c4e,6859.27,3291.4,30864.54,1651549.11,1687,1809376.94
OG-e032a346,M-cab70851,7596.26,4367.48,21112.33,123432.01,1418,1094933.64
OG-68e9b23c,M-bf8ac16e,4249.23,3002.96,712.47,520603.83,1432,1306970.29
OG-b6bc9dce,M-42243a40,1121.08,3904.18,19040.0,762573.98,1451,375278.25
OG-2787a15d,M-9b916360,6210.57,4906.31,14307.89,2417998.41,86,10332.91
OG-c11e5599,M-6752f543,9731.2,1731.32,28629.02,199891.77,1845,1302102.23
OG-7d3cd702,M-8de289c7,9042.43,1548.24,13502.29,2125423.81,1282,1877565.91
OG-0350fc8b,M-cbe2fe25,8090.1,2370.46,24255.32,797518.8,598,1065783.64
OG-0c941bb6,M-3f6b1564,4849.13,2295.81,12178.66,4489630.52,121,1887906.83
OG-e4c87402,M-3f883ce3,5318.94,1673.17,6644.96,2683450.32,70,1889499.73
OG-cc28d855,M-cfef7f16,953.96,3924.17,2886.48,3580867.76,1708,835720.77
OG-7df6a429,M-cb2abe31,2677.68,2306.42,31396.31,3374552.55,1044,29703.63
OG-774aede8,M-e8b841c9,2648.92,3876.69,2325.73,770755.46,408,31804.7
OG-c95adb5f,M-2a64a761,7812.05,2822.72,43787.85,2283980.65,449,1968190.49
OG-a6c29688,M-024b7749,8263.05,4963.35,38742.92,3754782.67,1916,1002998.89
OG-e91e7032,M-0b3901bc,4806.94,1727.67,22493.75,3638611.95,720,278425.93
OG-cf29fc23,M-d03e2b6c,5094.14,2791.67,47039.37,4384130.19,747,49915.63
OG-e675caf3,M-3e56897b,9565.33,3813.4,13405.3,4838741.4,986,1050761.39
OG-1d9245d5,M-4ff8f6b5,6581.85,1556.3,48661.92,2365401.21,469,90879.25
OG-8fdde61e,M-b776c361,546.97,1723.59,13096.62,3205730.96,707,1697171.19
OG-079025a8,M-7b0bfb59,2394.3,2229.17,25510.28,682021.61,553,1271234.17
OG-4a037efd,M-c83a132b,9758.01,1437.92,22783.31,1433936.39,252,1379178.47
OG-326373a0,M-750c3f2b,3120.57,185.78,33334.6,1928798.78,1577,392455.45
OG-f9f6bd3e,M-2b642405,413.32,3020.75,16776.42,530415.5,144,1045628.02
OG-6d8e078e,M-8f5f8f66,5909.48,3245.18,9931.29,3225045.63,1762,1749496.67
OG-d0e1d0aa,M-cdeb273b,6553.0,1747.8,28214.21,818496.64,1187,1049457.47
OG-953a4eea,M-8e899497,1040.89,962.85,44230.92,3238786.63,601,154037.37
OG-010ef2d8,M-34fa4fe0,6680.65,2306.72,48091.3,2310628.63,188,162880.09
OG-955cc134,M-30398366,68.03,548.64,34692.51,2207991.26,1615,922106.63
OG-f99cf989,M-842e606b,9408.93,976.45,2627.52,1320783.31,1287,1944211.38
OG-157deaa9,M-6950e10b,8662.02,2603.64,30200.56,2193008.03,538,447479.85
OG-defd7d4d,M-c3415331,4162.1,3850.58,23542.93,4994082.84,430,1938604.49
OG-4d0445ea,M-e65f5da3,3064.61,2405.01,34877.26,2584380.5,1202,425256.81
OG-f215d25e,M-b36f7b6a,5061.38,416.66,31611.07,454316.29,1899,1053362.2
OG-f8e43c44,M-e1205361,4810.34,2302.44,15391.02,3636145.77,1082,1348114.78
OG-b354c9ac,M-00d873ba,5401.27,953.37,39481.29,2071883.75,661,325965.35
OG-25858815,M-3405f426,682.77,3474.31,41869.52,3680540.44,1321,1576463.32
OG-a23fb242,M-ae720d09,8596.81,976.64,3286.09,4964148.36,50,741648.24
OG-41a9973a,M-2a426125,6972.16,2455.56,3152.73,4533500.84,1647,1063517.42
OG-a112c299,M-02c7c3bb,9295.75,4632.92,31077.5,2689223.82,1993,1884933.7
OG-d7330b81,M-aaf22a43,4240.36,1611.77,28285.7,4200034.09,1321,341969.41
OG-66d316ee,M-f3dda827,5163.34,1143.47,24825.09,1209616.03,1785,420199.41
