id,accountID,balance,belongsToInvestorID
cash_0,CASH-0,77420.25,inv_23
cash_1,CASH-1,38921.95,inv_3
cash_2,CASH-2,44944.11,inv_3
cash_3,CASH-3,45367.01,inv_4
cash_4,CASH-4,20708.67,inv_7
cash_5,CASH-5,73450.05,inv_9
cash_6,CASH-6,94029.29,inv_20
cash_7,CASH-7,48706.23,inv_3
cash_8,CASH-8,64603.62,inv_26
cash_9,CASH-9,22715.5,inv_20
cash_10,CASH-10,92826.26,inv_28
cash_11,CASH-11,26927.06,inv_17
cash_12,CASH-12,53466.8,inv_17
cash_13,CASH-13,19209.43,inv_8
cash_14,CASH-14,43659.06,inv_13
cash_15,CASH-15,99803.25,inv_27
cash_16,CASH-16,75268.3,inv_0
cash_17,CASH-17,16031.25,inv_5
cash_18,CASH-18,9478.97,inv_1
cash_19,CASH-19,49388.68,inv_28
cash_20,CASH-20,12554.12,inv_13
cash_21,CASH-21,65006.88,inv_3
cash_22,CASH-22,62051.52,inv_16
cash_23,CASH-23,71606.11,inv_2
cash_24,CASH-24,657.64,inv_11
cash_25,CASH-25,75538.71,inv_16
cash_26,CASH-26,63780.24,inv_19
cash_27,CASH-27,91450.66,inv_19
cash_28,CASH-28,80046.99,inv_29
cash_29,CASH-29,82873.54,inv_10
cash_30,CASH-30,64215.61,inv_20
cash_31,CASH-31,14974.97,inv_5
cash_32,CASH-32,9815.78,inv_13
cash_33,CASH-33,15714.44,inv_19
cash_34,CASH-34,78244.88,inv_18
cash_35,CASH-35,62610.71,inv_17
cash_36,CASH-36,7318.95,inv_26
cash_37,CASH-37,29740.71,inv_12
cash_38,CASH-38,1135.46,inv_25
cash_39,CASH-39,41442.38,inv_9
cash_40,CASH-40,36771.77,inv_11
cash_41,CASH-41,33055.62,inv_23
cash_42,CASH-42,68554.3,inv_19
cash_43,CASH-43,55869.35,inv_3
cash_44,CASH-44,8722.53,inv_15
cash_45,CASH-45,62743.16,inv_15
cash_46,CASH-46,92357.83,inv_4
cash_47,CASH-47,56350.01,inv_5
cash_48,CASH-48,47078.08,inv_23
cash_49,CASH-49,38874.12,inv_8
