id,machineName,machineType,maintenanceDueDate,lineID,operatorIDs
machine_0,CuttingMachine_0,Cutting,2025-05-19T15:15:56.579559,line_28,['operator_36']
machine_1,WeldingMachine_1,Welding,2025-05-29T15:15:56.579559,line_23,"['operator_22', 'operator_25', 'operator_9']"
machine_2,PressingMachine_2,Pressing,2025-05-31T15:15:56.579559,line_18,['operator_22']
machine_3,WeldingMachine_3,Welding,2025-08-14T15:15:56.579559,line_19,"['operator_16', 'operator_27', 'operator_22']"
machine_4,CuttingMachine_4,Cutting,2025-02-25T15:15:56.579559,line_13,"['operator_32', 'operator_33', 'operator_17']"
machine_5,AssemblyMachine_5,Assembly,2025-03-08T15:15:56.579559,line_13,['operator_9']
machine_6,CuttingMachine_6,Cutting,2025-06-06T15:15:56.579559,line_0,"['operator_31', 'operator_16']"
machine_7,AssemblyMachine_7,Assembly,2025-04-12T15:15:56.579559,line_11,['operator_4']
machine_8,WeldingMachine_8,Welding,2025-03-21T15:15:56.579559,line_7,"['operator_33', 'operator_5']"
machine_9,PressingMachine_9,Pressing,2025-03-09T15:15:56.579559,line_0,['operator_29']
machine_10,CuttingMachine_10,Cutting,2025-04-26T15:15:56.579559,line_20,"['operator_27', 'operator_29']"
machine_11,WeldingMachine_11,Welding,2025-03-06T15:15:56.579559,line_10,['operator_37']
machine_12,PackagingMachine_12,Packaging,2025-03-30T15:15:56.579559,line_5,"['operator_3', 'operator_13']"
machine_13,AssemblyMachine_13,Assembly,2025-03-25T15:15:56.579559,line_22,"['operator_18', 'operator_19', 'operator_2']"
machine_14,AssemblyMachine_14,Assembly,2025-05-15T15:15:56.579559,line_0,['operator_26']
machine_15,AssemblyMachine_15,Assembly,2025-08-18T15:15:56.579559,line_5,"['operator_13', 'operator_30', 'operator_4']"
machine_16,AssemblyMachine_16,Assembly,2025-05-27T15:15:56.579559,line_28,"['operator_21', 'operator_6']"
machine_17,PackagingMachine_17,Packaging,2025-03-30T15:15:56.579559,line_2,['operator_16']
machine_18,WeldingMachine_18,Welding,2025-04-15T15:15:56.579559,line_29,"['operator_1', 'operator_25', 'operator_27']"
machine_19,PackagingMachine_19,Packaging,2025-03-27T15:15:56.579559,line_20,"['operator_13', 'operator_26', 'operator_27']"
machine_20,CuttingMachine_20,Cutting,2025-02-22T15:15:56.579559,line_26,['operator_19']
machine_21,PackagingMachine_21,Packaging,2025-03-17T15:15:56.579559,line_6,"['operator_25', 'operator_19']"
machine_22,CuttingMachine_22,Cutting,2025-04-06T15:15:56.579559,line_26,"['operator_2', 'operator_13', 'operator_28']"
machine_23,PressingMachine_23,Pressing,2025-06-24T15:15:56.579559,line_1,"['operator_22', 'operator_13', 'operator_1']"
machine_24,PackagingMachine_24,Packaging,2025-08-18T15:15:56.579559,line_2,['operator_8']
machine_25,CuttingMachine_25,Cutting,2025-03-04T15:15:56.579559,line_21,"['operator_3', 'operator_16', 'operator_15']"
machine_26,WeldingMachine_26,Welding,2025-07-27T15:15:56.579559,line_7,"['operator_1', 'operator_4']"
machine_27,CuttingMachine_27,Cutting,2025-03-16T15:15:56.579559,line_6,"['operator_3', 'operator_15']"
machine_28,PressingMachine_28,Pressing,2025-08-10T15:15:56.579559,line_18,['operator_10']
machine_29,PressingMachine_29,Pressing,2025-07-20T15:15:56.579559,line_29,['operator_9']
machine_30,WeldingMachine_30,Welding,2025-07-02T15:15:56.579559,line_10,"['operator_39', 'operator_37', 'operator_23']"
machine_31,PackagingMachine_31,Packaging,2025-05-04T15:15:56.579559,line_29,"['operator_4', 'operator_10', 'operator_37']"
machine_32,PressingMachine_32,Pressing,2025-06-25T15:15:56.579559,line_20,"['operator_37', 'operator_8', 'operator_6']"
machine_33,WeldingMachine_33,Welding,2025-08-14T15:15:56.579559,line_16,['operator_1']
machine_34,PackagingMachine_34,Packaging,2025-05-13T15:15:56.579559,line_12,"['operator_27', 'operator_6']"
machine_35,WeldingMachine_35,Welding,2025-02-26T15:15:56.579559,line_2,"['operator_17', 'operator_16']"
machine_36,PackagingMachine_36,Packaging,2025-06-09T15:15:56.579559,line_13,['operator_11']
machine_37,WeldingMachine_37,Welding,2025-03-01T15:15:56.579559,line_13,"['operator_28', 'operator_9', 'operator_2']"
machine_38,PressingMachine_38,Pressing,2025-07-18T15:15:56.579559,line_27,"['operator_17', 'operator_26', 'operator_7']"
machine_39,PackagingMachine_39,Packaging,2025-03-30T15:15:56.579559,line_24,['operator_1']
machine_40,CuttingMachine_40,Cutting,2025-02-26T15:15:56.579559,line_10,"['operator_3', 'operator_30']"
machine_41,WeldingMachine_41,Welding,2025-05-16T15:15:56.579559,line_19,['operator_23']
machine_42,AssemblyMachine_42,Assembly,2025-05-22T15:15:56.579559,line_1,"['operator_37', 'operator_17', 'operator_14']"
machine_43,PressingMachine_43,Pressing,2025-05-25T15:15:56.579559,line_28,"['operator_0', 'operator_2', 'operator_11']"
machine_44,PressingMachine_44,Pressing,2025-04-17T15:15:56.579559,line_27,['operator_12']
machine_45,PackagingMachine_45,Packaging,2025-04-08T15:15:56.579559,line_15,['operator_17']
machine_46,AssemblyMachine_46,Assembly,2025-08-02T15:15:56.579559,line_29,['operator_11']
machine_47,CuttingMachine_47,Cutting,2025-07-16T15:15:56.579559,line_5,['operator_8']
machine_48,PackagingMachine_48,Packaging,2025-07-13T15:15:56.579559,line_11,['operator_29']
machine_49,AssemblyMachine_49,Assembly,2025-03-09T15:15:56.579559,line_20,['operator_32']
