id,productName,sku,price
product_0,Widget A,SKU-5801,144.95
product_1,Gadget B,SKU-9571,126.34
product_2,Device Q,SKU-5516,74.45
product_3,Component Y,SKU-3368,8.68
product_4,Device Q,SKU-9948,10.09
product_5,Device Q,SKU-1892,140.11
product_6,Part Z,SKU-5231,20.15
product_7,Gadget B,SKU-8577,24.75
product_8,Component Y,SKU-1707,59.8
product_9,Device Q,SKU-5916,10.44
product_10,Widget A,SKU-3135,97.45
product_11,Gadget B,SKU-5102,111.15
product_12,Part Z,SKU-8348,66.78
product_13,Part Z,SKU-6340,12.07
product_14,Device Q,SKU-6474,199.17
product_15,Component Y,SKU-5265,100.28
product_16,Widget A,SKU-9116,108.72
product_17,Assembly X,SKU-2803,58.61
product_18,Assembly X,SKU-4365,69.57
product_19,Part Z,SKU-1169,100.02
product_20,Part Z,SKU-7495,18.5
product_21,Part Z,SKU-4721,53.87
product_22,Gadget B,SKU-4484,197.9
product_23,Assembly X,SKU-7237,133.25
product_24,Device Q,SKU-4764,51.19
product_25,Gadget B,SKU-1579,118.19
product_26,Device Q,SKU-4154,75.78
product_27,Component Y,SKU-3577,22.57
product_28,Component Y,SKU-8926,22.95
product_29,Widget A,SKU-3100,28.63
product_30,Device Q,SKU-6078,65.67
product_31,Assembly X,SKU-1696,71.28
product_32,Widget A,SKU-6746,84.73
product_33,Assembly X,SKU-4704,171.27
product_34,Part Z,SKU-2216,192.89
product_35,Device Q,SKU-4294,174.18
product_36,Component Y,SKU-6958,128.15
product_37,Part Z,SKU-7755,82.45
product_38,Part Z,SKU-6253,101.23
product_39,Assembly X,SKU-9948,104.12
