id,lineName,capacity,plantID
line_0,Line_0_make,327,plant_7
line_1,Line_1_husband,425,plant_9
line_2,Line_2_system,443,plant_9
line_3,Line_3_tonight,385,plant_9
line_4,Line_4_effort,212,plant_5
line_5,Line_5_fight,311,plant_9
line_6,Line_6_recognize,185,plant_9
line_7,Line_7_tend,250,plant_3
line_8,Line_8_rate,59,plant_2
line_9,Line_9_difference,457,plant_5
line_10,Line_10_form,315,plant_7
line_11,Line_11_direction,301,plant_8
line_12,Line_12_charge,160,plant_4
line_13,Line_13_so,112,plant_5
line_14,Line_14_success,243,plant_6
line_15,Line_15_picture,181,plant_1
line_16,Line_16_response,315,plant_6
line_17,Line_17_health,107,plant_0
line_18,Line_18_for,163,plant_1
line_19,Line_19_move,414,plant_8
line_20,Line_20_open,239,plant_2
line_21,Line_21_central,304,plant_3
line_22,Line_22_I,215,plant_3
line_23,Line_23_side,499,plant_0
line_24,Line_24_late,100,plant_2
line_25,Line_25_week,84,plant_3
line_26,Line_26_help,230,plant_2
line_27,Line_27_main,308,plant_8
line_28,Line_28_movie,230,plant_4
line_29,Line_29_treat,312,plant_4
