id,shipmentID,shipDate,carrier,trackingNumber,orderID,shipperID
shipment_0,SHIP-0-6570,2025-02-10,UPS,TRK-6703169,order_1385,warehouse_0
shipment_1,SHIP-1-6059,2024-11-16,DHL,TRK-7373284,order_362,warehouse_7
shipment_2,SHIP-2-6671,2024-04-13,USPS,TRK-3066555,order_1089,warehouse_36
shipment_3,SHIP-3-5339,2024-01-02,UPS,TRK-3919092,order_1228,warehouse_31
shipment_4,SHIP-4-1990,2025-02-09,USPS,TRK-5522848,order_448,manufacturer_13
shipment_5,SHIP-5-1806,2024-04-15,USPS,TRK-1238900,order_841,manufacturer_13
shipment_6,SHIP-6-8255,2024-02-13,UPS,TRK-7426742,order_991,warehouse_27
shipment_7,SHIP-7-1105,2024-12-14,DHL,TRK-8870593,order_1087,warehouse_1
shipment_8,SHIP-8-6416,2023-10-13,USPS,TRK-7465570,order_1032,manufacturer_3
shipment_9,SHIP-9-7016,2024-10-20,FedEx,TRK-4388378,order_194,warehouse_17
shipment_10,SHIP-10-8893,2024-12-23,DHL,TRK-8823876,order_1115,warehouse_13
shipment_11,SHIP-11-3831,2023-09-13,FedEx,TRK-4098082,order_929,warehouse_5
shipment_12,SHIP-12-1174,2024-11-30,FedEx,TRK-6658152,order_878,manufacturer_17
shipment_13,SHIP-13-5498,2024-12-29,UPS,TRK-7152571,order_1205,warehouse_36
shipment_14,SHIP-14-4234,2024-03-30,UPS,TRK-1998600,order_332,warehouse_4
shipment_15,SHIP-15-1334,2025-01-13,FedEx,TRK-6838471,order_764,warehouse_2
shipment_16,SHIP-16-2939,2024-04-09,DHL,TRK-8737043,order_1416,warehouse_15
shipment_17,SHIP-17-4125,2023-05-13,USPS,TRK-1970067,order_1477,warehouse_14
shipment_18,SHIP-18-3670,2025-01-01,UPS,TRK-1106747,order_1380,warehouse_28
shipment_19,SHIP-19-8994,2024-09-01,USPS,TRK-6591557,order_674,warehouse_20
shipment_20,SHIP-20-1638,2024-09-10,FedEx,TRK-2690016,order_191,warehouse_15
shipment_21,SHIP-21-8661,2025-02-06,DHL,TRK-1339472,order_1392,warehouse_22
shipment_22,SHIP-22-2717,2025-01-25,USPS,TRK-7598445,order_476,manufacturer_16
shipment_23,SHIP-23-8271,2024-02-17,USPS,TRK-3537444,order_916,manufacturer_18
shipment_24,SHIP-24-8798,2024-07-23,DHL,TRK-7069709,order_7,manufacturer_14
shipment_25,SHIP-25-2163,2025-01-27,USPS,TRK-7735501,order_291,warehouse_7
shipment_26,SHIP-26-5645,2023-06-10,DHL,TRK-8333600,order_1323,warehouse_24
shipment_27,SHIP-27-6806,2025-02-13,UPS,TRK-8513732,order_1167,warehouse_35
shipment_28,SHIP-28-8096,2024-07-09,DHL,TRK-7008922,order_736,manufacturer_11
shipment_29,SHIP-29-1953,2024-10-07,USPS,TRK-7961983,order_1117,warehouse_2
shipment_30,SHIP-30-7021,2024-10-10,USPS,TRK-1230326,order_654,manufacturer_19
shipment_31,SHIP-31-6865,2024-11-08,USPS,TRK-1145136,order_665,warehouse_2
