id,orderNumber,orderDate,status,totalAmount,sellerType,sellerID,retailerID,productIDs
order_0,ON-0-1734,2024-09-13,Delivered,8918.25,manufacturer,manufacturer_5,retailer_30,"['product_222', 'product_239', 'product_2', 'product_69']"
order_1,ON-1-2510,2023-03-22,Delivered,9491.13,manufacturer,manufacturer_15,retailer_1,"['product_218', 'product_4', 'product_22', 'product_75']"
order_2,ON-2-6889,2024-03-31,Cancelled,2029.09,manufacturer,manufacturer_10,retailer_19,['product_138']
order_3,ON-3-4848,2023-04-17,Pending,2556.68,warehouse,warehouse_18,retailer_8,['product_17']
order_4,ON-4-7050,2023-11-14,Pending,676.62,warehouse,warehouse_13,retailer_22,['product_242']
order_5,ON-5-1469,2023-07-10,Pending,8343.18,warehouse,warehouse_30,retailer_40,"['product_183', 'product_4', 'product_38']"
order_6,ON-6-9496,2023-12-08,Cancelled,2451.61,manufacturer,manufacturer_0,retailer_11,"['product_197', 'product_32']"
order_7,ON-7-1726,2024-02-01,Pending,6622.7,manufacturer,manufacturer_14,retailer_26,['product_158']
order_8,ON-8-6128,2023-04-15,Pending,16940.51,warehouse,warehouse_6,retailer_6,"['product_176', 'product_214', 'product_116', 'product_44', 'product_227']"
order_9,ON-9-2352,2023-03-06,Shipped,2532.58,warehouse,warehouse_16,retailer_13,"['product_55', 'product_222', 'product_59']"
order_10,ON-10-7851,2023-07-02,Cancelled,5412.52,warehouse,warehouse_18,retailer_49,"['product_160', 'product_17', 'product_186', 'product_37']"
order_11,ON-11-7678,2023-09-07,Shipped,1163.04,warehouse,warehouse_37,retailer_22,['product_219']
order_12,ON-12-1051,2024-12-31,Delivered,2345.77,manufacturer,manufacturer_7,retailer_31,['product_211']
order_13,ON-13-5524,2023-06-27,Pending,7520.08,manufacturer,manufacturer_18,retailer_19,"['product_215', 'product_243', 'product_17', 'product_175']"
order_14,ON-14-4058,2024-10-03,Pending,6128.7,manufacturer,manufacturer_5,retailer_12,['product_2']
order_15,ON-15-9221,2023-12-28,Pending,1407.53,manufacturer,manufacturer_1,retailer_31,['product_157']
order_16,ON-16-6747,2024-12-20,Delivered,1881.24,warehouse,warehouse_21,retailer_6,"['product_111', 'product_160']"
order_17,ON-17-8726,2024-02-03,Delivered,30801.78,manufacturer,manufacturer_12,retailer_35,"['product_219', 'product_241', 'product_97', 'product_185', 'product_202']"
order_18,ON-18-9546,2024-05-04,Shipped,12612.42,warehouse,warehouse_19,retailer_20,"['product_151', 'product_96', 'product_111', 'product_237', 'product_28']"
order_19,ON-19-4370,2024-02-10,Cancelled,6152.66,manufacturer,manufacturer_6,retailer_30,"['product_147', 'product_185', 'product_51', 'product_121']"
order_20,ON-20-2093,2023-06-11,Cancelled,7748.59,warehouse,warehouse_19,retailer_11,"['product_111', 'product_210', 'product_28', 'product_157', 'product_151']"
order_21,ON-21-3473,2023-05-07,Shipped,5906.12,warehouse,warehouse_25,retailer_0,"['product_213', 'product_124', 'product_60', 'product_38']"
order_22,ON-22-7549,2023-09-19,Cancelled,7272.78,warehouse,warehouse_32,retailer_18,"['product_164', 'product_159', 'product_60', 'product_77', 'product_156']"
order_23,ON-23-7603,2024-01-08,Shipped,9168.68,manufacturer,manufacturer_15,retailer_22,"['product_28', 'product_118']"
order_24,ON-24-2631,2024-09-06,Cancelled,11152.1,manufacturer,manufacturer_4,retailer_41,"['product_101', 'product_168', 'product_207', 'product_217']"
order_25,ON-25-9567,2023-12-27,Delivered,4191.02,warehouse,warehouse_24,retailer_21,"['product_47', 'product_222', 'product_3']"
order_26,ON-26-8448,2024-07-24,Shipped,21117.69,warehouse,warehouse_17,retailer_36,"['product_220', 'product_201', 'product_155', 'product_207', 'product_58']"
order_27,ON-27-8288,2024-11-23,Pending,8576.61,warehouse,warehouse_4,retailer_19,"['product_159', 'product_175', 'product_214', 'product_72', 'product_99']"
order_28,ON-28-4289,2024-07-12,Shipped,2066.48,warehouse,warehouse_28,retailer_12,['product_142']
order_29,ON-29-8180,2024-12-05,Delivered,2359.81,warehouse,warehouse_12,retailer_46,"['product_11', 'product_59']"
order_30,ON-30-2691,2023-03-14,Cancelled,9106.37,warehouse,warehouse_23,retailer_45,"['product_221', 'product_173', 'product_171', 'product_97', 'product_7']"
order_31,ON-31-9301,2023-12-30,Delivered,10055.68,warehouse,warehouse_8,retailer_43,"['product_190', 'product_187', 'product_221', 'product_198']"
order_32,ON-32-8677,2023-06-26,Pending,21653.04,warehouse,warehouse_14,retailer_24,"['product_233', 'product_248', 'product_246', 'product_186', 'product_208']"
order_33,ON-33-7613,2024-04-27,Shipped,8744.24,manufacturer,manufacturer_9,retailer_45,"['product_145', 'product_138', 'product_149', 'product_60']"
order_34,ON-34-9536,2023-12-05,Pending,8105.45,warehouse,warehouse_18,retailer_35,"['product_12', 'product_233', 'product_195']"
order_35,ON-35-4406,2024-07-09,Pending,5501.26,warehouse,warehouse_30,retailer_44,"['product_183', 'product_240']"
order_36,ON-36-4212,2024-10-22,Cancelled,4545.84,warehouse,warehouse_15,retailer_49,['product_91']
order_37,ON-37-3966,2024-03-05,Cancelled,155.94,warehouse,warehouse_37,retailer_13,['product_228']
order_38,ON-38-6796,2023-05-29,Pending,15205.92,warehouse,warehouse_31,retailer_48,"['product_187', 'product_217', 'product_165']"
order_39,ON-39-2704,2024-01-14,Shipped,7095.5,warehouse,warehouse_16,retailer_34,['product_1']
order_40,ON-40-3088,2023-08-18,Pending,12682.64,warehouse,warehouse_8,retailer_1,"['product_198', 'product_221', 'product_52', 'product_91', 'product_190']"
order_41,ON-41-5136,2024-11-19,Shipped,13998.77,warehouse,warehouse_31,retailer_28,"['product_168', 'product_45', 'product_187', 'product_51']"
order_42,ON-42-3433,2024-04-24,Delivered,13822.24,warehouse,warehouse_28,retailer_24,"['product_158', 'product_180', 'product_7', 'product_121']"
order_43,ON-43-3584,2023-10-18,Pending,2983.74,warehouse,warehouse_39,retailer_48,"['product_145', 'product_9', 'product_91', 'product_32', 'product_93']"
order_44,ON-44-2001,2024-09-30,Pending,4822.27,warehouse,warehouse_7,retailer_48,"['product_158', 'product_23', 'product_211']"
order_45,ON-45-8412,2024-03-03,Shipped,149.73,manufacturer,manufacturer_14,retailer_15,['product_211']
order_46,ON-46-9096,2024-07-26,Shipped,5139.07,warehouse,warehouse_22,retailer_39,"['product_18', 'product_199', 'product_178', 'product_158', 'product_220']"
order_47,ON-47-4542,2023-02-20,Delivered,3130.97,warehouse,warehouse_16,retailer_17,"['product_59', 'product_146']"
order_48,ON-48-4061,2024-10-30,Delivered,13237.96,warehouse,warehouse_22,retailer_17,"['product_199', 'product_77', 'product_220', 'product_239', 'product_178']"
order_49,ON-49-9875,2024-03-13,Pending,2556.3,manufacturer,manufacturer_14,retailer_24,"['product_60', 'product_154']"
order_50,ON-50-9325,2024-09-06,Shipped,10329.18,warehouse,warehouse_19,retailer_29,"['product_133', 'product_190', 'product_28', 'product_96']"
order_51,ON-51-5400,2023-07-09,Shipped,8269.71,warehouse,warehouse_29,retailer_46,"['product_168', 'product_51']"
order_52,ON-52-5288,2025-02-12,Pending,10869.55,warehouse,warehouse_24,retailer_49,"['product_208', 'product_175', 'product_3', 'product_47', 'product_72']"
order_53,ON-53-3897,2024-04-09,Shipped,11350.83,warehouse,warehouse_22,retailer_28,"['product_129', 'product_81', 'product_199', 'product_222']"
order_54,ON-54-9245,2023-06-12,Delivered,6010.18,warehouse,warehouse_2,retailer_25,"['product_186', 'product_178', 'product_158']"
order_55,ON-55-1993,2023-07-27,Cancelled,4752.33,warehouse,warehouse_30,retailer_2,"['product_171', 'product_28', 'product_232']"
order_56,ON-56-2849,2024-02-06,Shipped,6847.08,warehouse,warehouse_37,retailer_20,"['product_142', 'product_219', 'product_228', 'product_237']"
order_57,ON-57-8065,2024-04-12,Delivered,11466.76,manufacturer,manufacturer_17,retailer_41,"['product_196', 'product_87', 'product_104']"
order_58,ON-58-4485,2024-12-20,Shipped,8280.58,warehouse,warehouse_9,retailer_2,"['product_108', 'product_202', 'product_77']"
order_59,ON-59-7314,2023-10-09,Pending,1970.56,warehouse,warehouse_12,retailer_24,"['product_189', 'product_147', 'product_104']"
order_60,ON-60-8740,2024-07-24,Pending,5746.09,manufacturer,manufacturer_15,retailer_34,"['product_4', 'product_118']"
order_61,ON-61-8992,2023-11-06,Pending,12403.18,warehouse,warehouse_17,retailer_22,"['product_47', 'product_57', 'product_185', 'product_160', 'product_155']"
order_62,ON-62-1099,2023-05-03,Shipped,1563.42,warehouse,warehouse_22,retailer_49,"['product_18', 'product_239']"
order_63,ON-63-7493,2023-08-03,Cancelled,6999.12,warehouse,warehouse_5,retailer_0,['product_220']
order_64,ON-64-5175,2024-06-06,Shipped,3006.8,warehouse,warehouse_15,retailer_29,"['product_195', 'product_180']"
order_65,ON-65-3824,2024-07-09,Delivered,3530.3,warehouse,warehouse_31,retailer_44,['product_243']
order_66,ON-66-7173,2023-05-08,Shipped,12082.15,manufacturer,manufacturer_13,retailer_35,"['product_52', 'product_215', 'product_96', 'product_12', 'product_121']"
order_67,ON-67-6575,2023-04-13,Delivered,15496.01,warehouse,warehouse_8,retailer_37,"['product_198', 'product_221', 'product_86', 'product_190', 'product_118']"
