id,supplierName,location,rating
supplier_0,"Miller, Martinez and Gonzalez Supplies",Holmeshaven,2.8
supplier_1,Carr Group Supplies,South Elizabeth,1.1
supplier_2,Haas-Diaz Supplies,New Robinland,1.5
supplier_3,Ward-Bell Supplies,Michaelfort,4.9
supplier_4,Johnson Inc Supplies,Port William,3.8
supplier_5,"Mason, White and Powers Supplies",South Teresa,1.3
supplier_6,"Smith, Carrillo and Wagner Supplies",Birdville,3.5
supplier_7,"Luna, King and Jackson Supplies",Jasonstad,3.7
supplier_8,Perkins-Colon Supplies,Maryburgh,5.0
supplier_9,"Burton, Costa and Hickman Supplies",Reidchester,4.4
supplier_10,Castillo-Levy Supplies,New Jennifer,1.8
supplier_11,"Russell, Baldwin and Gonzalez Supplies",Port Natashafurt,4.9
supplier_12,Turner-Bartlett Supplies,Oliverfort,3.3
supplier_13,"Simon, Stone and Chapman Supplies",South Elizabeth,4.8
supplier_14,Ramsey-Ellis Supplies,New Carlaview,2.1
supplier_15,Jones-Reed Supplies,New Theodore,1.1
supplier_16,Mitchell Ltd Supplies,West Bradleymouth,1.8
supplier_17,Cook PLC Supplies,New Morganland,2.3
supplier_18,"Riddle, Hudson and Kim Supplies",East Isaiah,3.8
supplier_19,Bennett-Brown Supplies,South Tiffanyside,1.0
supplier_20,Brewer Ltd Supplies,Karinamouth,2.7
supplier_21,"Logan, Gonzalez and Coleman Supplies",South Amanda,3.2
supplier_22,"Mooney, Sullivan and Smith Supplies",Danielstad,4.5
supplier_23,Wilson and Sons Supplies,New Gilbert,4.9
supplier_24,"Villarreal, Booth and Wilson Supplies",Masseyburgh,4.9
supplier_25,Jefferson-Joseph Supplies,Ruizstad,1.4
supplier_26,Hernandez-Rich Supplies,Castanedaton,2.7
supplier_27,"Conner, Mayer and Kaiser Supplies",North Jessica,3.1
supplier_28,Campbell-Martinez Supplies,Evansburgh,1.3
supplier_29,"Barrett, Fuller and Parker Supplies",New Janice,3.3
