id,orderNumber,orderDate,totalCost,supplierID,projectID
po_0,PO-79057,2022-12-06,2048.81,supplier_28,project_14
po_1,PO-34367,2024-02-16,16071.6,supplier_23,project_9
po_2,PO-32139,2022-07-25,49369.49,supplier_23,project_24
po_3,PO-37871,2023-09-21,1095.2,supplier_4,project_40
po_4,PO-65136,2022-06-09,4982.42,supplier_29,project_12
po_5,PO-79729,2024-02-27,10236.71,supplier_15,project_0
po_6,PO-98026,2023-09-13,33521.0,supplier_3,project_59
po_7,PO-56604,2025-10-06,32816.15,supplier_16,project_7
po_8,PO-13535,2024-09-23,26885.91,supplier_19,project_38
po_9,PO-23934,2022-08-30,11316.24,supplier_16,project_29
po_10,PO-68044,2023-03-21,3651.13,supplier_14,project_21
po_11,PO-80644,2022-12-26,34036.49,supplier_19,project_59
po_12,PO-40188,2023-06-28,23055.27,supplier_7,project_41
po_13,PO-40711,2022-12-17,910.19,supplier_13,project_50
po_14,PO-59742,2022-09-26,36239.71,supplier_1,project_4
po_15,PO-37684,2023-08-13,34697.74,supplier_14,project_6
po_16,PO-32904,2023-01-07,34474.89,supplier_5,project_32
po_17,PO-22987,2024-08-03,49777.77,supplier_8,project_13
po_18,PO-18971,2022-12-08,4632.88,supplier_1,project_21
po_19,PO-26933,2026-01-20,12714.72,supplier_27,project_1
po_20,PO-49673,2025-03-24,25001.42,supplier_3,project_53
po_21,PO-84464,2025-01-20,31897.27,supplier_18,project_31
po_22,PO-22674,2024-02-23,44557.02,supplier_17,project_4
po_23,PO-44859,2022-06-23,43588.06,supplier_21,project_56
po_24,PO-31061,2024-11-07,29535.75,supplier_15,project_17
po_25,PO-14278,2022-08-15,38969.62,supplier_24,project_56
po_26,PO-31691,2023-04-21,29161.55,supplier_11,project_12
po_27,PO-68138,2022-08-27,38291.44,supplier_27,project_30
po_28,PO-92716,2023-03-10,44181.42,supplier_6,project_21
po_29,PO-62135,2025-07-25,28813.34,supplier_18,project_3
po_30,PO-15815,2023-05-19,39426.21,supplier_10,project_43
po_31,PO-79250,2024-12-07,22149.88,supplier_0,project_31
po_32,PO-56507,2024-11-15,3777.43,supplier_16,project_3
po_33,PO-84657,2023-09-10,21908.55,supplier_28,project_23
po_34,PO-17306,2023-05-13,49396.36,supplier_24,project_19
po_35,PO-52076,2022-07-24,27422.48,supplier_23,project_27
po_36,PO-94785,2022-09-10,47016.89,supplier_2,project_29
po_37,PO-76822,2023-12-03,25324.39,supplier_27,project_42
po_38,PO-73161,2025-02-24,48054.11,supplier_22,project_9
po_39,PO-98701,2024-04-21,40575.65,supplier_12,project_0
po_40,PO-79421,2022-11-04,45861.96,supplier_28,project_14
po_41,PO-93955,2023-05-18,24059.42,supplier_26,project_21
po_42,PO-55431,2023-12-09,26414.2,supplier_14,project_43
po_43,PO-18364,2025-03-09,3829.74,supplier_6,project_15
po_44,PO-99489,2025-01-11,19732.25,supplier_21,project_3
po_45,PO-26171,2024-01-13,35873.83,supplier_5,project_42
po_46,PO-31403,2024-09-09,39334.66,supplier_12,project_39
po_47,PO-46151,2023-02-24,9544.86,supplier_11,project_58
po_48,PO-81364,2023-09-06,16270.35,supplier_29,project_34
po_49,PO-23338,2024-02-17,28819.61,supplier_9,project_35
po_50,PO-40218,2023-02-19,32868.76,supplier_27,project_19
po_51,PO-82171,2022-10-04,36216.3,supplier_17,project_4
po_52,PO-33056,2022-07-17,2884.67,supplier_27,project_56
po_53,PO-49421,2024-03-31,37109.94,supplier_14,project_48
po_54,PO-12405,2023-11-10,25391.17,supplier_1,project_43
po_55,PO-45870,2022-08-23,7543.26,supplier_18,project_30
po_56,PO-49949,2022-09-15,10729.63,supplier_1,project_16
po_57,PO-66253,2025-03-11,19446.36,supplier_26,project_44
po_58,PO-19074,2022-05-08,6693.79,supplier_3,project_25
po_59,PO-98687,2024-08-13,39241.68,supplier_1,project_54
po_60,PO-26848,2023-02-07,17356.89,supplier_8,project_21
po_61,PO-82042,2022-06-13,24034.59,supplier_4,project_30
po_62,PO-93918,2024-10-10,38712.38,supplier_28,project_17
po_63,PO-27954,2022-08-10,5307.08,supplier_8,project_37
po_64,PO-75141,2024-05-02,3753.25,supplier_19,project_28
po_65,PO-60909,2024-05-10,22823.94,supplier_20,project_13
po_66,PO-73533,2024-07-02,49791.28,supplier_6,project_9
po_67,PO-88451,2024-07-30,7714.06,supplier_20,project_2
po_68,PO-61232,2024-02-14,23990.71,supplier_18,project_35
po_69,PO-96118,2023-09-15,11918.47,supplier_9,project_23
po_70,PO-50716,2023-08-11,31844.28,supplier_17,project_5
po_71,PO-93207,2022-11-26,41060.32,supplier_27,project_22
po_72,PO-15508,2023-10-09,10070.09,supplier_10,project_42
po_73,PO-63467,2023-04-08,29528.44,supplier_17,project_59
po_74,PO-94135,2025-02-16,42853.99,supplier_24,project_35
po_75,PO-71860,2024-06-01,33234.88,supplier_9,project_33
po_76,PO-56407,2024-12-06,45721.7,supplier_16,project_7
po_77,PO-27501,2022-04-24,2917.43,supplier_20,project_16
po_78,PO-41105,2023-06-25,13916.04,supplier_28,project_24
po_79,PO-42970,2024-07-22,2218.0,supplier_12,project_9
po_80,PO-96249,2024-08-04,13559.6,supplier_15,project_35
po_81,PO-50920,2023-07-04,809.09,supplier_0,project_4
po_82,PO-61752,2022-09-10,21658.35,supplier_19,project_57
po_83,PO-78404,2023-06-14,4493.56,supplier_1,project_42
po_84,PO-58098,2022-10-08,42791.7,supplier_14,project_24
po_85,PO-25690,2024-09-15,17850.73,supplier_5,project_39
po_86,PO-85624,2024-05-14,44948.9,supplier_10,project_35
po_87,PO-23016,2023-03-31,39048.37,supplier_12,project_30
po_88,PO-88871,2022-09-23,34288.76,supplier_5,project_25
po_89,PO-61961,2024-06-27,24322.52,supplier_18,project_36
po_90,PO-95757,2025-06-23,33264.4,supplier_14,project_53
po_91,PO-87645,2022-05-20,1689.84,supplier_2,project_16
po_92,PO-26925,2024-06-11,33194.53,supplier_1,project_13
po_93,PO-95318,2023-08-12,15492.93,supplier_17,project_23
po_94,PO-76744,2024-01-01,25672.74,supplier_17,project_42
po_95,PO-97255,2023-09-15,9699.88,supplier_27,project_23
po_96,PO-65810,2024-09-08,26281.61,supplier_25,project_17
po_97,PO-72102,2023-03-15,4056.75,supplier_2,project_22
po_98,PO-89723,2025-04-20,4081.89,supplier_22,project_45
po_99,PO-31678,2023-06-14,32329.87,supplier_28,project_11
