id,projectName,location,startDate,endDate,totalBudget,status,clientID,companyID
project_0,Project_0_should,Lake Daniel,2024-10-16,2025-04-17,1002802.72,Completed,client_0,company_3
project_1,Project_1_kid,Lewisberg,2022-09-02,2023-09-11,2495779.48,Planning,client_15,company_16
project_2,Project_2_food,Port Anthonystad,2023-02-18,2023-09-17,1609908.55,Cancelled,client_15,company_4
project_3,Project_3_grow,Hallside,2024-12-21,2026-05-29,2898287.9,Completed,client_4,company_3
project_4,Project_4_likely,Scottshire,2024-11-01,2025-05-22,227554.87,Planning,client_27,company_13
project_5,Project_5_mind,West Heidifurt,2022-02-23,2023-01-14,1272410.56,Completed,client_8,company_8
project_6,Project_6_prevent,Brandiland,2022-09-14,2024-08-14,1091572.88,Planning,client_11,company_5
project_7,Project_7_radio,Roberthaven,2025-01-17,2025-07-28,2338837.47,Completed,client_21,company_9
project_8,Project_8_pattern,East Jenna,2024-08-27,2025-05-17,1353465.29,Completed,client_2,company_0
project_9,Project_9_hand,Lewisburgh,2024-05-20,2024-08-18,1760251.21,In Progress,client_17,company_3
project_10,Project_10_I,Thompsonchester,2024-07-17,2026-06-30,545070.89,Cancelled,client_17,company_2
project_11,Project_11_benefit,North Davidburgh,2024-08-17,2024-11-12,2941236.14,Planning,client_48,company_18
project_12,Project_12_Democrat,Natalieville,2023-01-24,2024-05-06,1821275.56,Planning,client_41,company_11
project_13,Project_13_board,Lake Shawnside,2024-04-13,2024-10-21,1487608.49,Completed,client_0,company_11
project_14,Project_14_paper,Connieville,2024-10-02,2025-08-06,1037380.14,Cancelled,client_37,company_16
project_15,Project_15_nearly,Sarahchester,2024-07-16,2026-06-20,2998329.17,Cancelled,client_9,company_4
project_16,Project_16_old,New Nicolefurt,2022-08-08,2024-07-11,2676566.88,Cancelled,client_35,company_0
project_17,Project_17_dog,New Lisa,2024-12-06,2025-08-30,2937851.27,Planning,client_15,company_6
project_18,Project_18_economic,East Jenniferport,2022-11-28,2024-06-20,414194.72,Cancelled,client_35,company_2
project_19,Project_19_American,New Matthew,2022-07-24,2023-06-17,2237257.59,Planning,client_13,company_1
project_20,Project_20_must,New Debramouth,2024-06-26,2025-06-20,240469.97,In Progress,client_19,company_0
project_21,Project_21_first,Dillonstad,2023-08-13,2025-07-24,1472900.02,Cancelled,client_6,company_9
project_22,Project_22_individual,Kingstad,2024-10-17,2026-04-21,2053536.58,Completed,client_12,company_2
project_23,Project_23_fine,North Tarahaven,2022-07-31,2023-06-04,1514772.98,Completed,client_33,company_2
project_24,Project_24_often,South Garyshire,2023-06-30,2025-05-03,2043622.09,On Hold,client_27,company_10
project_25,Project_25_develop,West Stevenland,2023-11-06,2025-02-16,1904828.08,Completed,client_35,company_7
project_26,Project_26_art,North Thomasborough,2022-05-10,2023-08-15,1258858.32,On Hold,client_33,company_12
project_27,Project_27_together,Smithbury,2024-03-03,2025-05-25,2757825.47,Completed,client_13,company_4
project_28,Project_28_discussion,Jessicaport,2022-02-22,2023-03-17,2766101.91,On Hold,client_40,company_1
project_29,Project_29_whose,Brianhaven,2023-11-25,2025-08-18,268187.09,Completed,client_36,company_6
project_30,Project_30_yes,New Joannaton,2024-10-15,2026-02-19,2140018.24,In Progress,client_16,company_16
project_31,Project_31_however,North Amberview,2023-08-10,2024-11-06,1660549.2,Completed,client_10,company_7
project_32,Project_32_along,New Anthonyburgh,2024-05-15,2025-01-15,2464308.91,In Progress,client_1,company_6
project_33,Project_33_stop,Lake Anthony,2025-02-07,2025-07-01,1221102.08,In Progress,client_38,company_15
project_34,Project_34_plan,Huntchester,2022-03-17,2022-12-14,1936376.31,In Progress,client_7,company_2
project_35,Project_35_west,Cortezfort,2022-08-19,2023-05-14,2156565.66,On Hold,client_38,company_7
project_36,Project_36_quality,East Loriberg,2023-09-29,2024-08-28,1969479.37,In Progress,client_13,company_13
project_37,Project_37_perhaps,Cynthiaside,2023-01-20,2023-05-08,580535.77,Planning,client_3,company_4
project_38,Project_38_yes,New Joel,2024-12-14,2025-09-13,2115210.94,Cancelled,client_49,company_0
project_39,Project_39_treat,South Susan,2022-11-06,2024-02-25,1434670.58,Planning,client_11,company_17
project_40,Project_40_trouble,Paultown,2023-02-03,2024-11-26,2249082.5,Cancelled,client_47,company_16
project_41,Project_41_want,New Paul,2023-12-21,2025-05-06,2920935.01,In Progress,client_43,company_8
project_42,Project_42_from,Jacquelineborough,2022-05-06,2023-04-19,2914148.24,Completed,client_43,company_6
project_43,Project_43_story,East Michelle,2023-02-16,2023-04-21,1625351.09,Cancelled,client_2,company_9
project_44,Project_44_available,East Lisa,2024-03-27,2024-05-30,1220651.15,On Hold,client_1,company_4
project_45,Project_45_federal,New Maria,2023-06-29,2024-12-28,287070.41,Cancelled,client_40,company_18
project_46,Project_46_seat,Williamsshire,2023-12-26,2025-03-11,2367242.65,Completed,client_37,company_12
project_47,Project_47_trouble,South Jamieberg,2022-06-26,2023-03-27,1591945.45,Completed,client_47,company_17
project_48,Project_48_until,New Stephanie,2023-09-27,2024-12-19,193907.53,Cancelled,client_17,company_0
project_49,Project_49_show,North Jorge,2022-05-30,2023-10-12,2949212.76,In Progress,client_40,company_7
project_50,Project_50_list,East Brian,2024-01-18,2024-06-23,2467347.64,Planning,client_45,company_4
project_51,Project_51_star,Sarafort,2023-07-17,2025-05-06,1859457.61,On Hold,client_45,company_6
project_52,Project_52_first,Singletonchester,2024-06-08,2024-09-06,1448277.0,Planning,client_15,company_11
project_53,Project_53_majority,Kimberlyfurt,2024-06-09,2026-05-08,1391889.85,In Progress,client_37,company_19
