id,subContractorName,specialty,licenseNumber
subcontractor_0,Miles-Lee Roofing,Painting,SUB-44283
subcontractor_1,Rowland-Mcintosh Painting,Carpentry,SUB-22519
subcontractor_2,Brown Group Electrical,Masonry,SUB-12032
subcontractor_3,"Gonzalez, Lee and Davis HVAC",Masonry,SUB-40446
subcontractor_4,Morales PLC Painting,Electrical,SUB-51408
subcontractor_5,Erickson-Reilly Plumbing,Electrical,SUB-48366
subcontractor_6,Lewis-Gibson HVAC,Flooring,SUB-50500
subcontractor_7,"Long, Scott and Howard Flooring",Roofing,SUB-82464
subcontractor_8,Green PLC Plumbing,Flooring,SUB-99976
subcontractor_9,Salazar Ltd HVAC,Roofing,SUB-16007
subcontractor_10,Smith-Prince Roofing,Plumbing,SUB-87484
subcontractor_11,Cox-Anderson Roofing,Painting,SUB-42531
subcontractor_12,"Robinson, Hanson and Howard Plumbing",Plumbing,SUB-18015
subcontractor_13,Holt-Case Electrical,Carpentry,SUB-63415
subcontractor_14,Ross-Smith Masonry,Plumbing,SUB-84103
subcontractor_15,"Stewart, Ward and Thomas Flooring",Roofing,SUB-68228
subcontractor_16,"Santiago, Jones and Marshall Roofing",Painting,SUB-83057
subcontractor_17,Khan-White HVAC,Roofing,SUB-28867
subcontractor_18,Ruiz-Smith Roofing,Electrical,SUB-73800
subcontractor_19,Lawson PLC Electrical,Painting,SUB-78829
subcontractor_20,"Harris, Cervantes and Murphy Flooring",Plumbing,SUB-92178
subcontractor_21,Vasquez-Martin Flooring,Roofing,SUB-31548
subcontractor_22,Carter-Fitzpatrick Roofing,Carpentry,SUB-70806
subcontractor_23,Nelson-Scott Plumbing,Roofing,SUB-43815
subcontractor_24,Edwards-Holland Masonry,Masonry,SUB-72442
subcontractor_25,Richardson-Fowler Plumbing,Flooring,SUB-38618
subcontractor_26,"Baker, Bruce and Patel Plumbing",Electrical,SUB-70823
subcontractor_27,Bentley PLC Roofing,Carpentry,SUB-65061
subcontractor_28,"Jackson, Campos and Jackson Electrical",Masonry,SUB-56899
subcontractor_29,Hill-Shelton Carpentry,Painting,SUB-20124
subcontractor_30,Duke Inc Painting,Masonry,SUB-99782
subcontractor_31,Cox Ltd Plumbing,Carpentry,SUB-38727
subcontractor_32,"Gilbert, Owens and Allen Electrical",Carpentry,SUB-67680
subcontractor_33,"Carter, Johnson and Lara Plumbing",Electrical,SUB-83420
subcontractor_34,Rogers Group Plumbing,Roofing,SUB-22781
subcontractor_35,"Kramer, Patel and Anderson Plumbing",Masonry,SUB-83109
subcontractor_36,Mendez Group Plumbing,HVAC,SUB-48399
subcontractor_37,"Potter, Myers and Hicks Electrical",Plumbing,SUB-91016
subcontractor_38,Bird-Davis Plumbing,Carpentry,SUB-20760
subcontractor_39,"Owens, Owen and Martinez Plumbing",HVAC,SUB-20741
