id,retailerName,location,retailerType
retailer_0,"Scott, Clarke and Hall Retail",Port Angieview,Online
retailer_1,"Wall, Johnson and Horton Retail",Wileyfort,Mixed
retailer_2,Sanchez PLC Retail,West Veronica,Online
retailer_3,Sherman LLC Retail,Port Thomasview,Mixed
retailer_4,Murphy-Gonzalez Retail,Ashleefort,Brick-and-mortar
retailer_5,Reed-Newton Retail,Michaelside,Mixed
retailer_6,Alvarado Group Retail,West Davidstad,Mixed
retailer_7,Maxwell LLC Retail,Lake Kellyburgh,Brick-and-mortar
retailer_8,Hudson Inc Retail,Torresport,Mixed
retailer_9,Acevedo Ltd Retail,Richardbury,Online
retailer_10,Salinas-Wood Retail,Marshallmouth,Brick-and-mortar
retailer_11,"Nichols, Molina and Taylor Retail",Joshuafort,Online
retailer_12,Bray Group Retail,Port Johnathan,Mixed
retailer_13,Johnson Inc Retail,North Ericchester,Brick-and-mortar
retailer_14,Yang-Ray Retail,Fullerfort,Brick-and-mortar
retailer_15,Rogers Group Retail,Joshuamouth,Brick-and-mortar
retailer_16,"Thompson, Armstrong and Munoz Retail",New Kathleen,Brick-and-mortar
retailer_17,Burke LLC Retail,Heathertown,Brick-and-mortar
retailer_18,Rodriguez PLC Retail,Fowlermouth,Brick-and-mortar
retailer_19,"Murphy, Hebert and Mason Retail",East Alyssa,Mixed
retailer_20,Benson Ltd Retail,Jefferyton,Mixed
retailer_21,Adams LLC Retail,Port Nicole,Brick-and-mortar
retailer_22,Zavala Ltd Retail,West Amyview,Brick-and-mortar
retailer_23,Powers LLC Retail,Leviport,Online
retailer_24,"Duke, Bernard and Turner Retail",Careyland,Mixed
retailer_25,"Oliver, Lindsey and Smith Retail",Lindamouth,Brick-and-mortar
retailer_26,"Calhoun, Pham and Fitzpatrick Retail",Heiditon,Mixed
retailer_27,Robinson Ltd Retail,Rickport,Online
retailer_28,"Anderson, Conrad and Hernandez Retail",Burkemouth,Brick-and-mortar
retailer_29,Mcclure LLC Retail,Valerieburgh,Mixed
retailer_30,"Schwartz, Dominguez and Rangel Retail",Ryanton,Online
retailer_31,"Gray, Good and Jackson Retail",Lake Meganshire,Online
retailer_32,Stewart-Smith Retail,Mclaughlinshire,Mixed
retailer_33,Adams Group Retail,New Jeffrey,Brick-and-mortar
retailer_34,Faulkner-White Retail,Theresaview,Online
retailer_35,Mclaughlin Inc Retail,Samuelville,Online
retailer_36,Torres-Castillo Retail,Johnsonburgh,Mixed
retailer_37,Chan Group Retail,West Adamland,Online
retailer_38,"Rosario, Elliott and Love Retail",Port Timothystad,Mixed
retailer_39,"Harrison, Vasquez and Rodriguez Retail",Harrellchester,Mixed
retailer_40,"Chavez, Greene and Wallace Retail",South Sean,Mixed
retailer_41,"Shaffer, Lee and Wu Retail",East Janeshire,Mixed
retailer_42,"Allen, Randolph and Estes Retail",Sharonberg,Online
retailer_43,Hopkins Inc Retail,New Lindseyburgh,Mixed
retailer_44,Johnson LLC Retail,Poolefurt,Online
retailer_45,Evans and Sons Retail,Lake Laurenberg,Mixed
retailer_46,Parker-White Retail,Lake Julieburgh,Brick-and-mortar
retailer_47,Jones Group Retail,South Matthew,Mixed
retailer_48,Johnson-Sullivan Retail,West Ashlee,Brick-and-mortar
retailer_49,Pittman Ltd Retail,Martinezmouth,Mixed
