id,warehouseName,location,capacity,productIDs
warehouse_0,"Carter, Morris and Smith Distribution",Port Robert,5428,"['product_99', 'product_74', 'product_65', 'product_80', 'product_53', 'product_20', 'product_32', 'product_68', 'product_75', 'product_17', 'product_16']"
warehouse_1,Alvarado-Johnston Distribution,Erinport,11808,"['product_28', 'product_79', 'product_85', 'product_16', 'product_62', 'product_38', 'product_70', 'product_50', 'product_15', 'product_75', 'product_20', 'product_74', 'product_45', 'product_73']"
warehouse_2,Stewart-Brown Distribution,Bobbystad,18169,"['product_64', 'product_48', 'product_78', 'product_65', 'product_94', 'product_55', 'product_67', 'product_45', 'product_70', 'product_76', 'product_16', 'product_35', 'product_13', 'product_10', 'product_91']"
warehouse_3,Horton PLC Distribution,Mirandahaven,6078,"['product_95', 'product_94', 'product_42', 'product_20', 'product_84', 'product_66', 'product_70', 'product_73', 'product_12', 'product_3', 'product_77', 'product_87']"
warehouse_4,"Ramirez, Hart and Gonzalez Distribution",South Carolynport,6939,"['product_50', 'product_4', 'product_64', 'product_3', 'product_84', 'product_10', 'product_73', 'product_87', 'product_21', 'product_52', 'product_88', 'product_67', 'product_46', 'product_42', 'product_14']"
warehouse_5,"Carter, Cook and Rosario Distribution",Taylorshire,7758,"['product_26', 'product_68', 'product_10', 'product_74', 'product_94', 'product_12', 'product_17', 'product_50', 'product_86', 'product_62', 'product_73', 'product_20', 'product_54', 'product_28', 'product_79', 'product_42', 'product_66', 'product_64']"
warehouse_6,Hodges Ltd Distribution,East Mary,14129,"['product_85', 'product_53', 'product_90', 'product_73', 'product_37', 'product_36', 'product_99', 'product_84', 'product_56', 'product_51', 'product_75', 'product_57', 'product_78', 'product_69', 'product_28', 'product_91', 'product_17', 'product_66', 'product_20', 'product_19']"
warehouse_7,"Mcclure, Mcdonald and Hawkins Distribution",Lake Frederick,7645,"['product_99', 'product_69', 'product_42', 'product_66', 'product_77', 'product_16', 'product_79', 'product_10', 'product_57', 'product_38', 'product_21', 'product_26', 'product_36', 'product_67', 'product_9', 'product_7', 'product_60', 'product_64']"
warehouse_8,Brown Inc Distribution,South Ann,12639,"['product_77', 'product_41', 'product_67', 'product_44', 'product_86', 'product_51', 'product_7', 'product_42', 'product_79', 'product_90', 'product_89', 'product_36', 'product_46', 'product_56']"
warehouse_9,Murray-Olson Distribution,New Lisa,15606,"['product_87', 'product_74', 'product_38', 'product_32', 'product_75', 'product_16', 'product_84', 'product_67', 'product_80', 'product_14', 'product_13', 'product_26', 'product_78', 'product_92', 'product_12']"
warehouse_10,Lee Inc Distribution,South Jonfort,5087,"['product_9', 'product_16', 'product_55', 'product_50', 'product_20', 'product_88', 'product_3', 'product_48', 'product_14', 'product_76', 'product_94']"
warehouse_11,Watts Inc Distribution,Lesliefurt,10071,"['product_32', 'product_9', 'product_21', 'product_79', 'product_4', 'product_35', 'product_53', 'product_62', 'product_17', 'product_65']"
warehouse_12,Clayton-Ward Distribution,Hurleyport,16486,"['product_75', 'product_17', 'product_89', 'product_48', 'product_62', 'product_35', 'product_69', 'product_15', 'product_95', 'product_68', 'product_26', 'product_46', 'product_84', 'product_0', 'product_85']"
warehouse_13,Buckley-Johnson Distribution,Stantonland,17011,"['product_37', 'product_60', 'product_11', 'product_76', 'product_87', 'product_10', 'product_86', 'product_14', 'product_70', 'product_35', 'product_95', 'product_20']"
warehouse_14,Evans-Coffey Distribution,Flemingtown,9917,"['product_66', 'product_99', 'product_58', 'product_26', 'product_36', 'product_78', 'product_0', 'product_20', 'product_4', 'product_35', 'product_3', 'product_75', 'product_37', 'product_87']"
warehouse_15,Martinez-Barker Distribution,Robertfurt,8357,"['product_68', 'product_75', 'product_54', 'product_11', 'product_77', 'product_12', 'product_37', 'product_44', 'product_15', 'product_67']"
warehouse_16,Matthews-Curtis Distribution,South Colinmouth,8447,"['product_7', 'product_74', 'product_57', 'product_88', 'product_94', 'product_66', 'product_92', 'product_14', 'product_37', 'product_17', 'product_19', 'product_55']"
warehouse_17,Phelps-Melton Distribution,New Jefffort,16886,"['product_99', 'product_91', 'product_92', 'product_55', 'product_9', 'product_56', 'product_20', 'product_13', 'product_21', 'product_4', 'product_44', 'product_85', 'product_10', 'product_70', 'product_41']"
warehouse_18,Morgan LLC Distribution,Port Timothy,7991,"['product_16', 'product_66', 'product_13', 'product_53', 'product_84', 'product_65', 'product_58', 'product_12', 'product_94', 'product_19', 'product_35', 'product_99', 'product_17', 'product_80', 'product_76', 'product_57', 'product_87', 'product_90']"
warehouse_19,Taylor-White Distribution,New Derekton,10898,"['product_77', 'product_0', 'product_48', 'product_44', 'product_13', 'product_21', 'product_87', 'product_36', 'product_46', 'product_19', 'product_86', 'product_3', 'product_49', 'product_91', 'product_65', 'product_80']"
warehouse_20,Wilson-Wyatt Distribution,Lake Michael,10566,"['product_3', 'product_44', 'product_17', 'product_21', 'product_32', 'product_95', 'product_28', 'product_1', 'product_58', 'product_55', 'product_11', 'product_70', 'product_79']"
warehouse_21,Madden-Baldwin Distribution,Lake Stephanie,9992,"['product_45', 'product_38', 'product_54', 'product_35', 'product_84', 'product_14', 'product_99', 'product_9', 'product_41', 'product_16', 'product_3', 'product_80', 'product_24', 'product_94', 'product_70', 'product_21', 'product_46', 'product_37', 'product_91', 'product_49']"
warehouse_22,Richards PLC Distribution,Bakerville,12153,"['product_32', 'product_66', 'product_49', 'product_87', 'product_86', 'product_60', 'product_79', 'product_17', 'product_9', 'product_53']"
warehouse_23,Conner-Gutierrez Distribution,South Michellefort,13121,"['product_7', 'product_68', 'product_64', 'product_99', 'product_77', 'product_12', 'product_24', 'product_65', 'product_60', 'product_48', 'product_53', 'product_46', 'product_79', 'product_69']"
warehouse_24,Garrison-Anderson Distribution,New Chrisville,8413,"['product_9', 'product_76', 'product_26', 'product_90', 'product_51', 'product_37', 'product_53', 'product_38', 'product_55', 'product_17', 'product_74']"
