id,shipmentID,shipDate,carrier,trackingNumber,orderID,shipperID
shipment_0,SHIP-0-4353,2025-01-11,USPS,TRK-3087801,order_459,warehouse_28
shipment_1,SHIP-1-6451,2024-11-04,DHL,TRK-3200157,order_725,warehouse_39
shipment_2,SHIP-2-7379,2024-12-07,USPS,TRK-1499596,order_1151,warehouse_27
shipment_3,SHIP-3-2194,2024-04-08,USPS,TRK-9682815,order_670,manufacturer_14
shipment_4,SHIP-4-7363,2025-01-02,UPS,TRK-6934712,order_275,warehouse_28
shipment_5,SHIP-5-8521,2023-10-25,USPS,TRK-4887562,order_342,warehouse_24
shipment_6,SHIP-6-7937,2024-05-31,DHL,TRK-3480083,order_1481,warehouse_16
shipment_7,SHIP-7-1237,2025-02-07,FedEx,TRK-1683674,order_579,manufacturer_16
shipment_8,SHIP-8-9046,2024-09-27,UPS,TRK-9512618,order_864,warehouse_5
shipment_9,SHIP-9-2047,2025-01-12,USPS,TRK-4142086,order_30,warehouse_24
shipment_10,SHIP-10-3874,2024-12-21,UPS,TRK-6364654,order_1054,manufacturer_6
shipment_11,SHIP-11-5127,2023-07-13,DHL,TRK-4324856,order_972,manufacturer_12
shipment_12,SHIP-12-4244,2024-07-18,DHL,TRK-1209830,order_1055,warehouse_37
shipment_13,SHIP-13-8565,2023-10-29,UPS,TRK-4127088,order_901,warehouse_19
shipment_14,SHIP-14-7008,2024-10-24,USPS,TRK-7938448,order_657,manufacturer_7
shipment_15,SHIP-15-6978,2025-02-15,USPS,TRK-5435108,order_888,manufacturer_11
shipment_16,SHIP-16-2170,2024-02-13,FedEx,TRK-1355390,order_1437,warehouse_39
shipment_17,SHIP-17-5489,2024-11-24,DHL,TRK-5757392,order_489,warehouse_14
shipment_18,SHIP-18-2568,2024-09-17,FedEx,TRK-3658218,order_515,warehouse_20
shipment_19,SHIP-19-4786,2024-04-16,UPS,TRK-2515572,order_319,warehouse_16
shipment_20,SHIP-20-1186,2023-10-31,USPS,TRK-5455516,order_524,warehouse_29
shipment_21,SHIP-21-3579,2024-08-07,UPS,TRK-2194435,order_842,warehouse_18
shipment_22,SHIP-22-7565,2024-10-31,USPS,TRK-1544898,order_1334,warehouse_19
shipment_23,SHIP-23-9522,2025-01-22,USPS,TRK-7495893,order_574,manufacturer_13
shipment_24,SHIP-24-5530,2024-07-30,FedEx,TRK-8935349,order_846,warehouse_37
shipment_25,SHIP-25-3719,2024-12-07,DHL,TRK-6661694,order_109,warehouse_1
shipment_26,SHIP-26-8669,2024-12-12,DHL,TRK-3419330,order_373,warehouse_37
shipment_27,SHIP-27-9532,2024-02-07,FedEx,TRK-8280692,order_440,manufacturer_16
shipment_28,SHIP-28-4326,2024-09-02,USPS,TRK-1921824,order_660,warehouse_35
