id,claimNumber,claimDate,claimType,amountClaimed,amountSettled,status,policyID,policyHolderID,insurerID
claim_0,CL-40997,2023-08-12,Liability,7773.44,4198.12,Pending Review,policy_880,holder_337,insurer_2
claim_1,CL-74285,2024-08-26,Water Damage,10634.8,7420.43,Denied,policy_1012,holder_425,insurer_4
claim_2,CL-31081,2026-04-12,Vandalism,4489.88,2893.31,Settled,policy_159,holder_116,insurer_8
claim_3,CL-35426,2025-09-30,Liability,5387.49,153.89,Settled,policy_656,holder_503,insurer_7
claim_4,CL-68510,2022-12-18,Vandalism,18665.73,2500.72,Pending Review,policy_924,holder_240,insurer_8
claim_5,CL-91946,2025-04-18,Water Damage,15162.42,2206.43,Denied,policy_1063,holder_298,insurer_2
claim_6,CL-11516,2027-06-18,Weather,24747.47,11864.78,Open,policy_522,holder_465,insurer_8
claim_7,CL-85942,2027-03-14,Water Damage,29192.02,16049.93,Pending Review,policy_1085,holder_191,insurer_9
claim_8,CL-85317,2025-01-22,Fire,23270.62,13515.99,Denied,policy_943,holder_159,insurer_1
claim_9,CL-82614,2022-09-29,Theft,24209.39,9941.08,Open,policy_233,holder_381,insurer_7
claim_10,CL-82119,2025-08-31,Weather,24846.88,13647.82,Settled,policy_698,holder_487,insurer_4
claim_11,CL-40139,2024-09-15,Water Damage,12126.29,4870.19,Settled,policy_532,holder_547,insurer_3
claim_12,CL-71850,2023-02-17,Vandalism,3422.73,3107.9,Pending Review,policy_800,holder_33,insurer_6
claim_13,CL-71716,2023-12-30,Fire,3895.83,1380.47,Settled,policy_910,holder_511,insurer_5
claim_14,CL-15469,2025-02-06,Vandalism,27723.73,15701.28,Denied,policy_506,holder_118,insurer_4
claim_15,CL-63216,2022-05-26,Vandalism,26240.65,15603.21,Settled,policy_1017,holder_348,insurer_8
claim_16,CL-71875,2022-12-15,Fire,16133.68,1721.96,Pending Review,policy_840,holder_383,insurer_9
claim_17,CL-71361,2023-12-01,Theft,1833.63,329.86,Pending Review,policy_947,holder_84,insurer_9
claim_18,CL-26441,2022-10-31,Accident,22790.63,16665.78,Pending Review,policy_98,holder_459,insurer_2
claim_19,CL-58964,2024-12-30,Theft,4361.2,3299.9,Open,policy_549,holder_133,insurer_9
claim_20,CL-69017,2023-08-15,Fire,15903.51,360.7,Settled,policy_655,holder_216,insurer_6
claim_21,CL-58838,2024-01-21,Water Damage,2230.22,884.02,Pending Review,policy_1162,holder_383,insurer_5
claim_22,CL-20666,2023-04-02,Vandalism,9935.08,5342.41,Pending Review,policy_1138,holder_117,insurer_5
claim_23,CL-94874,2025-01-18,Water Damage,15192.48,13284.87,Pending Review,policy_577,holder_544,insurer_8
claim_24,CL-83828,2024-01-06,Accident,22509.32,21372.75,Settled,policy_946,holder_359,insurer_5
claim_25,CL-89544,2026-02-16,Vandalism,5455.52,3081.53,Settled,policy_656,holder_503,insurer_7
claim_26,CL-16744,2023-11-10,Fire,22905.08,22256.03,Pending Review,policy_603,holder_191,insurer_5
claim_27,CL-96785,2023-08-24,Weather,14939.95,6796.76,Denied,policy_863,holder_173,insurer_2
claim_28,CL-45272,2023-11-21,Water Damage,22238.42,20058.78,Open,policy_1016,holder_581,insurer_7
claim_29,CL-16090,2024-04-30,Theft,11254.97,10404.0,Denied,policy_1171,holder_347,insurer_9
claim_30,CL-40334,2023-04-17,Liability,15344.7,10482.75,Denied,policy_129,holder_455,insurer_1
claim_31,CL-19258,2023-07-03,Theft,3502.03,2809.71,Denied,policy_745,holder_245,insurer_9
claim_32,CL-58292,2022-10-06,Fire,18605.77,4864.69,Denied,policy_568,holder_503,insurer_8
claim_33,CL-23222,2024-05-01,Water Damage,12469.51,11602.3,Open,policy_100,holder_150,insurer_2
claim_34,CL-18117,2024-10-05,Fire,2149.29,1927.93,Open,policy_1000,holder_332,insurer_7
claim_35,CL-21331,2023-03-21,Water Damage,16876.56,10342.3,Pending Review,policy_382,holder_336,insurer_6
claim_36,CL-19391,2022-10-11,Fire,21063.71,7564.51,Open,policy_947,holder_84,insurer_9
claim_37,CL-65427,2024-04-30,Weather,22261.64,8634.06,Open,policy_658,holder_577,insurer_2
claim_38,CL-89462,2024-11-06,Theft,10457.3,3518.4,Pending Review,policy_396,holder_105,insurer_2
claim_39,CL-74029,2023-01-09,Fire,27492.75,24077.69,Pending Review,policy_48,holder_112,insurer_5
claim_40,CL-63879,2022-10-04,Accident,7950.57,6393.15,Open,policy_241,holder_306,insurer_1
claim_41,CL-38895,2024-04-20,Vandalism,25863.2,3863.18,Pending Review,policy_234,holder_391,insurer_1
claim_42,CL-40871,2027-05-30,Weather,29381.74,25580.99,Open,policy_1198,holder_64,insurer_3
claim_43,CL-26491,2023-02-12,Weather,18658.55,11544.07,Settled,policy_175,holder_527,insurer_0
claim_44,CL-85002,2024-01-12,Water Damage,15914.9,6283.58,Pending Review,policy_707,holder_527,insurer_1
claim_45,CL-39850,2023-04-09,Accident,18102.81,2826.13,Settled,policy_750,holder_234,insurer_1
claim_46,CL-70498,2023-10-30,Fire,12196.12,5598.86,Denied,policy_738,holder_143,insurer_9
claim_47,CL-93396,2023-06-16,Weather,8448.34,6830.78,Pending Review,policy_385,holder_432,insurer_1
claim_48,CL-56477,2025-07-02,Liability,15806.35,274.49,Open,policy_238,holder_82,insurer_1
claim_49,CL-96688,2022-04-15,Fire,1596.98,503.27,Settled,policy_1010,holder_131,insurer_6
claim_50,CL-49676,2022-12-27,Water Damage,7978.55,2578.49,Denied,policy_362,holder_521,insurer_2
claim_51,CL-93990,2024-03-29,Water Damage,10582.41,939.93,Settled,policy_1127,holder_23,insurer_9
claim_52,CL-29414,2023-10-12,Fire,5762.74,3441.84,Settled,policy_196,holder_472,insurer_7
