id,insurerName,headquartersLocation,industryRating
insurer_0,"Williams, Todd and Lambert Insurance",Maldonadoville,2.0
insurer_1,Harris-Johnson Insurance,Smithport,3.1
insurer_2,Blackwell-Gregory Insurance,New Monique,4.9
insurer_3,"Hickman, Blackburn and White Insurance",Shaneview,3.8
insurer_4,Grant and Sons Insurance,Fergusonchester,4.4
insurer_5,Cisneros Group Insurance,New Kennethport,2.4
insurer_6,Dickson LLC Insurance,Greenfort,4.5
insurer_7,Lutz-Higgins Insurance,South Bobstad,2.8
insurer_8,Austin-Roberson Insurance,South Terribury,4.2
insurer_9,Garrett PLC Insurance,Charlesmouth,2.1
