id,policyNumber,policyType,startDate,endDate,premiumAmount,status,policyHolderID,insurerID,underwriterID,coverageIDs,agentID
policy_0,PN-7123-0,Landlord,2023-10-31,2026-07-20,1380.73,Active,holder_320,insurer_1,underwriter_16,"['coverage_7', 'coverage_3']",agent_16
policy_1,PN-9751-1,Renter,2023-09-24,2025-06-14,663.66,Active,holder_78,insurer_5,underwriter_16,['coverage_14'],agent_1
policy_2,PN-2855-2,Home,2023-05-18,2023-06-28,1882.8,Cancelled,holder_294,insurer_8,underwriter_18,['coverage_5'],agent_3
policy_3,PN-8105-3,Auto,2023-05-29,2024-12-28,586.08,Expired,holder_245,insurer_7,underwriter_7,"['coverage_0', 'coverage_9', 'coverage_11', 'coverage_5']",agent_11
policy_4,PN-2986-4,Landlord,2022-03-22,2024-09-15,652.52,Lapsed,holder_257,insurer_4,underwriter_5,"['coverage_10', 'coverage_11']",agent_6
policy_5,PN-5837-5,Home,2023-10-12,2024-10-21,312.16,Cancelled,holder_346,insurer_3,underwriter_13,"['coverage_4', 'coverage_6']",agent_15
policy_6,PN-8010-6,Home,2023-06-11,2024-05-14,873.84,Expired,holder_315,insurer_7,underwriter_11,"['coverage_2', 'coverage_5', 'coverage_12', 'coverage_9']",agent_12
policy_7,PN-1847-7,Umbrella,2023-03-31,2023-06-22,507.47,Expired,holder_177,insurer_1,underwriter_11,"['coverage_9', 'coverage_11']",agent_5
policy_8,PN-2591-8,Landlord,2022-07-31,2023-09-21,575.72,Lapsed,holder_572,insurer_1,underwriter_1,['coverage_7'],agent_8
policy_9,PN-3676-9,Condo,2023-10-10,2026-05-30,1447.47,Cancelled,holder_35,insurer_3,underwriter_1,"['coverage_7', 'coverage_6', 'coverage_1', 'coverage_14']",agent_19
policy_10,PN-6457-10,Condo,2024-05-23,2026-12-13,1689.59,Lapsed,holder_194,insurer_2,underwriter_8,['coverage_8'],agent_17
policy_11,PN-3972-11,Renter,2023-01-27,2023-05-10,1471.35,Active,holder_473,insurer_0,underwriter_1,"['coverage_0', 'coverage_2', 'coverage_13', 'coverage_14']",agent_14
policy_12,PN-3950-12,Auto,2023-01-11,2025-08-17,1861.92,Active,holder_3,insurer_2,underwriter_2,"['coverage_2', 'coverage_12']",agent_15
policy_13,PN-5433-13,Auto,2023-07-14,2024-05-25,1848.65,Cancelled,holder_293,insurer_0,underwriter_12,"['coverage_10', 'coverage_4', 'coverage_8', 'coverage_14']",agent_19
policy_14,PN-1276-14,Umbrella,2023-10-27,2024-05-07,232.77,Lapsed,holder_289,insurer_3,underwriter_1,['coverage_8'],agent_3
policy_15,PN-1472-15,Condo,2024-11-08,2026-05-14,1016.19,Expired,holder_483,insurer_7,underwriter_13,['coverage_4'],agent_10
policy_16,PN-4413-16,Renter,2023-06-18,2026-01-19,1480.76,Expired,holder_451,insurer_1,underwriter_17,"['coverage_13', 'coverage_11', 'coverage_5', 'coverage_6']",agent_3
policy_17,PN-4233-17,Renter,2023-02-28,2023-08-27,1158.06,Expired,holder_496,insurer_3,underwriter_5,['coverage_1'],agent_3
policy_18,PN-9315-18,Renter,2024-01-17,2026-08-14,1424.54,Expired,holder_250,insurer_5,underwriter_14,"['coverage_0', 'coverage_12', 'coverage_4', 'coverage_7']",agent_6
policy_19,PN-3323-19,Umbrella,2023-09-04,2025-07-30,959.18,Lapsed,holder_44,insurer_8,underwriter_9,['coverage_10'],agent_4
policy_20,PN-3694-20,Auto,2023-02-26,2023-06-07,617.79,Active,holder_28,insurer_7,underwriter_12,"['coverage_11', 'coverage_8', 'coverage_12']",agent_16
policy_21,PN-3523-21,Umbrella,2025-01-14,2025-09-02,619.56,Cancelled,holder_241,insurer_2,underwriter_6,"['coverage_14', 'coverage_8', 'coverage_4']",agent_7
policy_22,PN-1366-22,Condo,2023-04-18,2024-07-29,1481.05,Cancelled,holder_223,insurer_3,underwriter_3,"['coverage_12', 'coverage_6']",agent_19
policy_23,PN-4956-23,Renter,2022-07-18,2023-06-08,481.97,Lapsed,holder_245,insurer_9,underwriter_10,['coverage_10'],agent_12
